hav.yr	plot	Snr	d	h	lc	year	h.d
2022	3	13	0.246	18.94	7.92	2003	0.33
2022	3	14	0.193	17.4	9.3	2003	0.29
2011	2	1	0.1335	16.18	7.93	2004	0.23
2011	2	2	0.1435	15.01	7.05	2004	0.32
2011	2	3	0.181	16.63	7.88	2004	0.24
2011	2	4	0.1845	16.03	11.34	2004	0.3
2011	2	5	0.2395	17.36	11.98	2004	0.29
2011	2	6	0.234	15.76	7.31	2004	0.24
2011	3	7	0.1405	13.93	6.75	2004	0.21
2011	3	8	0.1405	17.01	6.96	2004	0.39
2011	3	9	0.18	15.48	7	2004	0.23
2011	3	10	0.179	14.69	11.24	2004	0.32
2011	3	11	0.2395	15.61	8.51	2004	0.21
2011	3	12	0.241	18.09	9.19	2004	0.27
2013	2	1	0.1645	17.1	6.3	2004	0.3
2013	2	2	0.225	18.7	6.5	2004	0.22
2013	2	3	0.226	18.2	9.3	2004	0.201
2013	2	4	0.221	15.4	7.8	2004	0.255
2013	2	5	0.2265	19.1	8.1	2004	0.22
2013	2	6	0.235	20.5	10.4	2004	0.26
2013	2	7	0.237	20.5	10.3	2004	0.28
2013	2	8	0.187	18.7	8.9	2004	0.18
2013	2	9	0.1945	17.3	6.5	2004	0.2
2013	2	10	0.1915	17.1	9.3	2004	0.295
2013	2	11	0.1945	17	7.5	2004	0.24
2013	3	1	0.212	18.7	10.4	2004	0.23
2013	3	2	0.251	18.7	10.1	2004	0.22
2013	3	3	0.2065	19.3	10.7	2004	0.3
2013	3	4	0.189	18.5	12	2004	0.3
2013	3	5	0.1925	18.5	10.1	2004	0.415
2013	3	6	0.2565	16.7	12.6	2004	0.24
2013	3	7	0.205	15.5	10.3	2004	0.25
2013	3	8	0.12	18.2	12.4	2004	0.26
2013	3	9	0.211	17.3	12.3	2004	0.35
2013	3	10	0.1745	16.8	8.2	2004	0.31
2013	3	11	0.205	19.1	10	2004	0.38
2013	3	12	0.1865	17.4	6.9	2004	0.32
2013	3	13	0.2025	19.4	7.8	2004	0.315
2018	2	1	0.1775	16.92	9.41	2004	0.36
2018	2	2	0.1495	15.6	6.28	2004	0.325
2018	2	3	0.2725	19.87	10.89	2004	0.3
2018	2	4	0.205	18.2	6.97	2004	0.28
2018	2	5	0.242	20.72	8.18	2004	NA
2018	2	6	0.1205	15.7	5.69	2004	0.2
2018	3	7	0.1775	17.03	6.88	2004	0.23
2018	3	8	0.264	19.41	8.99	2004	0.22
2018	3	9	0.1195	14.48	6.88	2004	0.21
2018	3	10	0.2345	21.36	10.74	2004	0.32
2018	3	11	0.1525	16.68	7.29	2004	0.4
2018	3	12	0.1825	16.58	7.15	2004	0.4
2022	2	1	0.2575	17.65	8.05	2004	0.2
2022	2	2	0.1965	16.69	7.21	2004	0.34
2022	2	3	0.153	16.88	6.18	2004	0.24
2022	2	4	0.093	13.37	3.72	2004	0.2
2022	2	5	0.2105	18.73	7.28	2004	0.32
2022	2	6	0.35	23.3	9.5	2004	0.38
2022	2	7	0.28	21.7	8.55	2004	0.23
2022	3	8	0.2205	22	9.6	2004	0.3
2022	3	9	0.2825	21.42	14.05	2004	0.2
2022	3	10	0.1275	15.6	4.15	2004	0.25
2022	3	11	0.087	12.16	2.86	2004	0.27
2022	3	12	0.147	15.4	5.05	2004	0.22
2022	3	13	0.246	18.94	7.92	2004	0.16
2022	3	14	0.193	17.4	9.3	2004	0.23
2011	2	1	0.1335	16.18	7.93	2005	0.3
2011	2	2	0.1435	15.01	7.05	2005	0.32
2011	2	3	0.181	16.63	7.88	2005	0.32
2011	2	4	0.1845	16.03	11.34	2005	0.31
2011	2	5	0.2395	17.36	11.98	2005	0.27
2011	2	6	0.234	15.76	7.31	2005	0.28
2011	3	7	0.1405	13.93	6.75	2005	0.3
2011	3	8	0.1405	17.01	6.96	2005	0.37
2011	3	9	0.18	15.48	7	2005	0.27
2011	3	10	0.179	14.69	11.24	2005	0.26
2011	3	11	0.2395	15.61	8.51	2005	0.19
2011	3	12	0.241	18.09	9.19	2005	0.23
2013	2	1	0.1645	17.1	6.3	2005	0.29
2013	2	2	0.225	18.7	6.5	2005	0.24
2013	2	3	0.226	18.2	9.3	2005	0.255
2013	2	4	0.221	15.4	7.8	2005	0.27
2013	2	5	0.2265	19.1	8.1	2005	0.22
2013	2	6	0.235	20.5	10.4	2005	0.28
2013	2	7	0.237	20.5	10.3	2005	0.27
2013	2	8	0.187	18.7	8.9	2005	0.21
2013	2	9	0.1945	17.3	6.5	2005	0.22
2013	2	10	0.1915	17.1	9.3	2005	0.335
2013	2	11	0.1945	17	7.5	2005	0.33
2013	3	1	0.212	18.7	10.4	2005	0.26
2013	3	2	0.251	18.7	10.1	2005	0.32
2013	3	3	0.2065	19.3	10.7	2005	0.33
2013	3	4	0.189	18.5	12	2005	0.29
2013	3	5	0.1925	18.5	10.1	2005	0.36
2013	3	6	0.2565	16.7	12.6	2005	0.3
2013	3	7	0.205	15.5	10.3	2005	0.3
2013	3	8	0.12	18.2	12.4	2005	0.27
2013	3	9	0.211	17.3	12.3	2005	0.25
2013	3	10	0.1745	16.8	8.2	2005	0.29
2013	3	11	0.205	19.1	10	2005	0.36
2013	3	12	0.1865	17.4	6.9	2005	0.31
2013	3	13	0.2025	19.4	7.8	2005	0.35
2018	2	1	0.1775	16.92	9.41	2005	0.34
2018	2	2	0.1495	15.6	6.28	2005	0.2
2018	2	3	0.2725	19.87	10.89	2005	0.19
2018	2	4	0.205	18.2	6.97	2005	0.275
2018	2	5	0.242	20.72	8.18	2005	0.34
2018	2	6	0.1205	15.7	5.69	2005	0.26
2018	3	7	0.1775	17.03	6.88	2005	0.25
2018	3	8	0.264	19.41	8.99	2005	0.22
2018	3	9	0.1195	14.48	6.88	2005	0.22
2018	3	10	0.2345	21.36	10.74	2005	0.32
2018	3	11	0.1525	16.68	7.29	2005	0.41
2018	3	12	0.1825	16.58	7.15	2005	0.28
2022	2	1	0.2575	17.65	8.05	2005	0.44
2022	2	2	0.1965	16.69	7.21	2005	0.27
2022	2	3	0.153	16.88	6.18	2005	0.23
2022	2	4	0.093	13.37	3.72	2005	0.21
2022	2	5	0.2105	18.73	7.28	2005	0.32
2022	2	6	0.35	23.3	9.5	2005	0.27
2022	2	7	0.28	21.7	8.55	2005	0.21
2022	3	8	0.2205	22	9.6	2005	0.36
2022	3	9	0.2825	21.42	14.05	2005	0.22
2022	3	10	0.1275	15.6	4.15	2005	0.21
2022	3	11	0.087	12.16	2.86	2005	0.21
2022	3	12	0.147	15.4	5.05	2005	0.2
2022	3	13	0.246	18.94	7.92	2005	0.27
2022	3	14	0.193	17.4	9.3	2005	0.21
2011	2	1	0.1335	16.18	7.93	2006	0.31
2011	2	2	0.1435	15.01	7.05	2006	0.25
2011	2	3	0.181	16.63	7.88	2006	0.36
2011	2	4	0.1845	16.03	11.34	2006	0.32
2011	2	5	0.2395	17.36	11.98	2006	0.24
2011	2	6	0.234	15.76	7.31	2006	0.22
2011	3	7	0.1405	13.93	6.75	2006	0.26
2011	3	8	0.1405	17.01	6.96	2006	0.35
2011	3	9	0.18	15.48	7	2006	0.29
2011	3	10	0.179	14.69	11.24	2006	0.31
2011	3	11	0.2395	15.61	8.51	2006	0.17
2011	3	12	0.241	18.09	9.19	2006	0.28
2013	2	1	0.1645	17.1	6.3	2006	0.31
2013	2	2	0.225	18.7	6.5	2006	0.24
2013	2	3	0.226	18.2	9.3	2006	0.285
2013	2	4	0.221	15.4	7.8	2006	0.27
2013	2	5	0.2265	19.1	8.1	2006	0.22
2013	2	6	0.235	20.5	10.4	2006	0.29
2013	2	7	0.237	20.5	10.3	2006	0.29
2013	2	8	0.187	18.7	8.9	2006	0.22
2013	2	9	0.1945	17.3	6.5	2006	0.22
2013	2	10	0.1915	17.1	9.3	2006	0.315
2013	2	11	0.1945	17	7.5	2006	0.25
2013	3	1	0.212	18.7	10.4	2006	0.235
2013	3	2	0.251	18.7	10.1	2006	0.21
2013	3	3	0.2065	19.3	10.7	2006	0.3
2013	3	4	0.189	18.5	12	2006	0.32
2013	3	5	0.1925	18.5	10.1	2006	0.25
2013	3	6	0.2565	16.7	12.6	2006	0.27
2013	3	7	0.205	15.5	10.3	2006	0.24
2013	3	8	0.12	18.2	12.4	2006	0.28
2013	3	9	0.211	17.3	12.3	2006	0.28
2013	3	10	0.1745	16.8	8.2	2006	0.33
2013	3	11	0.205	19.1	10	2006	0.4
2013	3	12	0.1865	17.4	6.9	2006	0.21
2013	3	13	0.2025	19.4	7.8	2006	0.29
2018	2	1	0.1775	16.92	9.41	2006	0.29
2018	2	2	0.1495	15.6	6.28	2006	0.24
2018	2	3	0.2725	19.87	10.89	2006	0.32
2018	2	4	0.205	18.2	6.97	2006	0.33
2018	2	5	0.242	20.72	8.18	2006	0.24
2018	2	6	0.1205	15.7	5.69	2006	0.23
2018	3	7	0.1775	17.03	6.88	2006	0.26
2018	3	8	0.264	19.41	8.99	2006	0.2
2018	3	9	0.1195	14.48	6.88	2006	0.25
2018	3	10	0.2345	21.36	10.74	2006	0.32
2018	3	11	0.1525	16.68	7.29	2006	0.48
2018	3	12	0.1825	16.58	7.15	2006	0.295
2022	2	1	0.2575	17.65	8.05	2006	0.27
2022	2	2	0.1965	16.69	7.21	2006	0.27
2022	2	3	0.153	16.88	6.18	2006	0.23
2022	2	4	0.093	13.37	3.72	2006	0.14
2022	2	5	0.2105	18.73	7.28	2006	0.29
2022	2	6	0.35	23.3	9.5	2006	0.26
2022	2	7	0.28	21.7	8.55	2006	0.19
2022	3	8	0.2205	22	9.6	2006	0.36
2022	3	9	0.2825	21.42	14.05	2006	0.18
2022	3	10	0.1275	15.6	4.15	2006	0.24
2022	3	11	0.087	12.16	2.86	2006	0.19
2022	3	12	0.147	15.4	5.05	2006	0.25
2022	3	13	0.246	18.94	7.92	2006	0.24
2022	3	14	0.193	17.4	9.3	2006	0.21
2011	2	1	0.1335	16.18	7.93	2007	0.29
2011	2	2	0.1435	15.01	7.05	2007	0.23
2011	2	3	0.181	16.63	7.88	2007	0.23
2011	2	4	0.1845	16.03	11.34	2007	0.32
2011	2	5	0.2395	17.36	11.98	2007	0.23
2011	2	6	0.234	15.76	7.31	2007	0.2
2011	3	7	0.1405	13.93	6.75	2007	0.23
2011	3	8	0.1405	17.01	6.96	2007	0.35
2011	3	9	0.18	15.48	7	2007	0.24
2011	3	10	0.179	14.69	11.24	2007	0.24
2011	3	11	0.2395	15.61	8.51	2007	0.16
2011	3	12	0.241	18.09	9.19	2007	0.19
2013	2	1	0.1645	17.1	6.3	2007	0.325
2013	2	2	0.225	18.7	6.5	2007	0.3
2013	2	3	0.226	18.2	9.3	2007	0.25
2013	2	4	0.221	15.4	7.8	2007	0.31
2013	2	5	0.2265	19.1	8.1	2007	0.3
2013	2	6	0.235	20.5	10.4	2007	0.27
2013	2	7	0.237	20.5	10.3	2007	0.28
2013	2	8	0.187	18.7	8.9	2007	0.105
2013	2	9	0.1945	17.3	6.5	2007	0.19
2013	2	10	0.1915	17.1	9.3	2007	0.2
2013	2	11	0.1945	17	7.5	2007	0.25
2013	3	1	0.212	18.7	10.4	2007	0.19
2013	3	2	0.251	18.7	10.1	2007	0.22
2013	3	3	0.2065	19.3	10.7	2007	0.26
2013	3	4	0.189	18.5	12	2007	0.22
2013	3	5	0.1925	18.5	10.1	2007	0.28
2013	3	6	0.2565	16.7	12.6	2007	0.28
2013	3	7	0.205	15.5	10.3	2007	0.17
2013	3	8	0.12	18.2	12.4	2007	0.21
2013	3	9	0.211	17.3	12.3	2007	0.18
2013	3	10	0.1745	16.8	8.2	2007	0.22
2013	3	11	0.205	19.1	10	2007	0.29
2013	3	12	0.1865	17.4	6.9	2007	0.19
2013	3	13	0.2025	19.4	7.8	2007	0.27
2018	2	1	0.1775	16.92	9.41	2007	0.35
2018	2	2	0.1495	15.6	6.28	2007	0.255
2018	2	3	0.2725	19.87	10.89	2007	0.195
2018	2	4	0.205	18.2	6.97	2007	0.3
2018	2	5	0.242	20.72	8.18	2007	0.39
2018	2	6	0.1205	15.7	5.69	2007	0.17
2018	3	7	0.1775	17.03	6.88	2007	0.29
2018	3	8	0.264	19.41	8.99	2007	0.19
2018	3	9	0.1195	14.48	6.88	2007	0.23
2018	3	10	0.2345	21.36	10.74	2007	0.32
2018	3	11	0.1525	16.68	7.29	2007	0.35
2018	3	12	0.1825	16.58	7.15	2007	0.32
2022	2	1	0.2575	17.65	8.05	2007	0.22
2022	2	2	0.1965	16.69	7.21	2007	0.41
2022	2	3	0.153	16.88	6.18	2007	0.17
2022	2	4	0.093	13.37	3.72	2007	0.26
2022	2	5	0.2105	18.73	7.28	2007	0.29
2022	2	6	0.35	23.3	9.5	2007	0.23
2022	2	7	0.28	21.7	8.55	2007	0.22
2022	3	8	0.2205	22	9.6	2007	0.36
2022	3	9	0.2825	21.42	14.05	2007	0.2
2022	3	10	0.1275	15.6	4.15	2007	0.22
2022	3	11	0.087	12.16	2.86	2007	0.25
2022	3	12	0.147	15.4	5.05	2007	0.22
2022	3	13	0.246	18.94	7.92	2007	0.22
2022	3	14	0.193	17.4	9.3	2007	0.19
2011	2	1	0.1335	16.18	7.93	2008	0.33
2011	2	2	0.1435	15.01	7.05	2008	0.23
2011	2	3	0.181	16.63	7.88	2008	0.23
2011	2	4	0.1845	16.03	11.34	2008	0.36
2011	2	5	0.2395	17.36	11.98	2008	0.33
2011	2	6	0.234	15.76	7.31	2008	0.26
2011	3	7	0.1405	13.93	6.75	2008	0.25
2011	3	8	0.1405	17.01	6.96	2008	0.22
2011	3	9	0.18	15.48	7	2008	0.31
2011	3	10	0.179	14.69	11.24	2008	0.27
2011	3	11	0.2395	15.61	8.51	2008	0.15
2011	3	12	0.241	18.09	9.19	2008	0.23
2013	2	1	0.1645	17.1	6.3	2008	0.33
2013	2	2	0.225	18.7	6.5	2008	0.36
2013	2	3	0.226	18.2	9.3	2008	0.245
2013	2	4	0.221	15.4	7.8	2008	0.35
2013	2	5	0.2265	19.1	8.1	2008	0.34
2013	2	6	0.235	20.5	10.4	2008	0.35
2013	2	7	0.237	20.5	10.3	2008	0.34
2013	2	8	0.187	18.7	8.9	2008	0.095
2013	2	9	0.1945	17.3	6.5	2008	0.25
2013	2	10	0.1915	17.1	9.3	2008	0.15
2013	2	11	0.1945	17	7.5	2008	0.21
2013	3	1	0.212	18.7	10.4	2008	0.23
2013	3	2	0.251	18.7	10.1	2008	0.275
2013	3	3	0.2065	19.3	10.7	2008	0.27
2013	3	4	0.189	18.5	12	2008	0.3
2013	3	5	0.1925	18.5	10.1	2008	0.33
2013	3	6	0.2565	16.7	12.6	2008	0.28
2013	3	7	0.205	15.5	10.3	2008	0.16
2013	3	8	0.12	18.2	12.4	2008	0.19
2013	3	9	0.211	17.3	12.3	2008	0.17
2013	3	10	0.1745	16.8	8.2	2008	0.25
2013	3	11	0.205	19.1	10	2008	0.33
2013	3	12	0.1865	17.4	6.9	2008	0.21
2013	3	13	0.2025	19.4	7.8	2008	0.25
2018	2	1	0.1775	16.92	9.41	2008	0.46
2018	2	2	0.1495	15.6	6.28	2008	0.2
2018	2	3	0.2725	19.87	10.89	2008	0.29
2018	2	4	0.205	18.2	6.97	2008	0.25
2018	2	5	0.242	20.72	8.18	2008	0.34
2018	2	6	0.1205	15.7	5.69	2008	0.34
2018	3	7	0.1775	17.03	6.88	2008	0.3
2018	3	8	0.264	19.41	8.99	2008	0.23
2018	3	9	0.1195	14.48	6.88	2008	0.23
2018	3	10	0.2345	21.36	10.74	2008	0.32
2018	3	11	0.1525	16.68	7.29	2008	0.42
2018	3	12	0.1825	16.58	7.15	2008	0.21
2022	2	1	0.2575	17.65	8.05	2008	0.3
2022	2	2	0.1965	16.69	7.21	2008	0.25
2022	2	3	0.153	16.88	6.18	2008	0.23
2022	2	4	0.093	13.37	3.72	2008	0.15
2022	2	5	0.2105	18.73	7.28	2008	0.42
2022	2	6	0.35	23.3	9.5	2008	0.3
2022	2	7	0.28	21.7	8.55	2008	0.33
2022	3	8	0.2205	22	9.6	2008	0.36
2022	3	9	0.2825	21.42	14.05	2008	0.21
2022	3	10	0.1275	15.6	4.15	2008	0.23
2022	3	11	0.087	12.16	2.86	2008	0.19
2022	3	12	0.147	15.4	5.05	2008	0.19
2022	3	13	0.246	18.94	7.92	2008	0.22
2022	3	14	0.193	17.4	9.3	2008	0.2
2011	2	1	0.1335	16.18	7.93	2009	0.35
2011	2	2	0.1435	15.01	7.05	2009	0.26
2011	2	3	0.181	16.63	7.88	2009	0.3
2011	2	4	0.1845	16.03	11.34	2009	0.4
2011	2	5	0.2395	17.36	11.98	2009	0.34
2011	2	6	0.234	15.76	7.31	2009	0.33
2011	3	7	0.1405	13.93	6.75	2009	0.27
2011	3	8	0.1405	17.01	6.96	2009	0.27
2011	3	9	0.18	15.48	7	2009	0.28
2011	3	10	0.179	14.69	11.24	2009	0.28
2011	3	11	0.2395	15.61	8.51	2009	0.11
2011	3	12	0.241	18.09	9.19	2009	0.23
2013	2	1	0.1645	17.1	6.3	2009	0.28
2013	2	2	0.225	18.7	6.5	2009	0.39
2013	2	3	0.226	18.2	9.3	2009	0.285
2013	2	4	0.221	15.4	7.8	2009	0.38
2013	2	5	0.2265	19.1	8.1	2009	0.41
2013	2	6	0.235	20.5	10.4	2009	0.35
2013	2	7	0.237	20.5	10.3	2009	0.35
2013	2	8	0.187	18.7	8.9	2009	0.175
2013	2	9	0.1945	17.3	6.5	2009	0.3
2013	2	10	0.1915	17.1	9.3	2009	0.21
2013	2	11	0.1945	17	7.5	2009	0.21
2013	3	1	0.212	18.7	10.4	2009	0.175
2013	3	2	0.251	18.7	10.1	2009	0.21
2013	3	3	0.2065	19.3	10.7	2009	0.23
2013	3	4	0.189	18.5	12	2009	0.3
2013	3	5	0.1925	18.5	10.1	2009	0.175
2013	3	6	0.2565	16.7	12.6	2009	0.26
2013	3	7	0.205	15.5	10.3	2009	0.14
2013	3	8	0.12	18.2	12.4	2009	0.21
2013	3	9	0.211	17.3	12.3	2009	0.245
2013	3	10	0.1745	16.8	8.2	2009	0.25
2013	3	11	0.205	19.1	10	2009	0.32
2013	3	12	0.1865	17.4	6.9	2009	0.19
2013	3	13	0.2025	19.4	7.8	2009	0.23
2018	2	1	0.1775	16.92	9.41	2009	0.37
2018	2	2	0.1495	15.6	6.28	2009	0.54
2018	2	3	0.2725	19.87	10.89	2009	0.42
2018	2	4	0.205	18.2	6.97	2009	0.23
2018	2	5	0.242	20.72	8.18	2009	0.38
2018	2	6	0.1205	15.7	5.69	2009	0.43
2018	3	7	0.1775	17.03	6.88	2009	0.28
2018	3	8	0.264	19.41	8.99	2009	0.21
2018	3	9	0.1195	14.48	6.88	2009	0.25
2018	3	10	0.2345	21.36	10.74	2009	0.38
2018	3	11	0.1525	16.68	7.29	2009	0.41
