hav.yr	plot	Snr	d	h	lc	year	h.d
2018	3	12	0.1825	16.58	7.15	2009	0.27
2022	2	1	0.2575	17.65	8.05	2009	0.2
2022	2	2	0.1965	16.69	7.21	2009	0.33
2022	2	3	0.153	16.88	6.18	2009	0.3
2022	2	4	0.093	13.37	3.72	2009	0.32
2022	2	5	0.2105	18.73	7.28	2009	0.34
2022	2	6	0.35	23.3	9.5	2009	0.34
2022	2	7	0.28	21.7	8.55	2009	0.36
2022	3	8	0.2205	22	9.6	2009	0.34
2022	3	9	0.2825	21.42	14.05	2009	0.18
2022	3	10	0.1275	15.6	4.15	2009	0.25
2022	3	11	0.087	12.16	2.86	2009	0.16
2022	3	12	0.147	15.4	5.05	2009	0.17
2022	3	13	0.246	18.94	7.92	2009	0.2
2022	3	14	0.193	17.4	9.3	2009	0.18
2011	2	1	0.1335	16.18	7.93	2010	0.38
2011	2	2	0.1435	15.01	7.05	2010	0.33
2011	2	3	0.181	16.63	7.88	2010	0.37
2011	2	4	0.1845	16.03	11.34	2010	0.45
2011	2	5	0.2395	17.36	11.98	2010	0.28
2011	2	6	0.234	15.76	7.31	2010	0.36
2011	3	7	0.1405	13.93	6.75	2010	0.29
2011	3	8	0.1405	17.01	6.96	2010	0.16
2011	3	9	0.18	15.48	7	2010	0.24
2011	3	10	0.179	14.69	11.24	2010	0.31
2011	3	11	0.2395	15.61	8.51	2010	0.1
2011	3	12	0.241	18.09	9.19	2010	0.25
2013	2	1	0.1645	17.1	6.3	2010	0.31
2013	2	2	0.225	18.7	6.5	2010	0.31
2013	2	3	0.226	18.2	9.3	2010	0.34
2013	2	4	0.221	15.4	7.8	2010	0.5
2013	2	5	0.2265	19.1	8.1	2010	0.36
2013	2	6	0.235	20.5	10.4	2010	0.255
2013	2	7	0.237	20.5	10.3	2010	0.25
2013	2	8	0.187	18.7	8.9	2010	0.18
2013	2	9	0.1945	17.3	6.5	2010	0.29
2013	2	10	0.1915	17.1	9.3	2010	0.14
2013	2	11	0.1945	17	7.5	2010	0.18
2013	3	1	0.212	18.7	10.4	2010	0.17
2013	3	2	0.251	18.7	10.1	2010	0.18
2013	3	3	0.2065	19.3	10.7	2010	0.28
2013	3	4	0.189	18.5	12	2010	0.22
2013	3	5	0.1925	18.5	10.1	2010	0.275
2013	3	6	0.2565	16.7	12.6	2010	0.25
2013	3	7	0.205	15.5	10.3	2010	0.175
2013	3	8	0.12	18.2	12.4	2010	0.205
