year	avd	C	N	P	K	Ca	Mg	Mn	S	Fe	Zn	B	Cu	d13C	d15N
2017	2-1		20.500	1.3400	3.9800	1.3500	0.5680	0.3060	0.8100	0.0383	0.0258	0.0498	0.0017500		
2017	2-2		18.400	1.3400	3.4400	1.4500	0.5870	0.1860	0.7260	0.0334	0.0228	0.0403	0.0019300		
2017	2-3		22.300	1.3600	3.5200	1.4700	0.5790	0.3000	0.8080	0.0330	0.0215	0.0480	0.0017800		
2017	2-4		18.600	1.4200	4.0400	1.5900	0.5790	0.2570	0.7390	0.0455	0.0273	0.0516	0.0021700		
2017	2-5		17.800	1.3300	3.0500	1.8800	0.6470	0.3080	0.7570	0.0293	0.0214	0.0482	0.0018700		
2017	2-6		18.700	1.2700	3.2900	1.6500	0.5590	0.4014	0.7610	0.0275	0.0215	0.0552	0.0018000		
2017	3-1		9.900	1.1100	3.6200	1.9800	0.5280	0.5890	0.6670	0.0359	0.0409	0.0132	0.0021000		
2017	3-2		10.900	1.1400	4.1800	1.9000	0.5870	0.5540	0.7150	0.0410	0.0340	0.0189	0.0022200		
2017	3-3		11.100	1.1800	4.0900	2.2900	0.6698	0.6069	0.7080	0.0369	0.0415	0.0148	0.0022300		
2017	3-4		10.300	1.1700	4.2900	1.9000	0.5470	0.5330	0.6920	0.0391	0.0470	0.0116	0.0020200		
2017	3-5		10.800	1.1400	3.9900	2.0900	0.6900	0.5390	0.7150	0.0388	0.0392	0.0169	0.0021500		
2017	3-6		12.200	1.2000	4.0900	1.7200	0.6250	0.6360	0.7220	0.0380	0.0384	0.0130	0.0021100		
2018	2-1		20.400	1.5600	4.2400	1.0800	0.5720	0.2420	0.9060	0.0359	0.0145	0.0592	0.0016200		
2018	2-2		19.100	1.6900	4.2600	1.3100	0.7700	0.1510	0.8370	0.0410	0.0246	0.0468	0.0026200		
2018	2-3		18.000	1.4700	4.1100	1.3700	0.6360	0.3360	0.8100	0.0369	0.0188	0.0636	0.0019500		
2018	2-4		21.100	1.7400	4.6900	1.6500	0.6870	0.2650	0.9080	0.0391	0.0284	0.0522	0.0023500		
2018	2-5		18.700	1.7700	4.6600	1.9200	0.7570	0.3070	0.9310	0.0388	0.0298	0.0455	0.0022700		
2018	2-6		16.700	1.8000	5.3300	2.6900	0.9120	0.5550	0.9580	0.0380	0.0337	0.0635	0.0023400		
2018	3-1		9.500	1.1800	4.0800	1.6000	0.5740	0.5510	0.7310	0.0359	0.0401	0.0165	0.0016500		
2018	3-2		10.500	1.2400	5.4900	1.4600	0.5280	0.4700	0.7160	0.0384	0.0354	0.0153	0.0015300		
2018	3-3		13.300	1.1200	4.7400	1.7000	0.5120	0.4120	0.6800	0.0344	0.0289	0.0147	0.0014700		
2018	3-4		8.800	1.2800	5.2300	2.0900	0.6370	0.5910	0.7470	0.0399	0.0542	0.0126	0.0012600		
2018	3-5		13.600	1.4700	5.7200	2.4100	0.8810	0.7010	0.8740	0.0425	0.0547	0.0192	0.0019200		
2018	3-6		10.700	1.2700	4.5800	1.8400	0.6420	0.7020	0.7780	0.0394	0.0461	0.0121	0.0012100		
2019	2-1	540.60	22.900	1.2900	3.5600	1.2600	0.4310	0.2650	0.7460	0.0410	0.0155	0.0774	0.0019500	-29.15	-0.73
2019	2-2	541.50	21.300	1.2900	3.5400	1.5000	0.4780	0.2140	0.6790	0.0364	0.0161	0.0606	0.0019600	-29.21	0.63
2019	2-3	538.00	21.600	1.3600	3.6600	1.7100	0.4590	0.3260	0.6950	0.0362	0.0176	0.0694	0.0041000	-29.85	-0.65
2019	2-4	478.30	15.400	1.5300	4.9200	2.3400	0.7530	0.2990	0.8600	0.0395	0.0280	0.0544	0.0022400	-29.39	-1.45
2019	2-5	540.80	17.300	1.3600	4.5600	2.4400	0.6400	0.3220	0.8550	0.0356	0.0242	0.0526	0.0019300	-28.71	-0.95
2019	2-6	537.60	18.200	1.5000	5.1500	2.7800	0.7570	0.5480	0.8690	0.0333	0.0299	0.0578	0.0021300	-29.45	-1.11
2019	3-1	545.40	10.000	1.2300	4.2100	1.5200	0.4790	0.4920	0.6620	0.0424	0.0318	0.0200	0.0024600	-29.46	-4.09
2019	3-2	543.00	11.600	1.2100	4.5800	1.7000	0.4560	0.5670	0.7260	0.0380	0.0317	0.0175	0.0025000	-29.89	-4.32
2019	3-3	545.90	10.400	1.1600	4.3200	1.6700	0.3780	0.4370	0.6560	0.0401	0.0252	0.0166	0.0024100	-29.51	129.29
2019	3-4	541.80	11.900	1.3900	5.4500	2.0400	0.5450	0.5850	0.7330	0.0465	0.0609	0.0167	0.0025800	-29.80	-4.70
2019	3-5	545.30	11.100	1.1900	4.8200	1.9600	0.5190	0.5980	0.6280	61.6000	0.7050	0.0153	0.0142000	-29.51	-3.82
2019	3-6	540.80	11.400	1.2600	5.0000	1.9700	0.6010	0.7120	0.7290	0.1330	0.0518	0.0148	0.0025200	-29.76	-4.04
2020	2-1	541.70	20.300	1.2900	4.2000	1.2200	0.5720	0.2710	0.6460	0.0664	0.0162	0.0628	0.0018400	-29.91	-0.36
2020	2-2	548.00	22.000	1.5500	4.4100	1.5400	0.6410	0.1760	0.7560	0.0431	0.0198	0.0700	0.0025200	-30.08	-0.49
2020	2-3	545.20	24.900	1.4100	3.3700	2.0500	0.6240	0.4320	0.6920	0.0293	0.0210	0.0648	0.0022600	-30.26	-0.55
2020	2-4	544.60	16.700	1.4500	5.5000	2.0800	0.6650	0.2930	0.8830	0.0364	0.0279	0.0429	0.0020200	-29.15	-0.92
2020	2-5	543.80	16.800	1.3900	5.3300	2.2500	0.7740	0.3080	0.8420	0.0309	0.0270	0.0460	0.0019300	-29.17	-0.79
2020	2-6	535.50	16.900	1.4700	6.3400	2.3700	0.7390	0.4900	0.8850	0.0323	0.0330	0.0495	0.0019800	-29.57	-0.95
2020	3-1	541.20	9.300	1.2100	4.6100	1.8500	0.6200	0.6150	0.6880	0.0400	0.0467	0.0163	0.0022700	-29.06	-4.11
2020	3-2	541.60	12.900	1.1600	5.0900	1.8900	0.5240	0.6390	0.7000	0.0351	0.0349	0.0178	0.0023100	-30.16	-4.92
2020	3-3	547.20	11.000	1.1500	4.8800	1.7700	0.5100	0.4330	0.6580	0.0351	0.0287	0.0150	0.0023400	-29.62	128.40
2020	3-4	543.30	11.400	1.2100	5.6300	1.9000	0.5180	0.5270	0.6880	0.0342	0.0558	0.0142	0.0020200	-29.74	-4.66
2020	3-5	540.40	14.500	1.4000	5.6300	2.3900	0.6630	0.6270	0.7790	0.0367	0.0501	0.0189	0.0024900	-29.83	-4.00
2020	3-6	535.70	11.600	1.3000	5.5800	2.2500	0.6470	0.7940	0.7740	0.0408	0.0655	0.0148	0.0025600	-29.50	-3.84
2021	2-1	545.30	23.400	1.4300	4.6000	1.2900	0.6650	0.2970	0.8150	0.0366	0.0165	0.0715	0.0023700	-30.74	-0.58
2021	2-2	551.30	20.600	1.3800	3.6800	1.5700	0.7160	0.1940	0.7460	0.0354	0.0190	0.0536	0.0024100	-29.84	-0.43
2021	2-3	545.50	23.400	1.3600	3.2300	2.1900	0.7270	0.4890	0.7460	0.0308	0.0208	0.0569	0.0021300	-30.51	-0.51
2021	2-4	546.10	16.500	1.4900	5.3200	1.9800	0.7120	0.3050	0.9410	0.0371	0.0304	0.0417	0.0021400	-29.80	-0.78
2021	2-5	542.00	16.000	1.5400	4.9400	2.0700	0.7290	0.3040	0.9350	0.0346	0.0269	0.0412	0.0019400	-29.25	-0.63
2021	2-6	542.00	16.400	1.4300	5.8100	2.6000	0.7630	0.4720	0.9160	0.0321	0.0300	0.0472	0.0019200	-29.65	-0.73
2021	3-1	547.00	11.900	1.1000	4.4800	1.5000	0.5180	0.4890	0.6690	0.0391	0.0343	0.0164	0.0023600	-30.23	-3.77
2021	3-2	544.80	15.800	1.2400	5.3900	1.7400	0.5890	0.5500	0.7790	0.0396	0.0346	0.0191	0.0025700	-30.16	-4.08
2021	3-3	548.60	11.800	1.1800	4.7600	1.9200	0.5700	0.5170	0.6630	0.0371	0.0275	0.0175	0.0023300	-30.15	50.86
2021	3-4	546.40	13.100	1.3200	5.5300	2.2000	0.6930	0.6020	0.7420	0.0402	0.0576	0.0138	0.0023800	-30.45	-4.79
2021	3-5	544.60	12.400	1.2300	5.5600	2.3300	0.6280	0.5280	0.6860	0.0357	0.0438	0.0169	0.0021000	-29.79	-3.62
2021	3-6	543.40	12.500	1.2400	5.5700	1.9700	0.5400	0.6420	0.7570	0.0363	0.0535	0.0125	0.0023700	-29.99	-3.92
2022	2-1	539.90	17.200	1.5600	4.2400	1.8300	0.7660	0.4050	0.8870	0.0350	0.0178	0.0740	0.0020400	-29.63	-0.48
2022	2-2	540.30	14.800	1.6400	4.4300	2.1700	1.0400	0.3000	0.7970	0.0314	0.0211	0.0583	0.0022000	-29.48	-0.14
2022	2-3	537.80	17.000	1.7700	4.2000	2.5900	0.9360	0.5290	0.8610	0.0322	0.0190	0.0665	0.0022800	-30.08	-0.89
2022	2-4	536.60	13.200	1.7600	6.0100	2.4600	0.7880	0.3560	0.8990	0.0393	0.0321	0.0413	0.0019000	-29.06	-0.46
2022	2-5	532.80	15.500	1.6300	5.3400	2.5200	0.8510	0.3640	0.8710	0.0305	0.0275	0.0425	0.0015900	-29.69	-0.37
2022	2-6	528.40	14.200	1.8500	5.8800	2.8400	0.7120	0.5950	0.9510	0.0314	0.0301	0.0501	0.0018000	-29.18	-0.93
2022	3-1	535.70	9.300	1.4900	4.7800	2.4400	0.7710	0.8150	0.7760	0.0410	0.0450	0.0197	0.0025400	-28.77	-3.81
2022	3-2	535.00	11.500	1.5100	5.1500	2.1800	0.7720	0.7100	0.8560	0.0400	0.0342	0.0207	0.0027500	-30.19	-3.98
2022	3-3	542.10	11.200	1.5100	5.0300	2.3300	0.6340	0.6220	0.8020	0.0394	0.0300	0.0173	0.0026200	-30.14	10.90
2022	3-4	541.00	12.600	1.4400	4.9100	2.4200	0.7250	0.7290	0.7970	0.0381	0.0619	0.0210	0.0023900	-30.41	-4.81
2022	3-5	539.40	8.700	1.4900	5.2500	2.5000	0.6980	0.5970	0.7480	0.0346	0.0448	0.0211	0.0021900	-29.68	-2.93
2022	3-6	533.70	10.900	1.5400	5.2400	2.4200	0.6800	0.8420	0.8420	0.0371	0.0646	0.0172	0.0026600	-29.90	-3.01
