sample.yr	plot	subplot	Snr	d.msrd	year	direction	radius	wid.e	wid.l	wg	wg.mn	wg.mx	wg.e	wg.l
2024	3	2	1	211.5	2014		0.529							
2024	3	2	1	211.5	2013		0.635							
2024	3	2	1	211.5	2012		0.847							
2024	3	2	1	211.5	2011		0.889							
2024	3	2	1	211.5	2010		0.762							
2024	3	2	1	211.5	2009		0.677							
2024	3	2	1	211.5	2008		0.656							
2024	3	2	1	211.5	2007		0.698							
2024	3	2	1	211.5	2006		1.058							
2024	3	2	1	211.5	2005		1.207							
2024	3	2	1	211.5	2004		1.270							
2024	3	2	1	211.5	2003		1.122							
2024	3	2	1	211.5	2002		1.228							
2024	3	2	1	211.5	2001		1.101							
2024	3	2	2	264.0	2024		1.122							
2024	3	2	2	264.0	2023		0.847							
2024	3	2	2	264.0	2022		0.847							
2024	3	2	2	264.0	2021		0.868							
2024	3	2	2	264.0	2020		0.614							
2024	3	2	2	264.0	2019		0.868							
2024	3	2	2	264.0	2018		0.889							
2024	3	2	2	264.0	2017		0.910							
2024	3	2	2	264.0	2016		0.953							
2024	3	2	2	264.0	2015		1.143							
2024	3	2	2	264.0	2014		1.058							
2024	3	2	2	264.0	2013		0.931							
2024	3	2	2	264.0	2012		0.995							
2024	3	2	2	264.0	2011		0.910							
2024	3	2	2	264.0	2010		0.910							
2024	3	2	2	264.0	2009		0.868							
2024	3	2	2	264.0	2008		0.804							
2024	3	2	2	264.0	2007		0.910							
2024	3	2	2	264.0	2006		0.889							
2024	3	2	2	264.0	2005		1.460							
2024	3	2	2	264.0	2004		1.334							
2024	3	2	2	264.0	2003		1.355							
2024	3	2	2	264.0	2002		1.058							
2024	3	2	2	264.0	2001		1.143							
2024	3	2	3	178.5	2024		0.637							
2024	3	2	3	178.5	2023		0.761							
2024	3	2	3	178.5	2022		0.525							
2024	3	2	3	178.5	2021		0.499							
2024	3	2	3	178.5	2020		0.455							
2024	3	2	3	178.5	2019		0.567							
2024	3	2	3	178.5	2018		0.416							
2024	3	2	3	178.5	2017		0.489							
2024	3	2	3	178.5	2016		0.538							
2024	3	2	3	178.5	2015		0.582							
2024	3	2	3	178.5	2014		0.540							
2024	3	2	3	178.5	2013		0.368							
2024	3	2	3	178.5	2012		0.615							
2024	3	2	3	178.5	2011		0.551							
2024	3	2	3	178.5	2010		0.483							
2024	3	2	3	178.5	2009		0.627							
2024	3	2	3	178.5	2008		0.487							
2024	3	2	3	178.5	2007		0.700							
2024	3	2	3	178.5	2006		0.793							
2024	3	2	3	178.5	2005		0.624							
2024	3	2	3	178.5	2004		0.612							
2024	3	2	3	178.5	2003		0.541							
2024	3	2	3	178.5	2002		0.574							
2024	3	2	3	178.5	2001		0.675							
2024	3	2	4	232.0	2024		0.657							
2024	3	2	4	232.0	2023		0.802							
2024	3	2	4	232.0	2022		0.657							
2024	3	2	4	232.0	2021		0.678							
2024	3	2	4	232.0	2020		0.489							
2024	3	2	4	232.0	2019		0.614							
2024	3	2	4	232.0	2018		0.402							
2024	3	2	4	232.0	2017		0.529							
2024	3	2	4	232.0	2016		0.659							
2024	3	2	4	232.0	2015		0.697							
2024	3	2	4	232.0	2014		0.805							
2024	3	2	4	232.0	2013		0.634							
2024	3	2	4	232.0	2012		0.740							
2024	3	2	4	232.0	2011		0.996							
2024	3	2	4	232.0	2010		0.699							
2024	3	2	4	232.0	2009		0.891							
2024	3	2	4	232.0	2008		0.869							
2024	3	2	4	232.0	2007		0.994							
2024	3	2	4	232.0	2006		1.229							
2024	3	2	4	232.0	2005		1.482							
2024	3	2	4	232.0	2004		1.524							
2024	3	2	4	232.0	2003		1.251							
2024	3	2	4	232.0	2002		1.525							
2024	3	2	4	232.0	2001		1.207							
2024	3	2	5	157.5	2024		0.409							
2024	3	2	5	157.5	2023		0.445							
2024	3	2	5	157.5	2022		0.487							
2024	3	2	5	157.5	2021		0.487							
2024	3	2	5	157.5	2020		0.359							
2024	3	2	5	157.5	2019		0.381							
2024	3	2	5	157.5	2018		0.381							
2024	3	2	5	157.5	2017		0.508							
2024	3	2	5	157.5	2016		0.487							
2024	3	2	5	157.5	2015		0.481							
2024	3	2	5	157.5	2014		0.387							
2024	3	2	5	157.5	2013		0.360							
2024	3	2	5	157.5	2012		0.571							
2024	3	2	5	157.5	2011		0.699							
2024	3	2	5	157.5	2010		0.826							
2024	3	2	5	157.5	2009		0.635							
2024	3	2	5	157.5	2008		0.487							
2024	3	2	5	157.5	2007		0.699							
2024	3	2	5	157.5	2006		0.720							
2024	3	2	5	157.5	2005		0.783							
2024	3	2	5	157.5	2004		0.571							
2024	3	2	5	157.5	2003		0.529							
2024	3	2	5	157.5	2002		0.741							
2024	3	2	5	157.5	2001		0.847							
2024	3	3	1	165.5	2024		0.569							
2024	3	3	1	165.5	2023		0.401							
2024	3	3	1	165.5	2022		0.506							
2024	3	3	1	165.5	2021		0.590							
2024	3	3	1	165.5	2020		0.400							
2024	3	3	1	165.5	2019		0.465							
2024	3	3	1	165.5	2018		0.359							
2024	3	3	1	165.5	2017		0.380							
2024	3	3	1	165.5	2016		0.486							
2024	3	3	1	165.5	2015		0.485							
2024	3	3	1	165.5	2014		0.380							
2024	3	3	1	165.5	2013		0.380							
2024	3	3	1	165.5	2012		0.465							
2024	3	3	1	165.5	2011		0.613							
2024	3	3	1	165.5	2010		0.529							
2024	3	3	1	165.5	2009		0.529							
2024	3	3	1	165.5	2008		0.486							
2024	3	3	1	165.5	2007		0.613							
2024	3	3	1	165.5	2006		0.571							
2024	3	3	1	165.5	2005		0.654							
2024	3	3	1	165.5	2004		0.654							
2024	3	3	1	165.5	2003		0.760							
2024	3	3	1	165.5	2002		0.570							
2024	3	3	1	165.5	2001		0.780							
2024	3	3	2	225.5	2024		0.613							
2024	3	3	2	225.5	2023		0.434							
2024	3	3	2	225.5	2022		0.529							
2024	3	3	2	225.5	2021		0.592							
2024	3	3	2	225.5	2020		0.465							
2024	3	3	2	225.5	2019		0.550							
2024	3	3	2	225.5	2018		0.443							
2024	3	3	2	225.5	2017		0.402							
2024	3	3	2	225.5	2016		0.741							
