Snr	sampling_yr	disk	date	time	path	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
8	2011	1.3	2012-05-14	15:50:55	2	0.189	1.165	1.233	0.936	0.803	1.051	1.234	1.128	1.332	0.793	1.415	1.224	1.402	2.007	1.546	1.612	1.615	1.383	1.177	1.378	1.217	1.148	1.08	1.281	0.998	1.066	1.119	1.222	0.94	0.877	0.536	0.786	0.849	0.912	0.912	0.95	0.919	1.267	1.111	1.174	1.746	1.967	1.809	1.491	1.587	1.078	1.048	0.888	0.951	1.204	1.142	1.047	1.619	1.016	0.857	0.889	0.889	0.834	0.77	0.069											
8	2011	1.3	2012-05-14	15:50:55	3	0.05	1.241	0.731	1	0.994	1.058	0.931	1.09	1.349	1.103	1.392	1.258	1.244	1.33	1.206	1.064	1.08	0.9	0.86	0.891	1.017	0.813	0.755	1.038	0.754	0.972	0.933	0.904	0.882	0.849	0.657	0.784	0.876	0.842	0.833	0.913	0.782	0.94	1.095	1.004	1.506	2.305	2.182	1.775	1.584	0.983	0.952	0.793	0.698	0.699	1.143	0.984	1.172	1.173	0.854	1.172	1.057	1.011	1.301	0.237											
8	2011	1.3	2012-05-14	15:50:55	4	0.081	1.122	0.934	0.927	0.94	1.195	0.793	0.836	1.415	1.1	1.312	1.227	1.762	2.444	1.72	1.528	1.289	1.035	1.156	1.329	1.2	0.981	0.823	0.914	0.849	1.075	1.077	1.015	0.792	0.916	0.631	0.757	0.95	1.205	0.92	0.914	0.851	1.046	1.12	1.004	1.776	2.09	1.933	1.871	1.68	1.205	1.312	0.974	0.889	1.047	1.173	1.205	1.364	0.952	1.021	0.995	0.841	0.767	0.82	0.185											
8	2011	4	2012-05-14	16:06:46	1	0.121	0.82	1.442	1.538	1.903	1.706	1.571	2.237	1.569	1.238	1.681	2.489	2.714	2.635	2.254	1.651	1.238	1.27	1.207	1.492	1.967	1.808	2.061	1.872	1.141	1.076	1.06	0.934	0.76	1.046	0.079																																								
8	2011	4	2012-05-14	16:06:46	2	0.048	0.939	1.237	0.951	1.397	1.443	1.459	2.142	1.791	1.618	1.805	3.206	3.044	2.476	2.11	1.666	1.158	1.283	1.011	1.232	1.705	1.541	1.774	1.321	0.82	0.914	1.103	0.905	0.688	1.024	0.169																																								
8	2011	4	2012-05-14	16:06:46	3	0.032	0.571	1.363	1.711	1.693	1.428	1.539	1.793	1.666	1.805	1.524	3.048	2.984	2.508	2.111	2.158	1.761	1.555	1.364	1.425	1.774	1.839	1.872	1.649	1.111	1.079	1.079	1.048	1	1.016	0.19																																								
8	2011	4	2012-05-14	16:06:46	4	0.016	0.491	1.882	1.043	1.691	1.277	1.439	2.407	1.598	1.106	1.742	2.328	2.534	2.187	1.934	1.317	1.032	1.27	1.143	1.333	1.714	1.853	1.888	1.49	0.984	0.794	0.857	0.857	0.762	0.905	0.079																																								
9	2011	1.3	2012-05-14	16:21:28	1	0.048	1.312	1	1.126	1.268	1.078	1.58	1.222	1.427	0.19	0.508	1.555	1.872	0.666	0.82	0.946	0.914	1.449	1.36	1.109	1.111	1.238	1.174	1.428	1.333	1.841	1.683	1.682	1.682	1.776	1.902	1.765	1.451	1.198	0.947	1.357	1.214	1.252	1.141	0.762	0.539	0.539	0.538	0.538	0.443	0.665	0.949	0.853	0.567	1.321	1.977	1.788	1.415	1.443	0.911	1.038	1.1	0.878	0.976	0.853	1.166	1.072	0.917	0.634	0.666	0.729	0.634	0.714	0.222		
9	2011	1.3	2012-05-14	16:21:28	2	0.127	0.568	0.791	1.221	1.03	1.363	1.46	1.52	1.488	0.253	0.824	2.663	1.999	0.635	0.977	0.977	0.789	1.38	1.237	1.05	1.13	1.039	0.944	1.258	1.259	1.264	1.14	1.172	1.235	0.949	1.141	1.046	1.205	1.142	1.173	1.615	1.326	0.915	1.42	1.103	0.978	0.821	0.947	0.979	0.725	0.678	1.15	0.915	1.105	1.552	2.249	1.679	2.154	2.122	1.014	1.3	1.42	1.292	1.295	0.917	0.982	1.29	1.189	0.936	0.936	0.873	0.878	1.041	0.127		
9	2011	1.3	2012-05-14	16:21:28	3	0.047	0.821	1.057	1.259	1.312	1.032	1.332	1.46	1.397	0.317	0.508	2.538	1.745	0.825	1.206	1.523	1.554	1.487	0.979	1.263	1.262	1.137	1.355	1.418	1.418	1.449	1.295	1.768	1.895	1.863	1.579	1.863	1.618	1.238	1.111	1.714	1.585	1.173	1.236	0.887	0.728	0.76	0.729	0.823	0.665	0.887	0.983	0.698	0.729	1.268	1.774	1.9	1.869	1.649	0.983	0.951	0.888	0.825	0.857	0.571	0.888	1.015	0.73	0.635	0.413	0.476	0.619	0.887	0.159		
9	2011	1.3	2012-05-14	16:21:28	4	0.032	0.828	1.01	1.158	0.985	1.365	1.318	0.984	1.508	0.444	0.648	1.345	1.595	0.627	0.785	0.856	0.952	1.46	1.175	1.238	1.047	0.984	0.857	1.111	1.396	1	0.809	1.284	1.412	1.491	1.617	1.363	1.556	1.142	1.206	1.492	1.27	0.809	0.999	0.787	0.571	0.571	0.762	0.857	0.794	0.921	1.048	0.95	0.698	1.365	2.223	1.778	1.429	1.428	0.889	1.048	0.984	0.793	0.729	0.698	1.072	1.106	0.917	0.791	0.823	0.696	0.791	0.712	0.111		
9	2011	3	2012-05-14	09:49:44	1	0.156	1.423	2.094	2.088	1.74	1.428	1.555	1.363	1.49	1.11	1.325	2.603	3.683	2.846	2.72	3.389	2.317	2.095	1.872	1.902	1.745	1.708	1.994	1.52	1.299	1.045	1.141	1.205	1.139	1.237																																									
9	2011	3	2012-05-14	09:49:44	2	0	1.895	2.032	1.451	2.15	1.832	1.519	2.154	1.715	1.143	1.714	3.111	3.695	3.009	2.756	3.197	2.499	1.934	1.771	1.802	2.084	2.039	2.039	1.579	1.104	1.072	1.105	1.235	0.949	1.524																																									
9	2011	3	2012-05-14	09:49:44	3	0.126	1.519	2.23	1.523	2.033	1.523	1.26	1.651	1.578	1.333	1.488	2.79	3.502	2.777	2.526	2.815	2.251	1.776	1.835	1.642	1.581	1.537	1.623	1.361	0.981	0.949	1.174	1.301	1.123	1.381																																									
9	2011	3	2012-05-14	09:49:44	4	0.032	1.745	2.189	1.841	2.38	1.742	1.459	2.28	1.616	1.103	1.548	3.093	3.588	3.161	3.397	3.048	2.349	1.809	2.094	1.711	1.841	1.427	1.618	1.333	1.048	0.982	0.921	1.044	1.012	0.697																																									
10	2011	1.3	2012-05-14	16:38:22	1	0.045	1.437	1.123	1.344	2.009	1.906	2.175	2.334	3.1	3.618	2.57	2.444	2.349	1.522	0.92	1.457	0.855	1.045	1.301	1.682	1.396	1.111	0.889	1.111	1.174	1.556	1.174	1.015	1.396	1.301	1.269	1.365	2.447	3.205	3.139	2.059	1.93	1.619	1.69	1.302	1.048	1.429	1.069	1.478	1.324	1.107	0.982	0.855	0.867	1.09	1.34	0.095																			
10	2011	1.3	2012-05-14	16:38:22	2	0.047	1.152	1.221	1.744	1.667	2.095	2.761	2.572	2.318	2.762	2.794	2.889	2.842	1.729	1.603	1.664	1.554	1.142	1.872	2.048	1.301	1.555	1.412	1.46	1.428	1.683	1.206	0.984	1.397	1.269	1.142	1.142	2.349	4.22	3.999	2.73	2.127	1.46	1.778	1.715	1.302	1.872	1.523	1.428	1.713	1.523	0.999	1.301	1.222	1.458	1.614	0.284																			
10	2011	1.3	2012-05-14	16:38:22	3	0.044	1.384	1.079	1.601	1.862	2.429	2.54	2.54	2.54	2.863	2.53	2.421	2.808	1.466	1.286	1.395	1.013	0.977	1.332	1.839	1.206	1.651	1.651	1.873	1.587	1.696	1.095	1.047	1.268	1.268	1.079	1.324	1.982	3.226	2.713	2.094	2.111	1.602	1.429	0.92	1.048	1.49	1.141	1.143	1.048	0.888	0.825	0.793	0.857	0.984	1.111	0.079																			
10	2011	1.3	2012-05-14	16:38:22	4	0.064	1.466	0.822	1.538	1.665	1.95	2.156	2.441	2.951	2.884	3.243	3.137	2.695	1.727	1.189	1.49	0.825	1.048	1.46	1.364	1.206	1.204	0.794	1.048	1.429	1.522	1.142	0.856	1.3	1.078	1.269	1.205	2.156	3.298	3.17	2.027	1.869	1.238	1.206	0.856	1.332	1.521	0.95	1.11	1.427	1.3	1.143	0.984	0.921	1.286	1.237	0.095																			
10	2011	2	2012-05-14	16:57:41	1	0.071	1.606	1.105	2.629	3.374	2.925	3.315	3.095	1.824	1.738	2.336	2.155	1.472	1.902	1.871	1.552	1.803	1.927	1.358	1.359	1.515	1.291	1.46	1.619	2.349	3.839	3.329	2.629	2.159	1.841	1.238	1.169	1.232	1.856	1.286	1.518	1.519	1.33	1.143	1.205	1.269	1.107	1.478	0.125																											
10	2011	2	2012-05-14	16:57:41	2	0.155	1.586	0.762	2.54	2.938	2.379	2.705	2.858	1.833	1.725	2.038	2.119	1.874	1.673	1.56	1.556	1.793	1.471	1.117	1.073	1.298	1.242	1.486	1.741	2.93	4.17	3.339	2.412	2.285	2.221	1.807	1.302	1.27	1.461	1.27	1.587	1.429	1.015	0.982	0.95	0.982	1.265	1.611	0.268																											
10	2011	2	2012-05-14	16:57:41	3	0.089	1.681	0.664	2.568	2.76	2.65	2.501	2.991	1.901	1.739	2.222	2	1.747	1.942	1.839	1.568	2.091	1.837	1.299	1.159	1.57	1.301	1.587	1.601	2.556	3.413	3.558	2.524	2.679	2.031	1.775	1.792	1.698	1.826	1.349	1.837	1.635	1.175	1.127	1.063	1.365	1.383	1.869	0.174																											
10	2011	2	2012-05-14	16:57:41	4	0.063	1.619	0.982	2.888	3.171	2.434	3.016	2.76	1.554	1.701	2.316	2.378	1.585	1.648	1.394	1.518	1.676	1.615	1.107	1.077	1.518	1.297	1.518	1.803	2.439	3.548	3.39	1.898	2.278	1.835	1.297	0.982	1.172	1.489	1.934	1.746	1.524	1.333	1.141	1.047	1.174	1.3	1.486	0.126																											
11	2011	1.3	2012-05-14	17:23:58	1	0.016	0.76	0.778	1.349	2.35	2.143	2.217	2.063	1.84	2.267	2.136	2.85	3.363	2.915	2.969	3.413	3.128	2.794	3.365	3.08	2.349	2.381	2.413	3.324	2.735	2.533	2.487	2.599	1.74	1.372	1.706	1.836	1.448	1.831	1.591	1.321	1.316	1.598	1.629	1.574	1.565	1.799	1.56	1.677	2.088	3.122	3.009	2.629	2.442	1.873	1.902	2.091	1.806	1.966	1.756	2.07	2.148	1.395	1.078	1.11	1.111	1.3	0.921	0.222							
11	2011	1.3	2012-05-14	17:23:58	2	0.076	0.486	0.898	1.29	2.062	2.093	2.093	2.346	1.887	2.416	1.988	1.774	2.088	1.899	1.774	1.712	1.777	1.459	1.492	1.937	1.714	1.618	1.711	1.914	1.738	1.642	1.622	1.966	1.374	1.198	1.423	1.171	0.982	1.237	0.888	0.602	0.635	0.984	0.633	0.919	0.951	1.047	0.794	0.889	1.453	1.803	1.809	1.617	1.93	1.429	1.397	1.428	1.079	1.174	0.952	1.396	1.587	1.111	0.888	1.012	0.841	0.73	1.014	0.332							
11	2011	1.3	2012-05-14	17:23:58	3	0.047	0.759	0.822	1.232	1.99	2	1.857	2.079	1.789	2.197	1.662	2.279	2.595	2.002	2.038	2.408	2.48	1.992	2.539	2.764	2.214	2.115	2.378	2.233	2.37	2.409	2.153	2.285	1.598	1.564	1.514	1.324	1.421	1.392	1.012	0.756	1.067	1.029	0.915	0.728	1.076	1.265	0.774	0.784	0.979	2.013	1.85	1.73	1.698	1.607	1.418	1.358	1.36	1.103	1.132	1.067	1.157	1.034	0.722	0.881	0.72	0.641	0.652	0.109							
11	2011	1.3	2012-05-14	17:29:06	4	0.071	0.91	0.665	1.364	1.985	1.966	1.934	2.127	1.81	2.064	2.159	2.159	2.594	2.721	2.186	2.941	2.109	2.768	2.165	2.494	2.172	1.348	0.549	0.524	2.211	2.395	2.369	2.594	1.77	1.551	1.711	1.238	1.3	1.459	1.3	0.951	1.174	1.364	1.142	1.142	1.206	1.396	1.301	1.143	1.365	2.315	2.664	2.468	2.531	2.18	1.828	2.18	2.022	2.4	1.737	1.706	1.611	1.392	0.851	0.914	0.851	0.757	0.571	0.095							
11	2011	3	2012-05-14	17:07:49	1	0.128	3.58	1.901	2.436	2.852	2.919	2.921	1.968	2.508	2.794	2.53	2.407	2.316	2.19	2.445	2.508	2.633	2.282	2.061	2.564	2.748	2.17	2.184	3.247	3.778	4.063	3.141	2.447	1.856	1.545	1.229	1.265	1.459	1.746	1.81	1.647	1.297	1.17	1.265	1.329	1.139	1.217	0.063																												
11	2011	3	2012-05-14	17:07:49	2	0.189	3.107	1.895	2.126	2.523	2.746	2.622	1.774	2.22	2.602	2.855	2.537	2.444	2.443	2.317	2.632	2.4	2.177	1.797	2.233	2.29	1.73	1.513	2.021	2.969	3.227	3.143	2.919	1.967	2.253	2.284	2.303	2.815	2.014	1.986	1.834	1.425	1.18	1.65	1.568	1.14	1.46	0.254																												
11	2011	3	2012-05-14	17:07:49	3	0.057	3.146	2.152	2.134	2.778	2.666	2.748	2.117	2.385	2.889	2.539	2.596	2.173	2.015	1.809	2.189	2.032	1.746	1.492	1.869	1.958	1.611	1.677	2.216	2.502	2.567	2.473	2.06	1.774	1.52	1.489	1.46	1.651	1.523	1.808	1.395	1.265	0.888	1.619	0.001	1.111	1.348	0.064																												
11	2011	3	2012-05-14	17:07:49	4	0.047	3.443	2.307	2.085	2.483	2.647	2.977	2.071	2.238	2.236	2.203	2.251	2.521	2.49	2.352	2.571	2.603	2.625	1.851	2.351	2.568	1.981	1.894	2.625	3.651	3.726	3.556	2.783	2.432	2.029	2.251	1.997	2.251	1.936	2.316	2.062	1.523	1.142	1.491	1.333	0.984	1.252	0.095																												
12	2011	1.3	2012-05-14	17:46:08	1	0.067	0.741	0.698	0.802	1.227	1.623	2	1.222	2.205	2.286	2.318	2.84	2.108	2.756	3.072	2.6	1.75	1.777	2.221	1.973	2.601	2.427	2.252	2.11	1.921	1.873	2.444	2.095	1.841	1.602	2.015	2.19	2.381	2.032	2.381	2.127	1.461	1.238	1.585	1.682	1.396	1.459	0.793	0.855	0.947	1.255	1.321	1.101	1.164	1.478	1.51	1.281	2.233	2.357	1.934	2.165	2.49	1.933	1.871	1.585	1.744	2.051	1.846	2.034	1.843	1.279	1.248	1.248	1.244	1.735	1.941
12	2011	1.3	2012-05-14	17:46:08	2	0.091	0.485	0.823	0.681	1.189	1.378	1.618	0.667	1.363	1.427	1.523	1.682	1.3	2.029	1.522	1.206	0.857	1.015	1.238	1.205	1.841	1.81	1.524	1.825	1.872	1.364	1.804	1.559	1.509	1.456	2.021	2.253	1.9	1.742	1.422	1.424	1.33	0.952	1.38	1.253	1.3	1.33	0.759	0.696	0.887	0.884	1.061	0.876	1.295	1.069	1.234	1.074	1.414	1.576	1.945	1.412	1.663	1.728	1.73	1.669	1.418	1.261	1.394	1.265	1.075	1.011	1.042	0.883	0.852	0.947	1.29
12	2011	1.3	2012-05-14	17:46:08	3	0.044	0.4	0.903	0.762	1.296	1.583	1.615	0.948	1.557	1.636	1.66	2.329	1.823	2.565	2.467	2.113	1.329	1.319	1.685	1.776	2.579	2.179	1.796	2.626	1.919	2.046	2.189	1.873	1.691	1.311	2.103	2.192	2.426	1.793	2.108	1.757	1.353	1.069	1.318	1.465	1.314	1.161	0.813	0.75	0.593	0.936	0.842	0.831	1.086	1.248	1.158	1.001	1.173	1.25	1.679	1.673	1.58	1.182	1.466	1.453	1.579	1.484	1.296	1.329	1.235	1.045	0.949	0.824	0.793	0.855	0.679
12	2011	1.3	2012-05-14	17:46:08	4	0.022	0.531	0.809	0.73	0.857	1.584	1.648	1.048	2.039	1.975	1.963	2.16	1.088	2.371	2.075	1.303	0.898	1.056	1.274	0.935	1.777	1.808	1.507	1.886	1.645	1.912	2.189	1.735	1.616	1.483	2.056	2.469	2.259	2.216	1.984	1.543	1.316	1.071	1.071	1.296	1.057	1.425	0.808	0.682	0.725	0.831	0.918	0.744	1.045	1.407	1.285	1.029	1.433	1.928	1.646	2.294	2.13	1.722	1.638	1.971	1.449	1.358	1.026	1.223	1.224	1.033	1.15	0.87	1.119	0.94	1.063
12	2011	3	2012-05-14	17:55:53	1	0.035	1.961	1.587	2.158	2.348	3.175	2.953	3.286	2.524	2.388	2.708	2.251	2.698	2.316	1.555	2.445	2.477	1.936	1.936	2.825	3.393	3.456	3.139	3.201	2.756	2.312	2.602	2.349	2.348	2.158	2.317	1.651	1.302	1.492	1.523	1.489	1.554	1.851	0.047																																
12	2011	3	2012-05-14	17:55:53	2	0.022	1.94	1.326	2.269	3.063	3.722	3.442	3.218	2.603	2.962	3.127	2.349	2.372	2.293	1.916	2.105	2.024	2.106	1.886	2.79	3.132	3.342	3.278	3.086	2.642	2.337	2.432	2.053	1.681	1.618	1.873	1.619	1.3	1.173	1.332	1.27	1.079	1.195	0.142																																
12	2011	3	2012-05-14	17:55:53	3	0.035	1.663	1.556	2.381	2.762	3.889	3.634	3.167	2.597	3.151	3.119	2.247	2.42	2.404	1.768	2.09	2.126	1.778	1.81	2.857	3.238	3.479	2.908	2.81	2.635	2.27	2.683	2.063	1.556	1.492	1.968	1.619	1.142	1.111	1.079	0.984	0.854	1.363	0.19																																
12	2011	3	2012-05-14	17:55:53	4	0.032	1.698	1.499	2.347	2.711	2.878	2.927	3.079	2.247	2.381	2.792	2.254	2.349	2.014	1.408	2.335	2.589	2.306	2.108	2.787	3.2	3.338	3.02	2.748	2.367	2.02	2.272	1.828	1.481	1.891	2.021	1.74	1.427	1.394	1.46	1.397	1.397	1.664	0.268																																
