Snr	sampling_yr	disk	date	time	path	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
2	2011	3	2012-05-14	11:30:20	1	0.091	2.462	3.016	2.108	2.22	2.157	1.682	2.063	1.904	1.333	0.952	1.015	1.205	0.952	0.824	0.889	0.952	0.984	1.111	0.794	0.952	1.015	1.079	1.238	1.079	1.576	1.9	2.118	1.582	1.33	1.678	1.392	1.65	2.318	4.019																																				
2	2011	3	2012-05-14	11:30:20	2	0.095	2.22	3.237	2.064	2.222	1.619	1.651	1.794	1.539	1.175	0.825	0.888	1.206	0.603	0.921	0.793	0.984	0.857	1.142	1.048	0.889	1.175	1.206	1.047	1.238	1.873	1.714	1.651	1.429	1.048	1.332	1.3	1.49	1.9	2.724																																				
2	2011	3	2012-05-14	11:30:20	3	0.044	2.358	3.023	2.08	2.077	1.412	1.412	1.46	1.619	1.397	0.889	0.792	0.95	0.792	0.95	0.919	0.889	1.079	1.205	1.109	0.95	0.984	1.079	0.778	1.221	1.52	1.708	1.674	1.41	1.06	1.14	1.33	1.356	1.627	2.425																																				
2	2011	3	2012-05-14	11:30:20	4	0.057	2.366	3.267	2.04	2.174	1.807	1.523	1.618	1.572	1.352	0.853	0.882	1.269	0.825	0.76	0.76	0.825	0.851	1.045	0.887	0.697	0.919	1.047	1.111	1.302	1.715	1.745	1.714	1.428	1.111	0.984	1.238	1.587	2.252	2.843																																				
3	2011	1.3	2012-05-14	11:52:38	1	0.044	1.379	0.905	1.126	1.365	0.667	1.269	1.554	1.585	1.966	1.998	1.333	1.079	1.064	1.127	1.079	0.984	0.698	0.953	1.206	1.555	1.778	1.81	1.746	1.744	1.705	1.198	1.011	1.043	1.8	1.745	1.775	1.932	1.649	0.889	1.047	1.333	1.204	0.824	0.824	0.459	0.523	0.665	0.919	0.95	0.76	0.887	1.234	1.33	1.647	1.299	1.265	1.046	0.952	1.142	1.206	1.236	1.233	1.328	1.55	1.234	1.523	1.143	0.984	1.175	1.714	2.254	2.127	2.282		
3	2011	1.3	2012-05-14	11:52:38	2	0.079	1.221	0.857	1.155	1.19	0.635	0.967	1.397	1.445	1.873	1.73	0.903	1.143	1.016	1.045	1.015	1.079	0.825	1.063	1.206	1.285	1.682	1.695	1.317	1.474	1.535	1.139	1.14	1.393	1.487	1.172	1.52	1.394	1.457	1.14	1.111	1.27	1.048	0.825	0.857	0.587	0.46	0.762	0.968	0.809	0.744	0.746	0.904	0.872	0.888	0.793	1.079	0.857	0.889	0.794	0.889	1.015	1.079	1.174	1.079	1.063	1.349	1.047	0.984	0.635	1.365	1.585	1.427	1.425		
3	2011	1.3	2012-05-14	11:52:38	3	0.063	0.999	1.014	1.139	1.187	0.539	1.316	1.474	1.474	1.775	1.679	1.203	1.094	1.142	1.108	1.426	1.681	0.872	0.667	1.19	1.269	1.712	1.714	1.365	1.397	1.579	1.135	1.04	1.166	1.297	1.33	1.33	1.683	1.619	0.948	1.092	1.186	0.97	0.84	0.806	0.772	0.677	0.796	0.918	0.899	0.715	0.655	1.093	1.062	1.057	0.995	1.342	1.189	1.101	1.038	1.038	1.164	1.327	1.173	0.952	0.919	1.255	1.257	1.101	1.287	1.349	1.611	1.518	1.774		
3	2011	1.3	2012-05-14	11:52:38	4	0.016	1.316	0.761	1.171	1.396	0.555	1.032	1.333	1.46	2.095	1.872	1.332	1.405	1.354	1.006	1.148	0.896	0.616	0.888	1.27	1.365	1.587	1.587	1.745	1.49	1.455	1.265	0.855	1.014	1.395	1.619	1.397	1.429	1.397	0.952	0.857	1.206	1.016	0.73	0.746	0.365	0.317	0.539	0.698	0.683	0.619	0.73	1.175	1.238	0.953	0.984	1.397	0.951	0.919	0.823	0.917	1.204	1.425	1.264	1.362	1.457	1.265	1.109	1.139	1.164	1.478	1.683	1.847	2.231		
3	2011	3	2012-05-14	12:39:13	1	0.048	2.48	0.968	1.346	2.071	1.894	2.28	2.381	2.211	1.741	2.538	2.011	1.974	1.568	1.045	1.675	1.774	1.17	1.265	1.329	1.097	1.048	1.166	1.198	1.642	1.709	1.321	1.202	1.669	1.793	1.916	1.355	1.072	1.104	2.03	2.81	2.852	2.203																																	
3	2011	3	2012-05-14	12:39:13	2	0.064	2.421	1.014	1.364	2.174	1.91	2.485	2.433	2.222	1.677	1.876	1.84	1.681	1.586	1.079	1.428	1.618	1.492	1.397	1.048	1.523	1.491	1.397	1.302	1.713	1.397	1.143	1.079	1.651	1.84	1.937	1.238	0.921	1.079	2.342	3.035	2.329	2.998																																	
3	2011	3	2012-05-14	12:39:13	3	0.069	2.279	0.831	1.454	2.216	2.023	2.262	2.406	2.122	1.56	2.368	2.088	1.778	1.524	1.079	1.524	1.492	1.237	1.236	1.077	1.14	1.204	1.36	1.105	1.387	1.289	1.324	1.169	1.898	1.612	1.675	1.234	1.11	0.914	1.923	2.801	2.641	2.801																																	
3	2011	3	2012-05-14	12:39:13	4	0.063	2.9	0.827	1.505	1.759	1.956	2.07	2.156	2.398	1.769	2.339	2.119	1.835	1.872	1.174	1.491	1.552	1.713	1.461	1.461	1.81	1.905	1.968	1.46	1.936	1.649	1.742	1.36	1.595	1.343	1.684	1.289	1.041	1.108	1.745	2.178	2.62	2.135																																	
4	2011	1.3	2012-05-14	12:20:40	1	0.053	0.729	0.561	0.707	1.153	2.033	1.824	3.048	2.847	2.529	2.177	2.335	1.658	1.615	1.615	1.837	2.295	2.069	1.963	2.439	1.82	1.302	0.981	1.584	1.396	1.397	1.587	1.016	0.762	0.953	0.952	0.603	0.54	0.508	0.667	1.333	1.522	1.395	1.175	1.048	1.301	1.364	1.3	1.681	1.584	1.487	2.303	1.824	1.569	1.258	0.967	0.935	0.803	1.088	1.276	1.767															
4	2011	1.3	2012-05-14	12:20:40	2	0.095	0.643	0.676	0.655	1.078	1.904	2.019	2.729	2.54	2.032	1.587	1.736	1.82	1.619	1.613	1.891	2.157	1.957	2.166	1.965	1.661	1.459	1.49	1.839	1.556	1.397	1.207	0.762	0.666	0.857	0.958	0.592	0.538	0.697	0.822	1.202	1.36	1.235	1.49	1.237	1.111	1.682	1.996	2.091	2.059	2.158	2.38	2.315	2.19	1.397	1.173	1.079	1.206	1.429	1.556	2.462															
4	2011	1.3	2012-05-14	12:20:40	3	0.074	0.741	0.508	0.815	1.026	2.032	1.947	2.885	2.38	2.22	1.902	2.049	1.945	1.9	1.524	1.884	1.84	2.291	2.154	2.091	1.856	1.569	1.484	2.239	1.862	1.421	1.363	0.791	0.853	0.818	1.004	0.753	0.563	0.657	0.847	0.849	0.753	0.913	1.293	0.914	0.757	0.979	1.198	1.103	0.978	0.979	1.33	1.3	1.458	1.172	0.823	0.919	0.951	1.427	1.872	2.571															
4	2011	1.3	2012-05-14	12:20:40	4	0.032	0.727	0.698	0.762	1.119	1.922	1.9	2.91	2.774	2.384	1.868	2.391	2.127	1.724	1.545	2.167	2.472	2.279	2.076	2.194	1.786	1.254	1.555	1.551	1.684	1.503	1.21	1.175	1.067	1.066	1.054	1.052	0.76	0.657	1.4	1.272	1.368	1.53	1.864	1.702	1.396	1.365	1.111	1.333	1.555	1.269	1.585	1.235	1.708	1.33	1.107	1.171	1.23	2.086	2.373	3.333															
4	2011	3	2012-05-14	12:51:38	1	0.032	2.032	2.091	2.214	2.629	2.743	3.202	2.398	2.527	2.775	2.663	2.427	1.726	1.709	1.985	1.658	1.809	1.192	0.629	0.698	1.755	1.533	1.564	1.663	1.832	1.744	1.65	1.902	1.746	1.682	1.809	1.46	1.714	1.491	1.618	1.078	1.174	0.921	1.048	1.841	2.381	3.302																													
4	2011	3	2012-05-14	12:51:38	2	0.048	1.968	1.76	2.316	2.663	3.254	3.516	2.619	3.189	3.136	2.494	2.34	2.143	1.81	1.984	1.778	1.937	1.365	1.063	1.857	2.222	1.745	1.561	1.399	1.502	1.318	1.195	1.487	1.489	1.711	1.585	1.491	1.585	1.459	1.649	1.238	0.984	1.048	1.523	1.935	2.14	3.063																													
4	2011	3	2012-05-14	12:51:38	3	0.022	1.88	1.981	2.322	2.722	2.966	3.233	2.503	2.817	3.683	2.4	2.08	2.061	1.65	1.698	1.536	2.063	1.206	0.921	1.016	1.326	1.104	1.389	1.521	1.745	1.27	1.524	1.778	1.619	1.571	2.032	1.476	1.617	1.713	2.061	1.873	1.586	1.411	1.475	1.616	1.76	1.076																													
4	2011	3	2012-05-14	12:51:38	4	0.131	2.097	1.649	2.591	2.766	3.549	3.406	2.851	2.861	3.171	2.527	2.094	1.841	1.647	1.769	1.608	1.641	1.038	0.695	0.788	1.267	1.204	1.329	1.331	1.395	1.333	1.461	1.969	2.032	2.088	2.049	1.736	1.706	1.449	1.651	1.428	1.363	1.457	1.807	1.903	1.744	2.032																													
5	2011	1.3	2012-05-14	14:23:41	1	0.127	1.083	0.694	2.126	1.437	1.105	3.173	3.079	3.553	2.191	3.143	4.144	3.442	2.364	2.174	1.552	1.778	1.771	1.541	1.95	2.177	1.835	1.737	2.112	1.58	1.541	1.71	1.672	1.631	1.611	0.818	0.917	1.076	1.362	1.554	1.141	1.617	2.092	2.253	1.775	2.689	2.374	2.534	2.626	2.027	1.774	1.71	2.151	1.898	2.72	1.936	2.124	1.978	1.801	1.613	2.312	2.815	2.748	2.695	0.537											
