plot	repID	d.cm	RingCount	PathLength	variable	value	radius	year
C	2	25.7	58	65.2647	X1993	1.675	1.675	1993
C	3	14	58	44.6249	X1993	0.964	0.964	1993
C	3	23.5	49	66.7462	X1993	1.785	1.785	1993
C	3	25.5	55	67.2356	X1993	1.228	1.228	1993
C	57	18.1	55	42.9563	X1993	0.466	0.466	1993
E	54	17.2	58	63.5423	X1993	0.78	0.78	1993
E	56	17.8	60	56.3447	X1993	0.367	0.367	1993
E	80	25.5	37	60.8427	X1993	1.305	1.305	1993
E	82	26.1	47	65.3303	X1993	1.101	1.101	1993
E	88	28	49	60.0893	X1993	1.298	1.298	1993
F	1	12.3	64	45.7905	X1993	0.329	0.329	1993
F	1	18.2	50	65.5565	X1993	0.466	0.466	1993
F	1	30.3	34	79.375	X1993	1.354	1.354	1993
F	2	16	55	47.6059	X1993	0.419	0.419	1993
F	2	18.5	58	53.1488	X1993	0.381	0.381	1993
F	2	28	49	61.2615	X1993	0.819	0.819	1993
F	3	16.7	68	69.5974	X1993	0.395	0.395	1993
F	3	20.2	50	64.7459	X1993	1.042	1.042	1993
F	3	25.5	51	78.7512	X1993	1.579	1.579	1993
N	3	19	49	55.0077	X1993	0.951	0.951	1993
N	35	11.1	57	46.5744	X1993	0.985	0.985	1993
N	110	35	141	75.2227	X1993	0.294	0.294	1993
S	40	12.7	48	35.4506	X1993	0.867	0.867	1993
S	46	14.6	56	52.6239	X1993	0.7	0.7	1993
S	80	25.5	61	59.3595	X1993	0.697	0.697	1993
S	82	26.1	48	47.6494	X1993	0.592	0.592	1993
W	1	12.3	70	48.3875	X1993	0.337	0.337	1993
W	2	14.5	58	48.1658	X1993	0.546	0.546	1993
W	3	25.5	45	67.6176	X1993	0.95	0.95	1993
C	1	14	55	40.692	X1994	1.279	1.279	1994
C	1	20.7	51	54.9881	X1994	1.403	1.403	1994
C	1	27.2	55	83.3176	X1994	2.868	2.868	1994
C	2	10.6	54	38.1425	X1994	1.153	1.153	1994
C	2	14.7	56	51.6265	X1994	1.609	1.609	1994
C	2	25.7	58	65.2647	X1994	2.416	2.416	1994
C	3	14	58	44.6249	X1994	1.272	1.272	1994
C	3	23.5	49	66.7462	X1994	2.286	2.286	1994
C	3	25.5	55	67.2356	X1994	1.607	1.607	1994
C	57	18.1	55	42.9563	X1994	0.423	0.423	1994
E	54	17.2	58	63.5423	X1994	0.725	0.725	1994
E	56	17.8	60	56.3447	X1994	0.22	0.22	1994
E	80	25.5	37	60.8427	X1994	1.266	1.266	1994
E	82	26.1	47	65.3303	X1994	1.164	1.164	1994
E	88	28	49	60.0893	X1994	0.923	0.923	1994
F	1	12.3	64	45.7905	X1994	0.34	0.34	1994
F	1	18.2	50	65.5565	X1994	0.973	0.973	1994
F	1	30.3	34	79.375	X1994	1.375	1.375	1994
F	2	16	55	47.6059	X1994	0.516	0.516	1994
F	2	18.5	58	53.1488	X1994	0.529	0.529	1994
F	2	28	49	61.2615	X1994	0.713	0.713	1994
F	3	16.7	68	69.5974	X1994	0.556	0.556	1994
F	3	20.2	50	64.7459	X1994	0.834	0.834	1994
F	3	25.5	51	78.7512	X1994	1.5	1.5	1994
N	3	19	49	55.0077	X1994	1.118	1.118	1994
N	35	11.1	57	46.5744	X1994	0.798	0.798	1994
N	110	35	141	75.2227	X1994	0.434	0.434	1994
S	40	12.7	48	35.4506	X1994	0.867	0.867	1994
S	46	14.6	56	52.6239	X1994	0.532	0.532	1994
S	80	25.5	61	59.3595	X1994	0.909	0.909	1994
S	82	26.1	48	47.6494	X1994	0.444	0.444	1994
W	1	12.3	70	48.3875	X1994	0.359	0.359	1994
W	2	14.5	58	48.1658	X1994	0.645	0.645	1994
W	3	25.5	45	67.6176	X1994	0.908	0.908	1994
C	1	14	55	40.692	X1995	1.408	1.408	1995
C	1	20.7	51	54.9881	X1995	1.569	1.569	1995
C	1	27.2	55	83.3176	X1995	2.269	2.269	1995
C	2	10.6	54	38.1425	X1995	1.238	1.238	1995
C	2	14.7	56	51.6265	X1995	1.693	1.693	1995
C	2	25.7	58	65.2647	X1995	2.28	2.28	1995
C	3	14	58	44.6249	X1995	1.195	1.195	1995
C	3	23.5	49	66.7462	X1995	1.83	1.83	1995
C	3	25.5	55	67.2356	X1995	1.316	1.316	1995
C	57	18.1	55	42.9563	X1995	0.36	0.36	1995
E	54	17.2	58	63.5423	X1995	0.557	0.557	1995
E	56	17.8	60	56.3447	X1995	0.404	0.404	1995
E	80	25.5	37	60.8427	X1995	0.907	0.907	1995
E	82	26.1	47	65.3303	X1995	0.72	0.72	1995
E	88	28	49	60.0893	X1995	0.751	0.751	1995
F	1	12.3	64	45.7905	X1995	0.254	0.254	1995
F	1	18.2	50	65.5565	X1995	0.65	0.65	1995
F	1	30.3	34	79.375	X1995	0.994	0.994	1995
F	2	16	55	47.6059	X1995	0.302	0.302	1995
