plot	repID	d.cm	RingCount	PathLength	variable	value	radius	year
N	35	11.1	57	46.5744	X2003	0.294	0.294	2003
N	110	35	141	75.2227	X2003	0.215	0.215	2003
S	40	12.7	48	35.4506	X2003	0.443	0.443	2003
S	46	14.6	56	52.6239	X2003	0.976	0.976	2003
S	80	25.5	61	59.3595	X2003	1.418	1.418	2003
S	82	26.1	48	47.6494	X2003	1.736	1.736	2003
W	1	12.3	70	48.3875	X2003	0.826	0.826	2003
W	2	14.5	58	48.1658	X2003	1.478	1.478	2003
W	3	25.5	45	67.6176	X2003	3.005	3.005	2003
C	1	14	55	40.692	X2004	0.715	0.715	2004
C	1	20.7	51	54.9881	X2004	1.355	1.355	2004
C	1	27.2	55	83.3176	X2004	1.697	1.697	2004
C	2	10.6	54	38.1425	X2004	0.762	0.762	2004
C	2	14.7	56	51.6265	X2004	1.164	1.164	2004
C	2	25.7	58	65.2647	X2004	1.308	1.308	2004
C	3	14	58	44.6249	X2004	0.55	0.55	2004
C	3	23.5	49	66.7462	X2004	1.016	1.016	2004
C	3	25.5	55	67.2356	X2004	0.667	0.667	2004
C	57	18.1	55	42.9563	X2004	1.524	1.524	2004
E	54	17.2	58	63.5423	X2004	1.176	1.176	2004
E	56	17.8	60	56.3447	X2004	0.637	0.637	2004
E	80	25.5	37	60.8427	X2004	2.646	2.646	2004
E	82	26.1	47	65.3303	X2004	2.048	2.048	2004
E	88	28	49	60.0893	X2004	1.895	1.895	2004
F	1	12.3	64	45.7905	X2004	0.762	0.762	2004
F	1	18.2	50	65.5565	X2004	1.46	1.46	2004
F	1	30.3	34	79.375	X2004	1.883	1.883	2004
F	2	16	55	47.6059	X2004	0.879	0.879	2004
F	2	18.5	58	53.1488	X2004	1.27	1.27	2004
F	2	28	49	61.2615	X2004	0.911	0.911	2004
F	3	16.7	68	69.5974	X2004	1.641	1.641	2004
F	3	20.2	50	64.7459	X2004	1.755	1.755	2004
F	3	25.5	51	78.7512	X2004	1.938	1.938	2004
N	3	19	49	55.0077	X2004	1.184	1.184	2004
N	35	11.1	57	46.5744	X2004	0.309	0.309	2004
N	110	35	141	75.2227	X2004	0.177	0.177	2004
S	40	12.7	48	35.4506	X2004	0.696	0.696	2004
S	46	14.6	56	52.6239	X2004	0.997	0.997	2004
S	80	25.5	61	59.3595	X2004	1.418	1.418	2004
S	82	26.1	48	47.6494	X2004	1.761	1.761	2004
W	1	12.3	70	48.3875	X2004	0.931	0.931	2004
W	2	14.5	58	48.1658	X2004	1.709	1.709	2004
W	3	25.5	45	67.6176	X2004	2.455	2.455	2004
C	1	14	55	40.692	X2005	0.723	0.723	2005
C	1	20.7	51	54.9881	X2005	1.805	1.805	2005
C	1	27.2	55	83.3176	X2005	1.79	1.79	2005
C	2	10.6	54	38.1425	X2005	0.804	0.804	2005
C	2	14.7	56	51.6265	X2005	1.058	1.058	2005
C	2	25.7	58	65.2647	X2005	1.202	1.202	2005
C	3	14	58	44.6249	X2005	1.036	1.036	2005
C	3	23.5	49	66.7462	X2005	1.206	1.206	2005
C	3	25.5	55	67.2356	X2005	0.815	0.815	2005
C	57	18.1	55	42.9563	X2005	1.375	1.375	2005
E	54	17.2	58	63.5423	X2005	1.077	1.077	2005
E	56	17.8	60	56.3447	X2005	0.865	0.865	2005
E	80	25.5	37	60.8427	X2005	2.549	2.549	2005
E	82	26.1	47	65.3303	X2005	1.713	1.713	2005
E	88	28	49	60.0893	X2005	1.595	1.595	2005
F	1	12.3	64	45.7905	X2005	0.974	0.974	2005
F	1	18.2	50	65.5565	X2005	1.672	1.672	2005
F	1	30.3	34	79.375	X2005	1.63	1.63	2005
F	2	16	55	47.6059	X2005	1.046	1.046	2005
F	2	18.5	58	53.1488	X2005	1.297	1.297	2005
F	2	28	49	61.2615	X2005	0.996	0.996	2005
F	3	16.7	68	69.5974	X2005	1.255	1.255	2005
F	3	20.2	50	64.7459	X2005	1.51	1.51	2005
F	3	25.5	51	78.7512	X2005	1.797	1.797	2005
N	3	19	49	55.0077	X2005	1.438	1.438	2005
N	35	11.1	57	46.5744	X2005	0.533	0.533	2005
N	110	35	141	75.2227	X2005	0.323	0.323	2005
S	40	12.7	48	35.4506	X2005	0.759	0.759	2005
S	46	14.6	56	52.6239	X2005	1.235	1.235	2005
S	80	25.5	61	59.3595	X2005	1.291	1.291	2005
S	82	26.1	48	47.6494	X2005	1.772	1.772	2005
W	1	12.3	70	48.3875	X2005	1.016	1.016	2005
W	2	14.5	58	48.1658	X2005	1.201	1.201	2005
W	3	25.5	45	67.6176	X2005	2.286	2.286	2005
C	1	14	55	40.692	X2006	0.825	0.825	2006
C	1	20.7	51	54.9881	X2006	1.208	1.208	2006
C	1	27.2	55	83.3176	X2006	1.356	1.356	2006
C	2	10.6	54	38.1425	X2006	0.72	0.72	2006
C	2	14.7	56	51.6265	X2006	0.825	0.825	2006
C	2	25.7	58	65.2647	X2006	1.013	1.013	2006
C	3	14	58	44.6249	X2006	0.867	0.867	2006
C	3	23.5	49	66.7462	X2006	0.931	0.931	2006
C	3	25.5	55	67.2356	X2006	0.909	0.909	2006
C	57	18.1	55	42.9563	X2006	1.015	1.015	2006
E	54	17.2	58	63.5423	X2006	1.181	1.181	2006
E	56	17.8	60	56.3447	X2006	0.985	0.985	2006
E	80	25.5	37	60.8427	X2006	2.352	2.352	2006
E	82	26.1	47	65.3303	X2006	1.883	1.883	2006
E	88	28	49	60.0893	X2006	1.193	1.193	2006
F	1	12.3	64	45.7905	X2006	1.185	1.185	2006
F	1	18.2	50	65.5565	X2006	1.269	1.269	2006
F	1	30.3	34	79.375	X2006	1.609	1.609	2006
F	2	16	55	47.6059	X2006	1.002	1.002	2006
F	2	18.5	58	53.1488	X2006	0.777	0.777	2006
F	2	28	49	61.2615	X2006	0.77	0.77	2006
F	3	16.7	68	69.5974	X2006	1.185	1.185	2006
F	3	20.2	50	64.7459	X2006	1.17	1.17	2006
F	3	25.5	51	78.7512	X2006	1.269	1.269	2006
N	3	19	49	55.0077	X2006	1.475	1.475	2006
N	35	11.1	57	46.5744	X2006	0.581	0.581	2006
N	110	35	141	75.2227	X2006	0.273	0.273	2006
S	40	12.7	48	35.4506	X2006	0.569	0.569	2006
S	46	14.6	56	52.6239	X2006	1.268	1.268	2006
S	80	25.5	61	59.3595	X2006	1.164	1.164	2006
S	82	26.1	48	47.6494	X2006	1.774	1.774	2006
W	1	12.3	70	48.3875	X2006	0.752	0.752	2006
W	2	14.5	58	48.1658	X2006	0.948	0.948	2006
W	3	25.5	45	67.6176	X2006	2.074	2.074	2006
C	1	14	55	40.692	X2007	0.569	0.569	2007
C	1	20.7	51	54.9881	X2007	0.92	0.92	2007
C	1	27.2	55	83.3176	X2007	1.161	1.161	2007
C	2	10.6	54	38.1425	X2007	0.629	0.629	2007
C	2	14.7	56	51.6265	X2007	0.741	0.741	2007
C	2	25.7	58	65.2647	X2007	0.803	0.803	2007
C	3	14	58	44.6249	X2007	0.782	0.782	2007
C	3	23.5	49	66.7462	X2007	0.868	0.868	2007
C	3	25.5	55	67.2356	X2007	0.885	0.885	2007
C	57	18.1	55	42.9563	X2007	0.973	0.973	2007
E	54	17.2	58	63.5423	X2007	0.739	0.739	2007
E	56	17.8	60	56.3447	X2007	0.921	0.921	2007
E	80	25.5	37	60.8427	X2007	1.605	1.605	2007
E	82	26.1	47	65.3303	X2007	1.543	1.543	2007
E	88	28	49	60.0893	X2007	1.296	1.296	2007
F	1	12.3	64	45.7905	X2007	1.249	1.249	2007
F	1	18.2	50	65.5565	X2007	2.051	2.051	2007
F	1	30.3	34	79.375	X2007	2.091	2.091	2007
F	2	16	55	47.6059	X2007	1.065	1.065	2007
F	2	18.5	58	53.1488	X2007	0.947	0.947	2007
F	2	28	49	61.2615	X2007	1.257	1.257	2007
F	3	16.7	68	69.5974	X2007	0.995	0.995	2007
F	3	20.2	50	64.7459	X2007	0.984	0.984	2007
F	3	25.5	51	78.7512	X2007	1.417	1.417	2007
N	3	19	49	55.0077	X2007	0.994	0.994	2007
N	35	11.1	57	46.5744	X2007	0.694	0.694	2007
N	110	35	141	75.2227	X2007	0.172	0.172	2007
S	40	12.7	48	35.4506	X2007	0.759	0.759	2007
S	46	14.6	56	52.6239	X2007	1.263	1.263	2007
S	80	25.5	61	59.3595	X2007	0.889	0.889	2007
S	82	26.1	48	47.6494	X2007	1.587	1.587	2007
W	1	12.3	70	48.3875	X2007	0.581	0.581	2007
W	2	14.5	58	48.1658	X2007	0.632	0.632	2007
W	3	25.5	45	67.6176	X2007	1.925	1.925	2007
C	1	14	55	40.692	X2008	0.434	0.434	2008
C	1	20.7	51	54.9881	X2008	0.988	0.988	2008
C	1	27.2	55	83.3176	X2008	1.248	1.248	2008
C	2	10.6	54	38.1425	X2008	0.677	0.677	2008
C	2	14.7	56	51.6265	X2008	0.549	0.549	2008
C	2	25.7	58	65.2647	X2008	0.718	0.718	2008
C	3	14	58	44.6249	X2008	0.55	0.55	2008
C	3	23.5	49	66.7462	X2008	1.016	1.016	2008
C	3	25.5	55	67.2356	X2008	0.627	0.627	2008
C	57	18.1	55	42.9563	X2008	0.847	0.847	2008
E	54	17.2	58	63.5423	X2008	0.613	0.613	2008
E	56	17.8	60	56.3447	X2008	0.752	0.752	2008
E	80	25.5	37	60.8427	X2008	1.699	1.699	2008
E	82	26.1	47	65.3303	X2008	1.5	1.5	2008
E	88	28	49	60.0893	X2008	1.298	1.298	2008
F	1	12.3	64	45.7905	X2008	1.46	1.46	2008
F	1	18.2	50	65.5565	X2008	2.213	2.213	2008
F	1	30.3	34	79.375	X2008	3.131	3.131	2008
F	2	16	55	47.6059	X2008	1.399	1.399	2008
F	2	18.5	58	53.1488	X2008	1.219	1.219	2008
F	2	28	49	61.2615	X2008	1.014	1.014	2008
F	3	16.7	68	69.5974	X2008	0.952	0.952	2008
F	3	20.2	50	64.7459	X2008	0.766	0.766	2008
F	3	25.5	51	78.7512	X2008	1.039	1.039	2008
N	3	19	49	55.0077	X2008	0.845	0.845	2008
N	35	11.1	57	46.5744	X2008	0.581	0.581	2008
N	110	35	141	75.2227	X2008	0.189	0.189	2008
S	40	12.7	48	35.4506	X2008	0.758	0.758	2008
S	46	14.6	56	52.6239	X2008	1.244	1.244	2008
S	80	25.5	61	59.3595	X2008	0.741	0.741	2008
S	82	26.1	48	47.6494	X2008	1.63	1.63	2008
W	1	12.3	70	48.3875	X2008	0.719	0.719	2008
W	2	14.5	58	48.1658	X2008	0.565	0.565	2008
W	3	25.5	45	67.6176	X2008	1.754	1.754	2008
C	1	14	55	40.692	X2009	0.436	0.436	2009
C	1	20.7	51	54.9881	X2009	1.009	1.009	2009
C	1	27.2	55	83.3176	X2009	1.203	1.203	2009
C	2	10.6	54	38.1425	X2009	0.698	0.698	2009
C	2	14.7	56	51.6265	X2009	0.591	0.591	2009
C	2	25.7	58	65.2647	X2009	0.912	0.912	2009
C	3	14	58	44.6249	X2009	0.519	0.519	2009
C	3	23.5	49	66.7462	X2009	1.085	1.085	2009
C	3	25.5	55	67.2356	X2009	0.517	0.517	2009
C	57	18.1	55	42.9563	X2009	0.847	0.847	2009
E	54	17.2	58	63.5423	X2009	0.613	0.613	2009
E	56	17.8	60	56.3447	X2009	0.676	0.676	2009
E	80	25.5	37	60.8427	X2009	1.52	1.52	2009
E	82	26.1	47	65.3303	X2009	1.374	1.374	2009
E	88	28	49	60.0893	X2009	1.256	1.256	2009
F	1	12.3	64	45.7905	X2009	1.736	1.736	2009
F	1	18.2	50	65.5565	X2009	2.891	2.891	2009
F	1	30.3	34	79.375	X2009	3.259	3.259	2009
F	2	16	55	47.6059	X2009	2.131	2.131	2009
F	2	18.5	58	53.1488	X2009	1.749	1.749	2009
F	2	28	49	61.2615	X2009	1.472	1.472	2009
F	3	16.7	68	69.5974	X2009	1.724	1.724	2009
F	3	20.2	50	64.7459	X2009	1.045	1.045	2009
F	3	25.5	51	78.7512	X2009	1.711	1.711	2009
N	3	19	49	55.0077	X2009	0.85	0.85	2009
N	35	11.1	57	46.5744	X2009	0.497	0.497	2009
N	110	35	141	75.2227	X2009	0.243	0.243	2009
S	40	12.7	48	35.4506	X2009	0.647	0.647	2009
S	46	14.6	56	52.6239	X2009	0.987	0.987	2009
S	80	25.5	61	59.3595	X2009	0.614	0.614	2009
S	82	26.1	48	47.6494	X2009	1.06	1.06	2009
W	1	12.3	70	48.3875	X2009	0.592	0.592	2009
W	2	14.5	58	48.1658	X2009	0.486	0.486	2009
W	3	25.5	45	67.6176	X2009	1.647	1.647	2009
C	1	14	55	40.692	X2010	0.495	0.495	2010
C	1	20.7	51	54.9881	X2010	0.905	0.905	2010
C	1	27.2	55	83.3176	X2010	1.3	1.3	2010
C	2	10.6	54	38.1425	X2010	0.593	0.593	2010
C	2	14.7	56	51.6265	X2010	0.498	0.498	2010
C	2	25.7	58	65.2647	X2010	0.839	0.839	2010
C	3	14	58	44.6249	X2010	0.513	0.513	2010
C	3	23.5	49	66.7462	X2010	0.818	0.818	2010
C	3	25.5	55	67.2356	X2010	0.656	0.656	2010
C	57	18.1	55	42.9563	X2010	0.91	0.91	2010
E	54	17.2	58	63.5423	X2010	0.529	0.529	2010
E	56	17.8	60	56.3447	X2010	0.739	0.739	2010
E	80	25.5	37	60.8427	X2010	1.8	1.8	2010
E	82	26.1	47	65.3303	X2010	1.819	1.819	2010
E	88	28	49	60.0893	X2010	1.157	1.157	2010
F	1	12.3	64	45.7905	X2010	1.692	1.692	2010
F	1	18.2	50	65.5565	X2010	3.85	3.85	2010
F	1	30.3	34	79.375	X2010	4.039	4.039	2010
F	2	16	55	47.6059	X2010	2.084	2.084	2010
F	2	18.5	58	53.1488	X2010	1.723	1.723	2010
F	2	28	49	61.2615	X2010	2.014	2.014	2010
F	3	16.7	68	69.5974	X2010	1.804	1.804	2010
F	3	20.2	50	64.7459	X2010	1.778	1.778	2010
F	3	25.5	51	78.7512	X2010	2.262	2.262	2010
N	3	19	49	55.0077	X2010	0.835	0.835	2010
N	35	11.1	57	46.5744	X2010	0.528	0.528	2010
N	110	35	141	75.2227	X2010	0.221	0.221	2010
S	40	12.7	48	35.4506	X2010	0.774	0.774	2010
S	46	14.6	56	52.6239	X2010	0.933	0.933	2010
S	80	25.5	61	59.3595	X2010	0.593	0.593	2010
S	82	26.1	48	47.6494	X2010	1.157	1.157	2010
W	1	12.3	70	48.3875	X2010	0.444	0.444	2010
W	2	14.5	58	48.1658	X2010	0.4	0.4	2010
W	3	25.5	45	67.6176	X2010	1.495	1.495	2010
C	1	14	55	40.692	X2011	0.582	0.582	2011
C	1	20.7	51	54.9881	X2011	1.405	1.405	2011
C	1	27.2	55	83.3176	X2011	1.58	1.58	2011
C	2	10.6	54	38.1425	X2011	0.593	0.593	2011
C	2	14.7	56	51.6265	X2011	0.559	0.559	2011
C	2	25.7	58	65.2647	X2011	0.987	0.987	2011
C	3	14	58	44.6249	X2011	0.539	0.539	2011
C	3	23.5	49	66.7462	X2011	1.185	1.185	2011
C	3	25.5	55	67.2356	X2011	0.847	0.847	2011
C	57	18.1	55	42.9563	X2011	1.109	1.109	2011
E	54	17.2	58	63.5423	X2011	0.834	0.834	2011
E	56	17.8	60	56.3447	X2011	0.773	0.773	2011
E	80	25.5	37	60.8427	X2011	2.385	2.385	2011
E	82	26.1	47	65.3303	X2011	2.283	2.283	2011
E	88	28	49	60.0893	X2011	1.419	1.419	2011
F	1	12.3	64	45.7905	X2011	1.863	1.863	2011
F	1	18.2	50	65.5565	X2011	3.929	3.929	2011
F	1	30.3	34	79.375	X2011	4.847	4.847	2011
F	2	16	55	47.6059	X2011	2.128	2.128	2011
F	2	18.5	58	53.1488	X2011	1.326	1.326	2011
F	2	28	49	61.2615	X2011	2.088	2.088	2011
F	3	16.7	68	69.5974	X2011	2.118	2.118	2011
F	3	20.2	50	64.7459	X2011	2.313	2.313	2011
F	3	25.5	51	78.7512	X2011	2.518	2.518	2011
N	3	19	49	55.0077	X2011	0.649	0.649	2011
N	35	11.1	57	46.5744	X2011	0.426	0.426	2011
N	110	35	141	75.2227	X2011	0.226	0.226	2011
S	40	12.7	48	35.4506	X2011	0.713	0.713	2011
S	46	14.6	56	52.6239	X2011	0.957	0.957	2011
S	80	25.5	61	59.3595	X2011	0.804	0.804	2011
S	82	26.1	48	47.6494	X2011	1.333	1.333	2011
W	1	12.3	70	48.3875	X2011	0.444	0.444	2011
W	2	14.5	58	48.1658	X2011	0.632	0.632	2011
W	3	25.5	45	67.6176	X2011	2.017	2.017	2011
C	1	14	55	40.692	X2012	0.592	0.592	2012
C	1	20.7	51	54.9881	X2012	1.324	1.324	2012
C	1	27.2	55	83.3176	X2012	1.205	1.205	2012
C	2	10.6	54	38.1425	X2012	0.55	0.55	2012
C	2	14.7	56	51.6265	X2012	0.561	0.561	2012
C	2	25.7	58	65.2647	X2012	0.608	0.608	2012
C	3	14	58	44.6249	X2012	0.667	0.667	2012
C	3	23.5	49	66.7462	X2012	0.804	0.804	2012
C	3	25.5	55	67.2356	X2012	0.614	0.614	2012
C	57	18.1	55	42.9563	X2012	1.333	1.333	2012
E	54	17.2	58	63.5423	X2012	0.75	0.75	2012
E	56	17.8	60	56.3447	X2012	0.76	0.76	2012
E	80	25.5	37	60.8427	X2012	2.043	2.043	2012
E	82	26.1	47	65.3303	X2012	1.529	1.529	2012
E	88	28	49	60.0893	X2012	1.103	1.103	2012
F	1	12.3	64	45.7905	X2012	0.844	0.844	2012
F	1	18.2	50	65.5565	X2012	2.41	2.41	2012
F	1	30.3	34	79.375	X2012	3.955	3.955	2012
F	2	16	55	47.6059	X2012	1.19	1.19	2012
F	2	18.5	58	53.1488	X2012	0.79	0.79	2012
F	2	28	49	61.2615	X2012	1.695	1.695	2012
F	3	16.7	68	69.5974	X2012	1.375	1.375	2012
F	3	20.2	50	64.7459	X2012	1.959	1.959	2012
F	3	25.5	51	78.7512	X2012	2.138	2.138	2012
N	3	19	49	55.0077	X2012	0.74	0.74	2012
N	35	11.1	57	46.5744	X2012	0.584	0.584	2012
N	110	35	141	75.2227	X2012	0.211	0.211	2012
S	40	12.7	48	35.4506	X2012	0.715	0.715	2012
S	46	14.6	56	52.6239	X2012	0.874	0.874	2012
S	80	25.5	61	59.3595	X2012	0.846	0.846	2012
S	82	26.1	48	47.6494	X2012	1.502	1.502	2012
W	1	12.3	70	48.3875	X2012	0.274	0.274	2012
W	2	14.5	58	48.1658	X2012	0.611	0.611	2012
W	3	25.5	45	67.6176	X2012	2.02	2.02	2012
C	1	14	55	40.692	X2013	0.595	0.595	2013
C	1	20.7	51	54.9881	X2013	0.841	0.841	2013
C	1	27.2	55	83.3176	X2013	1.15	1.15	2013
C	2	10.6	54	38.1425	X2013	0.434	0.434	2013
C	2	14.7	56	51.6265	X2013	0.327	0.327	2013
C	2	25.7	58	65.2647	X2013	0.566	0.566	2013
C	3	14	58	44.6249	X2013	0.36	0.36	2013
C	3	23.5	49	66.7462	X2013	0.656	0.656	2013
C	3	25.5	55	67.2356	X2013	0.466	0.466	2013
C	57	18.1	55	42.9563	X2013	1.037	1.037	2013
E	54	17.2	58	63.5423	X2013	0.444	0.444	2013
E	56	17.8	60	56.3447	X2013	0.46	0.46	2013
E	80	25.5	37	60.8427	X2013	1.575	1.575	2013
E	82	26.1	47	65.3303	X2013	1.171	1.171	2013
E	88	28	49	60.0893	X2013	0.865	0.865	2013
F	1	12.3	64	45.7905	X2013	0.381	0.381	2013
F	1	18.2	50	65.5565	X2013	1.486	1.486	2013
F	1	30.3	34	79.375	X2013	3.985	3.985	2013
F	2	16	55	47.6059	X2013	0.397	0.397	2013
F	2	18.5	58	53.1488	X2013	0.2	0.2	2013
F	2	28	49	61.2615	X2013	1.244	1.244	2013
F	3	16.7	68	69.5974	X2013	0.631	0.631	2013
F	3	20.2	50	64.7459	X2013	0.244	0.244	2013
F	3	25.5	51	78.7512	X2013	1.395	1.395	2013
N	3	19	49	55.0077	X2013	0.798	0.798	2013
N	35	11.1	57	46.5744	X2013	0.395	0.395	2013
N	110	35	141	75.2227	X2013	0.294	0.294	2013
S	40	12.7	48	35.4506	X2013	0.564	0.564	2013
S	46	14.6	56	52.6239	X2013	1.03	1.03	2013
S	80	25.5	61	59.3595	X2013	0.614	0.614	2013
S	82	26.1	48	47.6494	X2013	1.333	1.333	2013
W	1	12.3	70	48.3875	X2013	0.163	0.163	2013
W	2	14.5	58	48.1658	X2013	0.57	0.57	2013
W	3	25.5	45	67.6176	X2013	1.643	1.643	2013
C	1	14	55	40.692	X2014	0.705	0.705	2014
C	1	20.7	51	54.9881	X2014	1.384	1.384	2014
C	1	27.2	55	83.3176	X2014	1.518	1.518	2014
C	2	10.6	54	38.1425	X2014	0.561	0.561	2014
C	2	14.7	56	51.6265	X2014	0.403	0.403	2014
C	2	25.7	58	65.2647	X2014	0.819	0.819	2014
C	3	14	58	44.6249	X2014	0.361	0.361	2014
C	3	23.5	49	66.7462	X2014	0.889	0.889	2014
C	3	25.5	55	67.2356	X2014	0.741	0.741	2014
C	57	18.1	55	42.9563	X2014	1.122	1.122	2014
E	54	17.2	58	63.5423	X2014	0.254	0.254	2014
E	56	17.8	60	56.3447	X2014	0.654	0.654	2014
E	80	25.5	37	60.8427	X2014	1.985	1.985	2014
E	82	26.1	47	65.3303	X2014	1.081	1.081	2014
E	88	28	49	60.0893	X2014	1.151	1.151	2014
F	1	12.3	64	45.7905	X2014	0.593	0.593	2014
F	1	18.2	50	65.5565	X2014	2.368	2.368	2014
F	1	30.3	34	79.375	X2014	4.052	4.052	2014
F	2	16	55	47.6059	X2014	0.693	0.693	2014
F	2	18.5	58	53.1488	X2014	0.269	0.269	2014
F	2	28	49	61.2615	X2014	1.795	1.795	2014
F	3	16.7	68	69.5974	X2014	1.25	1.25	2014
F	3	20.2	50	64.7459	X2014	0.309	0.309	2014
F	3	25.5	51	78.7512	X2014	2.177	2.177	2014
N	3	19	49	55.0077	X2014	1.008	1.008	2014
N	35	11.1	57	46.5744	X2014	0.225	0.225	2014
N	110	35	141	75.2227	X2014	0.205	0.205	2014
S	40	12.7	48	35.4506	X2014	0.689	0.689	2014
S	46	14.6	56	52.6239	X2014	0.724	0.724	2014
S	80	25.5	61	59.3595	X2014	0.508	0.508	2014
S	82	26.1	48	47.6494	X2014	1.333	1.333	2014
W	1	12.3	70	48.3875	X2014	0.133	0.133	2014
W	2	14.5	58	48.1658	X2014	0.57	0.57	2014
W	3	25.5	45	67.6176	X2014	1.405	1.405	2014
C	1	14	55	40.692	X2015	0.88	0.88	2015
C	1	20.7	51	54.9881	X2015	1.173	1.173	2015
C	1	27.2	55	83.3176	X2015	1.625	1.625	2015
C	2	10.6	54	38.1425	X2015	0.656	0.656	2015
C	2	14.7	56	51.6265	X2015	0.401	0.401	2015
C	2	25.7	58	65.2647	X2015	0.944	0.944	2015
C	3	14	58	44.6249	X2015	0.612	0.612	2015
C	3	23.5	49	66.7462	X2015	0.72	0.72	2015
C	3	25.5	55	67.2356	X2015	0.593	0.593	2015
C	57	18.1	55	42.9563	X2015	0.804	0.804	2015
E	54	17.2	58	63.5423	X2015	0.381	0.381	2015
E	56	17.8	60	56.3447	X2015	0.862	0.862	2015
E	80	25.5	37	60.8427	X2015	1.684	1.684	2015
E	82	26.1	47	65.3303	X2015	1.206	1.206	2015
E	88	28	49	60.0893	X2015	1.099	1.099	2015
F	1	12.3	64	45.7905	X2015	0.529	0.529	2015
F	1	18.2	50	65.5565	X2015	2.035	2.035	2015
F	1	30.3	34	79.375	X2015	3.339	3.339	2015
F	2	16	55	47.6059	X2015	0.901	0.901	2015
F	2	18.5	58	53.1488	X2015	0.612	0.612	2015
F	2	28	49	61.2615	X2015	1.716	1.716	2015
F	3	16.7	68	69.5974	X2015	1.48	1.48	2015
F	3	20.2	50	64.7459	X2015	0.695	0.695	2015
F	3	25.5	51	78.7512	X2015	2.106	2.106	2015
N	3	19	49	55.0077	X2015	0.846	0.846	2015
N	35	11.1	57	46.5744	X2015	0.118	0.118	2015
N	110	35	141	75.2227	X2015	0.122	0.122	2015
S	40	12.7	48	35.4506	X2015	0.785	0.785	2015
S	46	14.6	56	52.6239	X2015	0.91	0.91	2015
S	80	25.5	61	59.3595	X2015	0.614	0.614	2015
S	82	26.1	48	47.6494	X2015	1.227	1.227	2015
W	1	12.3	70	48.3875	X2015	0.19	0.19	2015
W	2	14.5	58	48.1658	X2015	0.506	0.506	2015
W	3	25.5	45	67.6176	X2015	1.907	1.907	2015
C	1	14	55	40.692	X2016	0.952	0.952	2016
C	1	20.7	51	54.9881	X2016	0.919	0.919	2016
C	1	27.2	55	83.3176	X2016	1.545	1.545	2016
C	2	10.6	54	38.1425	X2016	0.705	0.705	2016
C	2	14.7	56	51.6265	X2016	0.423	0.423	2016
C	2	25.7	58	65.2647	X2016	0.864	0.864	2016
C	3	14	58	44.6249	X2016	0.402	0.402	2016
C	3	23.5	49	66.7462	X2016	0.762	0.762	2016
C	3	25.5	55	67.2356	X2016	0.719	0.719	2016
C	57	18.1	55	42.9563	X2016	0.825	0.825	2016
E	54	17.2	58	63.5423	X2016	0.425	0.425	2016
E	56	17.8	60	56.3447	X2016	0.636	0.636	2016
E	80	25.5	37	60.8427	X2016	1.696	1.696	2016
E	82	26.1	47	65.3303	X2016	0.934	0.934	2016
E	88	28	49	60.0893	X2016	0.842	0.842	2016
F	1	12.3	64	45.7905	X2016	0.508	0.508	2016
F	1	18.2	50	65.5565	X2016	1.736	1.736	2016
F	1	30.3	34	79.375	X2016	2.623	2.623	2016
F	2	16	55	47.6059	X2016	1.067	1.067	2016
F	2	18.5	58	53.1488	X2016	0.571	0.571	2016
F	2	28	49	61.2615	X2016	1.885	1.885	2016
F	3	16.7	68	69.5974	X2016	1.16	1.16	2016
F	3	20.2	50	64.7459	X2016	0.888	0.888	2016
F	3	25.5	51	78.7512	X2016	1.55	1.55	2016
N	3	19	49	55.0077	X2016	0.691	0.691	2016
N	35	11.1	57	46.5744	X2016	0.083	0.083	2016
N	110	35	141	75.2227	X2016	0.151	0.151	2016
S	40	12.7	48	35.4506	X2016	0.66	0.66	2016
S	46	14.6	56	52.6239	X2016	1.066	1.066	2016
S	80	25.5	61	59.3595	X2016	0.93	0.93	2016
S	82	26.1	48	47.6494	X2016	1.016	1.016	2016
W	1	12.3	70	48.3875	X2016	0.295	0.295	2016
W	2	14.5	58	48.1658	X2016	0.442	0.442	2016
W	3	25.5	45	67.6176	X2016	1.52	1.52	2016
C	1	14	55	40.692	X2017	0.783	0.783	2017
C	1	20.7	51	54.9881	X2017	0.998	0.998	2017
C	1	27.2	55	83.3176	X2017	1.566	1.566	2017
C	2	10.6	54	38.1425	X2017	0.497	0.497	2017
C	2	14.7	56	51.6265	X2017	0.317	0.317	2017
C	2	25.7	58	65.2647	X2017	0.765	0.765	2017
C	3	14	58	44.6249	X2017	0.277	0.277	2017
C	3	23.5	49	66.7462	X2017	0.656	0.656	2017
C	3	25.5	55	67.2356	X2017	0.655	0.655	2017
C	57	18.1	55	42.9563	X2017	0.593	0.593	2017
E	54	17.2	58	63.5423	X2017	0.433	0.433	2017
E	56	17.8	60	56.3447	X2017	0.57	0.57	2017
E	80	25.5	37	60.8427	X2017	1.457	1.457	2017
E	82	26.1	47	65.3303	X2017	1.022	1.022	2017
E	88	28	49	60.0893	X2017	0.671	0.671	2017
F	1	12.3	64	45.7905	X2017	0.296	0.296	2017
F	1	18.2	50	65.5565	X2017	0.974	0.974	2017
F	1	30.3	34	79.375	X2017	3.109	3.109	2017
F	2	16	55	47.6059	X2017	0.61	0.61	2017
F	2	18.5	58	53.1488	X2017	0.36	0.36	2017
F	2	28	49	61.2615	X2017	2.008	2.008	2017
F	3	16.7	68	69.5974	X2017	0.882	0.882	2017
