TreeName	RingCount	PathLength	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938
10_02	64	56.8655	0.37	0.275	0.208	0.194	0.148	0.233	0.339	0.402	0.55	0.444	0.571	0.72	0.614	0.656	0.55	0.635	0.423	0.741	0.635	0.445	0.55	0.72	0.847	0.889	0.825	0.974	1.545	1.312	1.418	0.614	0.635	0.868	0.974	0.804	0.55	0.889	0.931	0.572	0.466	0.603	0.9	0.889	0.953	0.889	0.804	0.677	1.08	0.656	1.228	1.482	1.418	1.651	1.905	1.714	2.082	1.453	1.458	1.686	1.48	1.446	0.519	1.721	1.406	0.487																					
10_03	64	57.2762	0.269	0.254	0.136	0.203	0.296	0.466	0.419	0.28	0.318	0.487	0.614	0.55	0.572	0.614	0.741	0.677	0.847	0.868	0.72	0.931	0.889	1.016	1.016	0.825	1.101	1.693	1.566	1.621	0.643	0.677	0.656	0.825	0.787	0.568	0.847	0.72	0.571	0.589	0.597	1.037	0.91	1.228	1.206	0.868	0.699	1.058	0.762	1.101	1.249	1.355	1.228	1.545	0.995	1.651	1.778	1.381	1.548	1.388	1.355	0.469	1.7	1.345	0.879	0.56																					
10_04	64	61.3979	0.44	0.259	0.221	0.205	0.184	0.169	0.339	0.339	0.423	0.381	0.43	0.607	0.55	0.593	0.508	0.466	0.717	0.765	0.593	0.487	0.804	0.783	0.699	0.804	0.571	0.792	1.324	1.482	1.609	0.826	0.783	0.868	0.635	0.571	0.423	0.55	0.762	0.593	0.614	0.656	0.699	0.847	1.016	0.953	0.656	0.699	1.089	1.109	1.718	2.123	2.386	2.667	2.659	2.272	1.82	1.395	1.304	2.121	1.782	1.857	0.581	1.607	1.123	0.824																					
11_01	57	39.2522	0.127	0.116	0.177	0.224	0.187	0.258	0.339	0.254	0.244	0.24	0.426	0.339	0.466	0.36	0.306	0.35	0.317	0.36	0.783	0.593	0.826	0.868	0.889	1.355	0.847	0.402	0.423	0.677	0.445	0.466	0.508	0.487	0.487	0.423	0.487	0.614	0.593	0.698	0.677	0.571	0.804	0.91	0.889	0.783	1.27	0.995	1.312	1.185	0.974	1.037	0.995	1.587	1.251	1.522	1.308	1.972	0.762																												
11_02	56	36.8972	0.161	0.084	0.124	0.211	0.144	0.254	0.247	0.296	0.212	0.264	0.26	0.344	0.296	0.212	0.216	0.25	0.36	0.402	0.423	0.593	0.656	0.868	0.931	1.207	0.656	0.445	0.635	0.635	0.508	0.571	0.593	0.593	0.508	0.445	0.698	0.677	0.656	0.677	0.741	0.656	0.593	0.931	0.952	0.931	1.461	1.228	1.334	1.355	0.995	0.995	0.804	1.398	1.129	1.326	1.649	0.764																													
11_03	58	39.2504	0.117	0.114	0.123	0.201	0.17	0.235	0.148	0.275	0.212	0.212	0.254	0.339	0.296	0.275	0.402	0.275	0.127	0.254	0.212	0.402	0.55	0.487	0.656	0.931	0.974	1.058	0.635	0.36	0.572	0.571	0.514	0.544	0.783	0.614	0.466	0.445	0.402	0.741	0.677	0.847	0.825	0.783	0.847	1.228	1.101	1.27	1.842	1.228	1.228	1.037	0.918	1.241	0.962	1.307	1.182	1.185	1.902	0.85																											
11_04	56	35.4128	0.214	0.104	0.132	0.145	0.177	0.204	0.339	0.317	0.212	0.212	0.318	0.317	0.381	0.223	0.137	0.169	0.177	0.225	0.36	0.445	0.656	0.72	0.741	0.931	0.48	0.345	0.423	0.444	0.402	0.317	0.444	0.444	0.423	0.347	0.415	0.546	0.576	0.826	0.825	0.635	0.804	0.952	1.143	1.164	1.482	1.334	1.249	0.995	0.741	0.952	1.503	1.291	1.143	1.143	2.128	0.645																													
12_01	68	63.3678	0.266	0.508	0.381	0.423	0.308	0.581	0.55	0.572	0.445	0.423	0.572	0.677	0.529	0.516	0.617	0.671	0.715	0.804	0.783	0.698	0.72	0.804	1.037	1.037	0.931	1.312	1.778	1.566	1.763	1.264	0.677	0.825	0.466	0.127	0.445	0.487	0.487	0.572	0.529	0.593	0.529	0.825	0.804	1.164	1.228	1.185	1.143	1.778	1.884	1.82	1.715	1.609	1.566	1.63	1.291	1.122	0.974	0.826	0.941	1.223	1.342	1.286	1.754	1.085	0.642	0.735	1.207	0.728																	
12_02	64	69.2350	0.589	0.423	0.381	0.55	0.487	0.699	0.614	0.783	0.614	0.445	0.614	0.699	0.593	0.762	0.635	0.868	0.762	0.847	0.783	0.804	0.783	0.804	1.122	1.037	1.503	1.63	1.926	1.947	2.095	1.461	0.931	1.037	0.699	0.614	0.741	0.677	0.635	0.508	0.445	0.635	0.762	0.72	1.058	1.439	1.397	1.312	1.778	1.503	1.969	2.138	2.138	1.905	1.587	1.122	1.143	1.164	1.143	1.524	1.587	1.569	1.401	1.77	1.558	0.581																					
12_03	63	65.3844	0.497	0.487	0.381	0.423	0.402	0.445	0.529	0.487	0.36	0.36	0.487	0.487	0.508	0.55	0.72	0.783	0.72	0.741	0.572	0.741	0.783	0.741	0.889	1.27	0.974	1.334	1.439	1.736	1.99	1.08	0.614	0.72	0.543	0.55	0.749	0.635	0.487	0.826	0.508	0.677	0.868	1.143	1.207	1.122	1.185	1.609	1.651	1.863	2.095	2.201	1.714	1.762	1.688	1.841	1.587	1.397	1.641	1.788	1.655	1.23	1.595	2.145	0.72																						
12_04	66	64.6270	0.552	0.423	0.318	0.324	0.362	0.52	0.548	0.528	0.446	0.467	0.529	0.635	0.532	0.633	0.614	0.64	0.821	0.741	0.741	0.91	0.712	0.748	0.847	0.889	0.953	1.355	1.482	1.524	1.637	1.326	0.804	0.868	0.627	0.664	0.677	0.656	0.529	0.458	0.515	0.572	0.704	0.877	1.129	1.545	1.183	1.315	1.355	1.482	1.809	2.086	1.99	1.545	1.778	1.566	1.736	1.693	1.333	1.569	1.458	1.503	1.079	1.461	1.143	0.621	0.692	0.572																			
13_01	72	112.4108	0.864	0.608	0.472	0.698	0.677	0.974	0.762	0.952	1.037	1.101	0.868	1.27	1.291	1.431	1.278	1.566	1.545	1.82	1.905	1.355	1.566	1.333	1.566	1.638	1.749	2.032	2.117	1.926	2.616	1.999	1.312	1.376	1.599	1.164	0.983	1.256	1.729	1.058	0.825	0.953	1.397	0.931	1.63	2.074	1.714	1.461	1.503	1.609	1.757	1.545	1.609	1.27	1.693	1.524	1.418	1.545	1.693	1.461	1.926	2.328	1.482	2.35	1.947	2.477	2.222	1.312	2.074	2.731	2.473	2.394	2.022	2.276													
13_02	75	108.5351	0.882	0.592	0.573	0.72	0.656	0.783	0.995	0.995	0.913	0.908	1.084	1.316	1.092	1.228	0.635	1.058	1.418	1.672	1.969	1.376	1.503	1.376	1.122	1.376	1.291	1.693	1.334	1.842	2.561	2.286	1.439	1.841	1.46	1.334	1.08	1.206	1.312	1.312	0.635	0.868	1.439	1.228	1.99	2.011	1.651	1.206	1.842	1.926	1.46	1.63	1.63	1.651	1.587	1.482	1.651	1.334	1.312	1.249	1.693	1.757	1.08	2.244	1.397	1.757	1.63	1.185	2.032	2.773	2.582	2.488	2.126	1.689	1.317	0.734	0.515										
13_03	73	113.3073	0.876	0.889	0.635	0.868	0.889	0.931	1.206	0.995	1.249	1.037	1.27	1.503	1.359	1.308	1.334	0.974	1.503	2.117	2.095	1.785	2.022	1.499	1.36	1.503	1.545	1.82	2.143	1.328	2.282	2.199	1.192	1.355	1.63	1.312	1.257	1.346	1.291	1.122	0.847	1.016	1.15	1.347	1.757	1.524	1.503	1.63	2.307	1.947	2.18	1.786	1.792	1.672	1.863	1.651	1.651	1.482	1.587	1.786	1.643	2.18	1.566	1.926	1.672	1.99	1.799	1.143	2.074	2.667	2.511	2.564	2.14	0.638	0.677												
13_04	70	103.4251	0.85	0.741	0.535	0.481	0.656	0.741	1.058	0.91	0.847	0.677	1.141	1.303	0.963	1.21	1.236	1.411	1.033	1.577	2.148	1.355	1.439	1.058	1.185	1.366	1.132	1.46	1.27	1.884	2.115	1.949	1.228	1.672	1.058	1.143	1.08	1.206	1.143	1.249	0.635	0.783	1.228	1.143	1.63	1.926	1.333	1.503	1.841	2.074	1.764	1.856	1.947	1.566	1.651	1.457	1.506	1.333	1.206	1.503	1.736	1.736	1.418	2.371	1.687	1.7	1.905	1.281	2.36	2.902	2.747	3.77															
14_01	67	83.1925	0.727	0.571	0.381	0.571	0.296	0.423	0.55	0.825	0.487	0.593	0.529	0.61	0.512	0.381	0.55	0.529	0.635	0.868	0.783	0.847	0.804	0.847	0.72	1.079	0.868	1.079	1.101	1.736	1.833	1.278	0.762	0.889	0.826	0.804	0.656	0.741	0.741	0.931	0.783	1.058	1.291	1.355	1.482	1.355	1.147	1.287	1.715	2.032	2.15	2.253	2.48	2.238	2.648	2.075	2.56	2.434	2.489	2.331	2.663	2.836	2.27	2.525	1.735	1.403	1.136	1.171	0.121																		
14_02	64	84.2471	0.732	0.476	0.371	0.52	0.326	0.55	0.614	0.635	0.72	0.571	0.826	0.72	0.762	0.656	0.614	0.783	0.804	1.016	0.952	1.228	0.825	0.91	0.867	1.123	1.022	1.328	1.122	1.587	1.655	1.37	0.955	1.173	1.071	1.016	0.635	0.847	0.826	0.804	0.825	0.826	1.185	1.376	1.483	1.735	1.63	1.439	1.799	1.969	2.18	2.49	2.759	2.54	2.328	2.096	2.286	2.582	2.54	2.473	2.573	2.666	2.076	2.411	1.53	0.855																					
14_03	64	82.3857	0.583	0.423	0.317	0.466	0.233	0.445	0.614	0.571	0.593	0.487	0.635	0.677	0.699	0.614	0.72	0.889	0.91	1.101	0.931	0.868	0.868	0.868	0.847	0.995	1.037	1.228	1.122	1.947	2.244	1.608	1.08	1.027	0.923	0.796	0.782	0.757	0.763	0.819	0.928	1.101	1.3	1.474	1.523	1.842	1.609	1.355	2.032	2.074	2.159	2.328	2.582	2.455	2.392	2.011	2.371	2.286	2.349	2.455	2.392	2.244	2.138	2.332	0.798	0.045																					
14_04	68	87.9919	0.654	0.55	0.381	0.55	0.381	0.508	0.593	0.698	0.55	0.593	0.699	0.804	0.635	0.55	0.55	0.635	0.804	0.889	0.974	1.08	0.952	0.974	0.974	1.251	1.267	1.46	1.334	1.799	1.674	1.543	0.91	1.291	1.312	0.783	0.91	0.931	0.931	0.91	0.931	0.868	1.397	1.323	1.64	1.693	1.333	1.27	1.968	2.117	2.046	2.484	2.625	2.434	2.201	2.096	2.201	2.265	2.212	2.391	2.314	2.443	2.2	2.395	1.625	1.472	1.388	1.16	0.614	0.085																	
