treatment	plot	Tnr1	Tnr2	d1	d2	scan_nr	scan_order	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
C	3	4	4	289	292	4	4	0.974	1.122	1.397	1.206	0.931	0.762	0.635	0.508	0.402	0.529	0.577	0.551	0.382	0.36	0.381	0.541	0.467	0.339	0.402	0.255	0.372	0.349	0.329	0.392
C	2	5	5	161	154	4	5	0.847	0.741	0.529	0.571	0.783	0.72	0.699	0.487	0.635	0.826	0.699	0.571	0.36	0.387	0.481	0.487	0.508	0.381	0.381	0.359	0.487	0.487	0.445	0.409
C	6	76	2	204	203	4	6	0.726	0.629	0.856	0.901	0.825	0.508	0.529	0.466	0.426	0.463	0.512	0.467	0.46	0.572	0.635	0.677	0.55	0.339	0.466	0.345	0.565	0.72	0.445	0.561
C	3	5	5	247	238	4	7	1.188	0.847	0.868	1.333	1.27	1.08	0.995	0.952	1.102	1.525	1.755	1.334	0.931	1.101	1.037	0.974	0.826	0.698	0.783	0.677	0.741	1.185	0.939	1.357
F	3	3	3	265	260	4	8	0.867	0.771	0.91	0.73	0.743	0.719	1.271	1.716	1.821	2.139	2.14	1.633	1.628	1.504	1.587	1.482	1.059	0.995	0.973	0.554	0.676	0.848	0.826	0.742
F	5	24	5	212	206	5	1	0.781	1.482	1.254	1.117	1.185	1.058	1.249	1.609	2.18	2.223	2.223	1.693	0.847	0.847	1.863	1.757	1.609	1.291	1.672	0.783	1.079	1.947	1.434	1.269
F	2	1	1	215	200	5	2	1.43	1.852	1.831	1.812	1.8	1.292	1.577	2.024	2.233	2.434	2.133	1.185	0.783	1.244	1.042	0.811	0.529	0.317	0.413	0.381	0.392	0.751	0.784	0.73
F	6	6	5	228	240	5	3	1.334	1.376	1.184	1.546	1.371	1.291	1.635	2.52	2.454	2.308	2.624	2.266	1.524	1.757	2.921	3.028	1.842	0.973	1.27	1.46	1.863	1.439	1.65	1.37
C	2	1	1	214	209	5	4	1.101	1.228	1.122	1.27	1.207	1.058	0.698	0.656	0.677	0.762	0.889	0.847	0.635	0.529	0.635	0.614	0.55	0.36	0.402	0.233	0.381	0.36	0.381	0.509
F	2	2	2	255	260	5	5	1.101	1.863	1.947	1.693	1.566	1.397	1.249	1.376	1.524	2.265	3.196	2.434	1.778	1.672	1.778	1.672	1.016	0.741	0.487	0.423	0.995	1.418	1.63	1.061
F	2	3	3	307	311	5	6	1.545	1.651	1.757	2.117	1.705	1.019	1.869	1.947	2.751	2.884	2.579	2.299	1.49	1.587	1.799	1.926	1.672	1.312	1.037	1.02	1.186	1.293	0.638	1.014
C	6	82	1	303	307	5	7	0.762	0.995	0.804	1.461	1.503	1.065	1.101	0.973	0.837	0.829	0.931	0.826	0.825	0.974	0.91	1.016	0.91	0.592	0.836	0.519	0.614	0.762	0.677	0.867
C	4	72	3	188	193	5	8	0.614	0.889	0.593	0.973	1.08	0.846	1.101	0.91	0.868	0.762	0.889	0.931	0.825	1.101	1.27	1.185	1.249	1.207	1.164	0.91	1.037	0.741	1.058	1.038
F	1	1	1	184	190	6	1	0.72	1.122	1.143	0.847	0.995	0.868	0.741	0.762	1.376	1.693	2.011	1.482	0.677	0.656	1.228	0.677	0.402	0.487	0.656	0.202	0.402	0.581	0.508	0.51
F	5	63	1	280	290	6	2	1.238	1.63	1.582	1.847	1.503	1.418	1.418	1.869	2.581	2.459	2.371	2.352	1.637	1.797	1.486	2.136	1.251	1.165	1.503	1.102	1.694	1.505	1.718	1.417
F	4	5	3	271	267	6	3	1.82	2.265	2.307	2.349	1.989	1.757	1.8	2.604	3.344	3.492	2.942	1.862	0.952	1.418	2.371	2.011	1.566	1.503	1.99	1.587	2.265	1.842	2.836	2.285
F	5	37	4	181	175	6	4	0.804	0.974	1.016	1.164	1.228	1.101	1.376	2.201	2.519	2.138	2.582	1.884	1.016	1.799	1.863	1.799	1.312	1.164	1.418	1.185	1.376	1.312	1.308	1.27
C	6	11	5	233	235	6	5	0.666	0.604	0.847	0.952	0.879	0.868	0.91	0.794	0.772	0.773	0.709	0.794	0.699	0.815	0.709	0.709	0.709	0.54	0.645	0.434	0.816	0.709	0.55	0.624
F	3	5	5	320	322	6	6	0.995	1.291	1.1	1.503	1.483	0.995	1.016	1.672	2.032	2.203	2.541	1.988	1.44	1.483	1.863	1.948	1.82	1.46	1.568	0.931	0.762	0.804	0.785	0.591
C	2	2	2	266	262	6	7	1.143	1.058	1.355	1.334	1.46	0.889	0.91	0.804	0.868	0.91	0.91	0.995	0.931	1.058	1.143	0.953	0.91	0.889	0.868	0.614	0.868	0.847	0.847	1.122
C	6	29	4	151	154	6	8	0.55	0.572	0.889	0.974	1.037	0.804	0.868	0.699	0.614	0.508	0.656	0.72	0.466	0.635	0.55	0.529	0.423	0.296	0.402	0.36	0.593	0.508	0.572	0.635
F	3	1	1	220	219	7	1	0.499	0.636	0.642	0.762	0.931	0.698	0.825	0.614	0.613	1.052	1.683	1.563	0.762	0.931	1.609	1.757	0.931	0.55	0.437	0.286	0.255	0.255	0.369	0.634
F	3	4	4	167	161	7	2	1.312	1.524	1.397	1.228	1.291	0.931	1.185	0.974	1.355	1.461	1.863	1.397	0.508	0.466	1.376	1.27	0.656	0.55	0.741	0.508	0.55	0.863	0.661	0.656
F	2	3	3	300	294	7	3	1.973	1.779	1.549	1.612	1.061	1.716	1.929	2.502	3.095	2.357	2.413	2.053	2.159	2.011	2.096	1.841	1.394	1.273	1.207	1.358	1.25	1.355	1.315	1.339
C	4	77	1	144	147	7	4	0.722	0.646	0.665	0.889	1.071	0.784	0.72	0.643	0.66	0.571	0.613	0.435	0.466	0.62	0.741	0.847	0.656	0.439	0.423	0.424	0.514	0.63	0.492	0.62
F	6	27	3	219	229	7	5	0.811	0.783	0.926	1.144	1.144	0.846	1.337	1.629	1.8	1.716	1.503	0.742	0.296	0.296	0.403	0.847	0.912	0.888	1.229	0.953	0.954	1.123	1.44	1.843
F	1	3	3	289	287	7	6	1.587	2.201	2.18	2.138	2.032	1.715	1.672	1.715	2.349	3.196	4.006	3.043	2.286	3.445	3.413	3.408	2.498	2.709	2.773	1.219	1.526	2.186	2.265	2.711
F	5	53	3	234	220	7	7	1.037	2.096	1.947	2.392	1.714	1.355	2.159	2.349	2.604	2.467	2.084	1.206	0.339	0.32	0.653	1.164	0.699	0.339	0.571	0.677	1.101	0.778	0.875	1.123
C	4	63	4	260	262	7	8	0.004	1.672	1.016	1.605	1.418	1.143	0.804	0.783	0.847	0.974	1.101	1.08	0.783	0.995	0.804	0.995	0.83	0.588	0.64	0.741	0.825	0.885	0.64	0.677
F	4	4	4	302	296	8	1	2.307	3.323	2.857	2.731	2.201	1.524	1.672	2.455	3.111	2.9	3.048	2.625	2.498	2.879	2.011	2.942	2.794	3.26	3.344	2.857	3.558	2.985	2.877	2.394
F	2	5	5	188	164	8	2	0.804	1.037	1.058	1.291	1.122	0.847	1.333	1.291	1.143	1.249	1.63	1.249	1.206	1.27	1.418	1.037	0.741	0.72	0.889	0.677	0.614	1.101	0.868	1.274
F	5	24	5	212	206	8	3	0.847	1.334	1.164	1.08	1.143	0.953	1.518	1.742	2.371	2.286	2.328	1.799	0.825	1.101	1.439	1.588	1.566	1.376	1.969	1.037	1.079	1.312	1.778	1.641
F	5	64	2	186	204	8	4	0.529	0.868	1.079	1.101	1.164	1.397	2.54	3.175	2.942	2.307	2.095	1.588	0.635	0.974	1.333	1.037	0.699	0.55	0.593	0.487	0.699	0.974	0.593	0.466
C	4	80	2	169	168	8	5	0.441	0.617	0.487	0.702	0.741	0.522	0.473	0.381	0.37	0.403	0.434	0.36	0.159	0.212	0.349	0.213	0.131	0.105	0.084	0.123	0.148	0.159	0.275	0.19
F	4	36	5	217	206	8	6	1.027	1.122	1.482	1.312	1.333	1.164	0.788	1.292	1.599	1.275	1.524	1.291	0.823	1.111	1.346	1.291	0.953	0.889	1.155	0.922	0.929	0.804	1.122	1.254
