Snr	disk	path	wd	year	rwd
1	3	4	0.667	1990	0.0221014612810232
2	3	1	1.111	1995	0.0253983494501977
2	3	2	1.142	1995	0.0292363226747907
2	3	3	1.205	1995	0.0324482981473503
2	3	4	1.045	1995	0.0271273557966876
3	3	1	1.265	1992	0.0255617523440026
3	3	2	1.397	1992	0.0283028424400818
3	3	3	1.236	1992	0.0259271689880852
3	3	4	1.461	1992	0.0282307930128304
4	3	1	0.629	1988	0.0130190007037298
4	3	2	1.063	1988	0.0215767466406853
4	3	3	0.921	1988	0.0197241615625134
4	3	4	0.695	1988	0.0148628130279506
5	2	1	1.015	1988	0.0230372909053769
5	2	2	1.668	1988	0.0247217322998029
5	2	3	1.438	1988	0.0253334038017723
5	2	4	1.321	1988	0.0260691097823298
6	3	1	1.682	1993	0.0262783758026466
6	3	2	1.868	1993	0.0310644737498545
6	3	3	1.554	1993	0.0257638808296169
6	3	4	1.776	1993	0.0283987335699894
7	3	1	2	1995	0.0516649014492005
7	3	2	2.094	1995	0.0577304808116453
7	3	3	1.974	1995	0.050693374422188
7	3	4	2.127	1995	0.0565075316808799
8	4	1	1.207	2000	0.0259798962526098
8	4	2	1.011	2000	0.0230128380223982
8	4	3	1.364	2000	0.0286169855656261
8	4	4	1.143	2000	0.0272551684669862
9	3	1	1.872	2000	0.0351668169522092
9	3	2	1.771	2000	0.0315635637776471
9	3	3	1.835	2000	0.0358475453710758
9	3	4	2.094	2000	0.0387003770237303
10	2	1	1.358	1987	0.0275032404406999
10	2	2	1.117	1987	0.0228458061481194
10	2	3	1.299	1987	0.0246578462823409
10	2	4	1.107	1987	0.0232260501028073
11	3	1	2.061	1988	0.034067241892294
11	3	2	1.797	1988	0.029010073614878
11	3	3	1.492	1988	0.0303671741431246
11	3	4	1.851	1988	0.0285996817107276
12	3	1	1.936	1992	0.0291237307258368
12	3	2	1.886	1992	0.0301692420897719
12	3	3	1.81	1992	0.0295683993857614
12	3	4	2.108	1992	0.0338601901824724
1	3	1	0.762	1991	0.0252719554258424
1	3	2	0.66	1991	0.0197427460364942
1	3	3	0.651	1991	0.0198396976807972
1	3	4	0.54	1991	0.0178932370191193
2	3	1	0.794	1996	0.0181514756646778
2	3	2	1.048	1996	0.0268298302654822
2	3	3	1.109	1996	0.0298632055148643
2	3	4	0.887	1996	0.023025803436997
3	3	1	1.329	1993	0.0268549951503395
3	3	2	1.048	1993	0.0212321967624952
3	3	3	1.077	1993	0.022591877831851
3	3	4	1.461	1993	0.0282307930128304
4	3	1	0.698	1989	0.0144471581736143
4	3	2	1.857	1989	0.0376933382048472
4	3	3	1.016	1989	0.0217586841992547
4	3	4	0.788	1989	0.0168516498791728
5	2	1	1.483	1989	0.0336594112440137
5	2	2	2.101	1989	0.0311393042936965
5	2	3	1.91	1989	0.0336486795976252
5	2	4	1.671	1989	0.0329761411402522
6	3	1	1.677	1994	0.026200259346634
6	3	2	1.679	1994	0.0279214408062129
6	3	3	1.84	1994	0.0305054959629955
6	3	4	1.428	1994	0.022834116856951
7	3	1	1.492	1996	0.0385420164811036
7	3	2	1.27	1996	0.0350132333480371
7	3	3	1.344	1996	0.0345146379044684
7	3	4	1.651	1996	0.0438617464998273
8	4	1	1.492	2001	0.0321143373727373
8	4	2	1.232	2001	0.0280433397068196
8	4	3	1.425	2001	0.0298967774420947
8	4	4	1.333	2001	0.0317857738989437
