Snr	strata	age	plot	area.mm2	rn	dw.g
8	3	1	3	582.9995	20	0.1648
8	3	2	3	561.8135	20	0.1562
8	3	3	3	634.3817	20	0.1783
8	4	0	3	551.2346	20	0.1533
8	4	1	3	637.9979	20	0.1883
8	4	2	3	620.605	20	0.1882
8	4	3	3	617.2463	20	0.1842
8	4	4	3	143.7045	4	0.0530
8	5	0	3	642.688	20	0.1695
8	5	1	3	879.9255	20	0.2835
8	5	2	3	876.0881	20	0.2932
8	5	3	3	853.4138	20	0.2810
9	1	0	3	542.9444	20	0.1169
9	1	1	3	664.8555	20	0.1766
9	1	2	3	565.1602	20	0.1401
9	1	3	3	554.6496	20	0.1510
9	1	4	3	645.9059	20	0.1789
9	2	0	3	647.6557	20	0.1456
9	2	1	3	652.7239	20	0.1669
9	2	2	3	650.0007	20	0.1665
9	2	3	3	658.6972	20	0.1846
9	2	4	3	615.0581	20	0.1693
9	3	0	3	617.2543	20	0.1462
9	3	1	3	652.1688	20	0.1797
9	3	2	3	557.9882	20	0.1521
9	3	3	3	572.3039	20	0.1519
9	3	4	3	569.7658	20	0.1578
9	4	0	3	826.5401	20	0.2198
9	4	1	3	795.7848	20	0.2507
9	4	2	3	829.026	20	0.2604
9	4	3	3	785.2783	20	0.2578
9	4	4	3	736.3578	20	0.2433
9	5	0	3	1046.3526	20	0.3059
9	5	1	3	1106.6243	20	0.3846
9	5	2	3	1062.04	20	0.3998
9	5	3	3	1056.4569	20	0.3983
10	1	0	3	664.3889	20	0.1611
10	1	1	3	642.9615	20	0.1671
10	1	2	3	599.2179	20	0.1653
10	1	3	3	629.0199	20	0.1697
10	1	4	3	603.4776	20	0.1682
10	2	0	3	568.9855	20	0.1376
10	2	1	3	561.3067	20	0.1494
10	2	2	3	484.2937	20	0.1252
10	2	3	3	582.3519	20	0.1582
10	2	4	3	509.1803	20	0.1337
10	3	0	3	599.1696	20	0.1539
10	3	1	3	583.619	20	0.1541
10	3	2	3	505.717	20	0.1338
10	3	3	3	551.6408	20	0.1557
10	3	4	3	487.6484	20	0.1349
10	4	0	3	764.2773	20	0.2051
10	4	1	3	727.3838	20	0.2111
10	4	2	3	654.2725	20	0.1827
10	4	3	3	658.5001	20	0.1886
10	4	4	3	643.4523	20	0.1869
10	5	0	3	370.9704	10	0.0996
10	5	1	3	339.7968	10	0.1006
10	5	2	3	356.2645	10	0.1154
10	5	3	3	675.8085	20	0.2150
11	1	0	3	484.8448	20	0.1046
11	1	1	3	502.4146	20	0.1255
11	1	2	3	508.4482	20	0.1320
11	1	3	3	459.1094	20	0.1227
11	1	4	3	521.7906	18	0.1443
11	2	0	3	545.6354	20	0.1203
11	2	1	3	707.3241	20	0.2066
11	2	2	3	598.2605	20	0.1711
11	2	3	3	559.0702	20	0.1601
11	2	4	3	542.9846	20	0.1536
11	3	0	3	559.5288	20	0.1336
11	3	1	3	623.0587	20	0.1812
11	3	2	3	529.1596	20	0.1578
11	3	3	3	609.9255	20	0.1849
11	3	4	3	503.2433	20	0.1578
11	4	0	3	696.6084	20	0.1828
11	4	1	3	628.6217	20	0.1908
11	4	2	3	647.0604	20	0.2063
11	4	3	3	632.5073	20	0.1945
11	4	4	3	614.8731	20	0.1865
11	5	0	3	841.769	20	0.2360
11	5	1	3	844.9346	20	0.2787
11	5	2	3	838.2212	20	0.2763
11	5	3	3	748.8514	20	0.2705
12	1	0	3	488.6138	20	0.1075
12	1	1	3	511.4369	20	0.1350
12	1	2	3	595.6178	20	0.1591
12	1	3	3	523.0818	20	0.1403
12	1	4	3	471.064	20	0.1207
12	2	0	3	493.859	20	0.1113
12	2	1	3	572.3723	20	0.1507
12	2	2	3	525.6843	20	0.1380
12	2	3	3	507.334	20	0.1328
12	2	4	3	541.2389	20	0.1517
12	3	0	3	719.0132	20	0.1998
12	3	1	3	697.5898	20	0.1943
12	3	2	3	722.7379	20	0.2170
12	3	3	3	624.3981	20	0.1763
