trt	year	needle	cone	twig	bark	sum
C	2006	112.35	13.05	13.1625	13.7625	162.2625
C	2007	93.6363636363636	9.70909090909091	7.16363636363636	11.0181818181818	130.181818181818
C	2008	92.3636363636364	14.1818181818182	5.81818181818182	21.0909090909091	148.072727272727
C	2009	102.727272727273	17.2727272727273	11.4545454545455	9.81818181818182	149.490909090909
C	2010	93.3818181818182	8.65454545454545	1.89090909090909	12.0727272727273	125.636363636364
C	2011	81.4095238095238	7.73333333333333	10.4	15.0857142857143	125.942857142857
C	2012	110.218181818182	9.63636363636364	4.98181818181818	9.74545454545455	144
C	2013	123.6	30.1818181818182	20.0727272727273	21.4181818181818	207.418181818182
C	2014	147.210909090909	20.5018181818182	13.1781818181818	23.6290909090909	221.392727272727
C	2015	98.9672727272727	10.4836363636364	11.8981818181818	16.6036363636364	154.261818181818
C	2016	105.534618181818	22.0335636363636	9.81105454545455	20.5254545454545	165.826109090909
C	2017	126.6	43.41436	14.66732	16.33256	214.30136
C	2018	117.356363636364	15.1236363636364	18.2618181818182	21.8581818181818	187.483636363636
C	2019	83.7142909090909	9.64563636363636	16.514	11.5252727272727	131.877345454545
F	2006	104.218181818182	17.8181818181818	10.5090909090909	14.2545454545455	154.290909090909
F	2007	64.1904761904762	15.6571428571429	12.2285714285714	11.5809523809524	111.352380952381
F	2008	98.7636363636364	37.9636363636364	3.74545454545455	18.2181818181818	177.272727272727
F	2009	107.563636363636	24.6909090909091	3.38181818181818	10.5818181818182	159.563636363636
F	2010	169.236363636364	10.7636363636364	4.87272727272727	12.5454545454545	218.254545454545
F	2011	180.761904761905	8.53333333333333	14.7428571428571	15.4285714285714	247.542857142857
F	2012	205.67619047619	15.6952380952381	6.62857142857143	11.7714285714286	258.666666666667
F	2013	265.6	56.6857142857143	10.5904761904762	20.6095238095238	374.704761904762
F	2014	188.521904761905	66.792380952381	18.5828571428571	15.6685714285714	312.63619047619
F	2015	182.930909090909	43.1418181818182	18.28	16.1345454545455	286.650909090909
F	2016	158.0256	74.8151272727273	13.3702181818182	19.0256727272727	279.162581818182
F	2017	146.96	74.9184	32.78932	15.06132	291.05688
F	2018	201.56	50.24	30.9090909090909	23.92	331.389090909091
F	2019	109.047018181818	41.0998181818182	14.6962181818182	16.1701454545455	205.074254545455
