year	trt	Snr	d	h	lc	Vst	Vsw	Bst	Bsw	Bbr	Bf	Bcn	Bdb	Bcr	Br.trnv	ba	d2h	dh	dlc	Bsb	Vsb	bwd	plot
2011	C	12	0.241	18.09	9.19	0.3973447	0.354316081	180.6083383	166.7285736	25.27328332	9.822346312	0.228134228	7.394167989	38.09862452	1.947174788	0.0456167107282872	1.05068529	4.35969	2.21479	13.8797647	0.043028619	470.564511578011	3
2018	F	1	0.1775	16.92	9.41	0.234498059485031	0.192139353126112	82.2625990818364	75.8846121357286	12.0629989393659	4.13340672778744	0.383705464483112	1.59372652479992	NA	0.41826647183847	0.0247449508855409	0.53308575	3.0033	1.670275	6.3779869461078	0.0423587063589186	394.945704256228	2
2018	F	2	0.1495	15.6	6.28	0.152105470491245	0.125140788046402	54.9678529183793	49.9169067762772	6.85492974911396	3.0174780803273	0.0518072263825194	0.667433524904215	NA	0.961146071809053	0.0175538453014738	0.3486639	2.3322	0.93886	5.05094614210217	0.0269646824448429	398.885987179241	2
2018	F	3	0.2725	19.87	10.89	0.576276230214495	0.471304812579332	176.219504237712	160.606347221605	33.2079026951282	9.17531625463791	0.0704031428571429	5.37283356511101	NA	1.79528120706766	0.0583207223707818	1.4754716875	5.414575	2.967525	15.6131570161067	0.104971417635163	340.769588883778	2
2018	F	4	0.205	18.2	6.97	0.318276685778159	0.261975418435013	113.123756196302	104.157379598905	15.4580376107576	5.82371622167913	0.504397421667058	2.15960383333791	NA	0.947628295424015	0.0330063578167778	0.764855	3.731	1.42885	8.96637659739679	0.056301267343146	397.584552860416	2
2018	F	5	0.242	20.72	8.18	0.462287683754302	0.387397871861259	155.213736098838	144.337628207126	19.0738712124227	6.28287909579132	0.779397718007337	3.76228487633685	NA	3.21195079801146	0.0459960580412082	1.21344608	5.01424	1.97956	10.8761078917124	0.0748898118930431	372.58239833289	2
2018	F	6	0.1205	15.7	5.69	0.0939564754288897	0.0746423957636095	33.2127382227222	29.4210664454443	2.46234364412685	1.60346926513629	0.0180348159292035	0.294946876969002	NA	0.497167902884383	0.0114041776820718	0.227967925	1.89185	0.685645	3.79167177727784	0.0193140796652802	394.160264343873	2
2018	C	7	0.1775	17.03	6.88	0.216319241449015	0.169180103139826	74.8708370104099	68.5464067534158	11.263419738456	4.72301506144255	0.0441033553601373	0.463206896551724	NA	2.73240486257928	0.0247449508855409	0.5365514375	3.022825	1.2212	6.32443025699413	0.0471391383091893	405.168252538318	3
2018	C	8	0.264	19.41	8.99	0.527959313728214	0.469022925591127	168.731323194316	155.591352670683	29.0646124722404	7.14342703642247	0.179432191997852	1.74020909063485	NA	2.96916993582032	0.0547391103961486	1.35279936	5.12424	2.37336	13.139970523633	0.0589363881370875	331.735069185766	3
2018	C	9	0.1195	14.48	6.88	0.080512000215421	0.0676172919353581	27.3136197730711	23.4066165658094	2.67450292663909	1.51063317042145	0	0.37725	NA	0.471216971930891	0.0112156821228564	0.20677802	1.73036	0.82216	3.90700320726172	0.0128947082800629	346.163176546408	3
2018	C	10	0.2345	21.36	10.74	0.46291396221329	0.423671713803237	173.41386334728	157.914272301255	20.6486530163076	7.16682338551739	0.295806219317151	3.27710916038146	NA	0.993212248003994	0.0431892413547665	1.17459174	5.00892	2.51853	15.4995910460251	0.039242248410053	372.72790973861	3
2018	C	11	0.1525	16.68	7.29	0.168674840793349	0.145805593509597	64.2268493877551	57.9847040816327	7.94442192837804	2.64590163477154	0.0898039362462215	0.597132616487455	NA	2.069997069221	0.0182654160375119	0.38791425	2.5437	1.111725	6.24214530612244	0.0228692472837518	397.685045449343	3
2018	C	12	0.1825	16.58	7.15	0.221141191509698	0.172061723110845	71.3461588888889	61.9765177777778	8.09595654926169	4.27885506486591	0.0297395430456954	1.38549392062322	NA	1.14003310989162	0.0261586675796563	0.552217625	3.02585	1.304875	9.36964111111111	0.0490794683988534	360.199332293397	3
