Snr	trt	d1	d2	stump	h	crown.base
1	F	175	180	0.04	16.92	7.51
2	F	148	151	0.03	15.60	9.32
3	F	273	272	0.04	19.87	8.98
4	F	205	205	0.04	18.20	11.23
5	F	240	244	0.04	20.72	12.54
6	F	125	116	0.01	15.70	10.01
7	C	173	182	0.05	17.03	10.15
8	C	267	261	0.06	19.41	10.42
9	C	119	120	0.02	14.48	7.60
10	C	235	234	0.10	21.36	10.62
11	C	155	150	0.05	16.68	9.39
12	C	185	180	0.04	16.58	9.43
