plot	repID	d.cm	RingCount	PathLength	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
F	3	20.2	50	64.7459	1.238	1.213	0.726	1.042	0.834	0.444	0.557	0.764	1.001	1.068	1.279	1.505	1.771	1.729	1.755	1.51	1.17	0.984	0.766	1.045	1.778	2.313	1.959	0.244	0.309	0.695	0.888	0.721	0.692	0.653	0.457
F	3	25.5	51	78.7512	0.751	1.691	1.211	1.579	1.5	0.856	0.743	0.802	1.044	1.164	1.035	1.433	1.646	1.906	1.938	1.797	1.269	1.417	1.039	1.711	2.262	2.518	2.138	1.395	2.177	2.106	1.55	1.416	1.194	1.422	0.907
N	3	19.0	49	55.0077	1.86	1.5	1.162	0.951	1.118	0.776	1.048	1.286	1.182	1.33	1.435	1.453	1.688	1.65	1.184	1.438	1.475	0.994	0.845	0.85	0.835	0.649	0.74	0.798	1.008	0.846	0.691	0.488	0.378	0.445	0.509
N	35	11.1	57	46.5744	0.772	1.441	1.213	0.985	0.798	0.78	0.474	0.473	0.404	0.439	0.334	0.313	0.258	0.294	0.309	0.533	0.581	0.694	0.581	0.497	0.528	0.426	0.584	0.395	0.225	0.118	0.083	0.124	0.115	0.144	0.152
N	110	35.0	141	75.2227	0.418	0.437	0.426	0.294	0.434	0.32	0.253	0.307	0.222	0.306	0.191	0.34	0.348	0.215	0.177	0.323	0.273	0.172	0.189	0.243	0.221	0.226	0.211	0.294	0.205	0.122	0.151	0.174	0.136	0.168	0.143
S	40	12.7	48	35.4506	0.845	0.804	0.74	0.867	0.867	0.55	0.571	0.828	0.611	0.614	0.55	0.486	0.465	0.443	0.696	0.759	0.569	0.759	0.758	0.647	0.774	0.713	0.715	0.564	0.689	0.785	0.66	0.587	0.513	0.482	0.489
S	46	14.6	56	52.6239	0.661	0.748	0.829	0.7	0.532	0.579	0.53	0.406	0.505	0.533	0.65	0.885	0.788	0.976	0.997	1.235	1.268	1.263	1.244	0.987	0.933	0.957	0.874	1.03	0.724	0.91	1.066	0.781	0.601	0.451	0.509
S	80	25.5	61	59.3595	1.016	1.079	0.677	0.697	0.909	0.612	0.591	0.845	0.782	1.121	0.973	1.185	1.672	1.418	1.418	1.291	1.164	0.889	0.741	0.614	0.593	0.804	0.846	0.614	0.508	0.614	0.93	0.762	0.868	0.762	0.487
S	82	26.1	48	47.6494	0.825	0.762	0.74	0.592	0.444	0.635	0.496	0.371	0.739	0.634	0.847	1.228	1.46	1.736	1.761	1.772	1.774	1.587	1.63	1.06	1.157	1.333	1.502	1.333	1.333	1.227	1.016	1.037	1.185	1.163	0.867
W	1	12.3	70	48.3875	0.611	0.59	0.4	0.337	0.359	0.401	0.296	0.359	0.465	0.614	0.963	0.878	0.889	0.826	0.931	1.016	0.752	0.581	0.719	0.592	0.444	0.444	0.274	0.163	0.133	0.19	0.295	0.274	0.275	0.246	0.267
W	2	14.5	58	48.1658	0.762	0.706	0.415	0.546	0.645	0.464	0.354	0.656	1.079	1.333	1.482	1.35	1.857	1.478	1.709	1.201	0.948	0.632	0.565	0.486	0.4	0.632	0.611	0.57	0.57	0.506	0.442	0.369	0.167	0.285	0.232
W	3	25.5	45	67.6176	1.077	1.349	1.306	0.95	0.908	1.118	1.007	1.005	1.316	1.596	1.801	2.008	2.094	3.005	2.455	2.286	2.074	1.925	1.754	1.647	1.495	2.017	2.02	1.643	1.405	1.907	1.52	1.439	1.26	1.358	1.313
