year	plot	rep	d	h	lc	sd	ba	sa	Vst	Vsw	Bsb	Bbr	Bcr	Bcn	Bdb	Bf	dba	dh	hbar	hbare	dVst	dVsw	dVswe	dVswl	dBsw	dBswe	dBswl	dBsb	dBbr	dBf	dBcr	dBcn	brt	needle.m	needle.se	cone.m	cone.se	twig.m	twig.se	bark.m	bark.se	mis.m	mis.se	sum.m	sum.se	smlf	smlf.se	sla	fsla	sla.se	fsla.se	msd	rsd	log.ba	log.sd	lai.a	lai.s	NPPsw	NPPswe	NPPswl	dVer	NPPer	NPPsb	NPPbr	NPPf	NPPcr	NPPmis	ANPP	NPPw	NPP	swe	swl	swd	swer	airT	vpd	vpdmn	ppt.6	gr.6	airT.6	vpd.6	vpdmn.6	ppt.7	gr.7	airT.7	vpd.7	vpdmn.7	ppt.8	gr.8	airT.8	vpd.8	vpdmn.8	start	end	gs	hsum	hr20	hr0	ppt	rad	N.con	P.con	P.pct	N.pct	PN	apar	luea	lue
2005	2	1	0.159343498503905	14.1067449597409	6.67265033298654	970	1.93432886229769	1.95604722427863	143.88356496359	121.534393064109	657.404775570201	761.626099270792	1600.66435320773	9.37108993830381	94.2061465007708	577.535448150672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.5395991972181	40.4183914069774	0.296310466907284	0.323729001014989	1931.65623973847	0.502159742528168	-1.70024142225475	2.98677173426624	2.3413055590214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.6574324324324	0.359864746190828	0.555507873893945	66.5	489.1	12.1366666666667	0.433882028285205	0.555541399335485	96.2	579.3	15.8741935483871	0.571924623894207	0.794705639049054	105.4	370.9	12.9483870967742	0.284503749570055	0.521574278270252	20-May	14-Oct	148	992	208	60	323	1971	NA	NA	NA	NA	NA	NA	NA	NA
2005	2	2	0.168570433243364	14.6425390929912	6.99836281661856	830	1.85238297047283	1.88210156532211	141.867197741762	120.055896047144	617.302680378379	768.534261517056	1513.74280142745	9.37294914595314	89.7759957262878	556.358932837384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.5395991972181	40.4183914069774	0.296310466907284	0.323729001014989	1746.92550797325	0.475120430843642	-1.6513473126388	2.91907809237607	2.25545681470196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.6574324324324	0.359864746190828	0.555507873893945	66.5	489.1	12.1366666666667	0.433882028285205	0.555541399335485	96.2	579.3	15.8741935483871	0.571924623894207	0.794705639049054	105.4	370.9	12.9483870967742	0.284503749570055	0.521574278270252	20-May	14-Oct	148	992	208	60	323	1971	NA	NA	NA	NA	NA	NA	NA	NA
2005	2	3	0.164120001827931	13.7964471353628	7.12933721048357	800	1.69239952443372	1.71612268030432	123.590317828816	104.498512234891	578.540896618645	713.269593783611	1390.41540118397	8.41333563245092	76.5595182568494	526.762020206846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.5395991972181	40.4183914069774	0.296310466907284	0.323729001014989	1832.4164826518	0.436581971169716	-1.67458709236993	2.90308998699194	2.13547211715025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.6574324324324	0.359864746190828	0.555507873893945	66.5	489.1	12.1366666666667	0.433882028285205	0.555541399335485	96.2	579.3	15.8741935483871	0.571924623894207	0.794705639049054	105.4	370.9	12.9483870967742	0.284503749570055	0.521574278270252	20-May	14-Oct	148	992	208	60	323	1971	NA	NA	NA	NA	NA	NA	NA	NA
2005	3	1	0.172575378417534	16.1873395156254	8.11378566837686	890	2.08179306161225	2.06824361249372	177.299882017402	150.387588111931	656.606397376737	986.216969579823	1682.46855105931	5.74817358022529	157.179339738094	596.088746657043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.5395991972181	40.4183914069774	0.297313722934419	0.316101729804021	1675.1923744405	0.531282265594872	-1.63095244989814	2.94939000664491	2.41651988754486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.6574324324324	0.359864746190828	0.555507873893945	66.5	489.1	12.1366666666667	0.433882028285205	0.555541399335485	96.2	579.3	15.8741935483871	0.571924623894207	0.794705639049054	105.4	370.9	12.9483870967742	0.284503749570055	0.521574278270252	20-May	14-Oct	148	992	208	60	323	1971	NA	NA	NA	NA	NA	NA	NA	NA
2005	3	2	0.172377730169553	16.2561592235431	7.78564592303395	1130	2.63712454100568	2.62186659936738	225.38865086143	191.129316023844	831.34640035011	1207.81179314468	2135.05131463263	7.157623970646	211.545974499089	728.587369393014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.5395991972181	40.4183914069774	0.297313722934419	0.316101729804021	1678.62387472698	0.673170456475123	-1.63194780318777	3.05307844348342	2.95366399353483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.6574324324324	0.359864746190828	0.555507873893945	66.5	489.1	12.1366666666667	0.433882028285205	0.555541399335485	96.2	579.3	15.8741935483871	0.571924623894207	0.794705639049054	105.4	370.9	12.9483870967742	0.284503749570055	0.521574278270252	20-May	14-Oct	148	992	208	60	323	1971	NA	NA	NA	NA	NA	NA	NA	NA
2005	3	3	0.175403622973931	15.6320433470554	7.23067089691582	1050	2.53720932825091	2.5149681121346	210.212613533996	178.466015388143	808.617229431479	1127.69157316746	2038.4295815033	7.25298028307829	226.234602551057	661.497388942127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.5395991972181	40.4183914069774	0.297313722934419	0.316101729804021	1627.2640702166	0.645254829389947	-1.61683299962354	3.02118929906994	2.68168390177202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.6574324324324	0.359864746190828	0.555507873893945	66.5	489.1	12.1366666666667	0.433882028285205	0.555541399335485	96.2	579.3	15.8741935483871	0.571924623894207	0.794705639049054	105.4	370.9	12.9483870967742	0.284503749570055	0.521574278270252	20-May	14-Oct	148	992	208	60	323	1971	NA	NA	NA	NA	NA	NA	NA	NA
2006	2	1	0.161891939814359	14.4280992835246	6.76985343326179	970	1.99669655852846	1.96053367726528	151.690278988689	128.227147241457	670.338432471405	802.554511922888	1644.57752152873	9.89672373513151	97.3179690620062	571.511313902374	0.062367696230764	31.1713694070187	62486.1188389044	84797.4334735136	7.80671402509891	6.69275417734771	5.82519755908975	0.867556618257957	253.020387748866	184.420064482542	68.600323266324	12.9336569012033	40.9284126520956	-6.02413424829838	43.9131683210048	0.525633796827706	10.750778511499	104.218181818182	6.945683004334	17.8181818181818	5.58709256284386	10.5090909090909	4.17301840933252	14.2545454545455	1.38697601974181	7.49090909090909	0.563343032175624	154.290909090909	10.8686158234319	98.1818181818182	6.88405031651648	40.0361655341085	39.887168865893	0.29263078909283	0.319474201737841	1877.69349091632	0.5165912353068	-1.68645966487366	2.98677173426624	2.28811215680113	2.67973163293899	132.496656248571	96.5734109669277	35.9232452816432	0.870373751183886	0.728874325596193	6.88244343158624	27.0623252447279	53.6527221936885	22.9955697229774	26.6454194318182	256.221233595846	192.036218261731	279.216803318824	316.590231681961	790.730216594654	378.051219339922	0.837426823367288	12.0797619047619	0.469909942185915	0.646695771870326	30.5	623.9	13.3166666666667	0.632440017066581	0.710383314257962	22.4	650	15.6096774193548	0.714371944766996	0.893073949317651	54.1	470.5	16.1645161290323	0.576135618919658	0.862397612984252	24-Apr	08-Oct	168	1206	467	81	307	2546	NA	NA	NA	NA	NA	911.718392258953	0.281031111987343	0.306253340603354
2006	2	2	0.171410424006475	14.9272826480328	7.08405873094598	830	1.91532480050944	1.88983273038856	149.278279659766	126.427024004316	631.411153437044	809.458533097186	1557.42610001006	9.93364074057602	93.2637777207765	550.170600193248	0.0629418300366096	23.6337150684492	36456.6653527841	48420.2354739694	7.41108191800376	6.37112795717174	5.49911592676983	0.872012030401918	239.465948596044	172.30047155994	67.1654770361043	14.1084730586654	40.9242715801304	-6.18833264413689	43.6832985826174	0.560691594622882	9.13837727913396	104.218181818182	6.945683004334	17.8181818181818	5.58709256284386	10.5090909090909	4.17301840933252	14.2545454545455	1.38697601974181	7.49090909090909	0.563343032175624	154.290909090909	10.8686158234319	98.1818181818182	6.88405031651648	40.0361655341085	39.887168865893	0.29263078909283	0.319474201737841	1695.57714412777	0.489508839438245	-1.63683566022918	2.91907809237607	2.20267212213367	2.59429159827153	125.398738641804	90.2268649370781	35.1718737047264	0.863130667557803	0.719519716979027	7.50760349327726	26.2158067016424	53.5694736069984	22.8751961357735	26.6454194318182	248.818708920995	183.971408524675	271.693905056769	313.323948529939	770.235669858215	375.861150813156	0.833616211337829	12.0797619047619	0.469909942185915	0.646695771870326	30.5	623.9	13.3166666666667	0.632440017066581	0.710383314257962	22.4	650	15.6096774193548	0.714371944766996	0.893073949317651	54.1	470.5	16.1645161290323	0.576135618919658	0.862397612984252	24-Apr	08-Oct	168	1206	467	81	307	2546	NA	NA	NA	NA	NA	896.915238551135	0.277416079275154	0.30292038018627
2006	2	3	0.166784918594155	14.0911869665306	7.23123025259566	800	1.7478067931825	1.72094848940508	130.132862805796	110.114486723818	590.590111776279	750.668731354076	1429.12339296676	8.89385786315577	79.1334045728801	521.230632451095	0.0554072687487787	23.579186493422	46496.0504624638	63818.4643461624	6.54254497698058	5.61597448892651	4.87216693818584	0.743807550740675	211.708761771933	153.455768723	58.2529930489329	12.049215157634	37.3991375704655	-5.53138775575079	38.7079917827904	0.480522230704842	7.80401346095233	104.218181818182	6.945683004334	17.8181818181818	5.58709256284386	10.5090909090909	4.17301840933252	14.2545454545455	1.38697601974181	7.49090909090909	0.563343032175624	154.290909090909	10.8686158234319	98.1818181818182	6.88405031651648	40.0361655341085	39.887168865893	0.29263078909283	0.319474201737841	1780.46174326797	0.449321645368032	-1.6605965640095	2.90308998699194	2.08680758822601	2.47842706436387	110.863410189491	80.3586478494863	30.5047623400042	0.867555033911336	0.724843730786698	6.41180157714812	23.6710820691122	53.9025446654101	20.269826976976	26.6454194318182	230.975924978434	164.285986281033	251.24575195541	314.964102564474	783.172918733149	376.976003344347	0.835501728943661	12.0797619047619	0.469909942185915	0.646695771870326	30.5	623.9	13.3166666666667	0.632440017066581	0.710383314257962	22.4	650	15.6096774193548	0.714371944766996	0.893073949317651	54.1	470.5	16.1645161290323	0.576135618919658	0.862397612984252	24-Apr	08-Oct	168	1206	467	81	307	2546	NA	NA	NA	NA	NA	875.86714251952	0.26371114266715	0.28685372445035
2006	3	1	0.174634590004133	16.4017762129281	8.13242311537803	890	2.13177039114876	2.0498721898332	183.70142608861	155.90159558739	667.473555014762	1016.17768089228	1716.91998329446	5.98548312375977	162.611138454729	583.690352977515	0.0499773295365082	19.0848660599419	47637.469610456	66978.2794479219	6.40154407120859	5.51400747545889	4.50339188679258	1.01061558866631	212.868290038429	146.733518652194	66.1347713862349	10.8671576380256	29.9607113124517	-12.3983936795277	34.4514322351531	0.237309543534482	11.6066414889906	112.04	10.4651718677823	13.56	4.80682847624086	13.96	4.26643749384529	13.64	1.43164241345386	10.16	0.664529909033446	163.36	13.3641244465256	105.92	10.1807312551157	40.5395991972181	40.4183914069774	0.297313722934419	0.316101729804021	1640.08250944946	0.542655625477496	-1.62064958078714	2.94939000664491	2.36625729649913	2.79436889828183	111.470608761524	76.8384743774081	34.6321343841158	0.816718495003091	0.689316002048518	5.7827881377372	21.7671599680033	54.6769624461461	18.0408370042603	27.309136125	228.222397563411	158.494347858787	246.263234567671	325.828891512929	654.400863472843	386.050057033544	0.844006847237993	12.0797619047619	0.469909942185915	0.646695771870326	30.5	623.9	13.3166666666667	0.632440017066581	0.710383314257962	22.4	650	15.6096774193548	0.714371944766996	0.893073949317651	54.1	470.5	16.1645161290323	0.576135618919658	0.862397612984252	24-Apr	08-Oct	168	1206	467	81	307	2546	NA	NA	NA	NA	NA	930.668961968199	0.245224034420102	0.264608840125997
