plot	rep	year	nr	h	lc	d
3	1	2012	36	18.2	7.1	0.146
3	1	2013	36	18.3	7.2	0.149
3	1	2014	36	18.6	7.5	0.1505
3	1	2015	36	19	7.9	0.1535
3	1	2016	36	19	7.9	0.155
3	1	2018	36	19.7	8.6	0.1585
3	1	2010	41	16.3	7.2	0.1395
3	1	2011	41	16.3	7.2	0.1405
3	1	2012	41	16.9	7.8	0.1405
3	1	2013	41	17.1	7.7	0.141
3	1	2014	41	17.2	7.2	0.143
3	1	2015	41	17.6	7	0.146
3	1	2016	41	17.7	7.1	0.1465
3	1	2018	41	18	7	0.1485
3	1	2005	42	15.9	7.9	0.134
3	1	2007	42	16.1	8.1	0.138
3	1	2016	42	18.1	8.2	0.156
3	1	2018	42	18.2	7.8	0.1585
3	1	2005	43	16	10.5	0.217
3	1	2007	43	16.3	9.4	0.22
3	1	2008	43	16.6	9.7	0.222
3	1	2009	43	16.6	8.3	0.223
3	1	2011	43	16.5	9.6	0.2265
3	1	2012	43	17.3	8.3	0.227
3	1	2013	43	17.5	8.5	0.227
3	1	2014	43	18	9	0.2285
3	1	2015	43	18.2	9.2	0.23
3	1	2016	43	18.5	8.8	0.2305
3	1	2018	43	18.8	8.9	0.232
3	1	2009	44	15.1	4.7	0.125
3	1	2010	44	15.2	4.6	0.126
3	1	2011	44	15.2	4.6	0.127
3	1	2012	44	15.6	5	0.127
3	1	2013	44	15.7	5.1	0.127
3	1	2014	44	15.9	5.3	0.1285
3	1	2015	44	16.4	5.4	0.131
3	1	2016	44	16.5	5.5	0.1315
3	1	2018	44	16.8	5	0.1335
3	1	2005	45	15.3	9.2	0.221
3	1	2007	45	15.5	9.4	0.226
3	1	2005	49	13.1	7	0.152
3	1	2007	49	13.6	7.1	0.156
3	1	2008	49	13.8	7.3	0.157
3	1	2009	49	14.1	7.6	0.1575
3	1	2010	49	14.3	7.8	0.1615
3	1	2011	51	17.4	9.7	0.226
3	1	2014	51	18.5	12.1	0.232
3	1	2018	51	19	9.9	0.242
3	1	2005	55	14.6	7.2	0.1365
3	1	2007	55	14.9	7.5	0.1405
3	1	2008	55	15.4	6.7	0.1405
3	1	2009	55	15.5	6.8	0.143
3	1	2010	55	15.7	7	0.146
3	1	2011	55	15.7	7	0.1475
3	1	2012	55	16	6.7	0.1475
3	1	2013	55	16.4	7.1	0.1495
3	1	2014	55	16.6	7.3	0.152
3	1	2015	55	17.1	7.8	0.1565
3	1	2016	55	17.1	7.8	0.1565
3	1	2018	55	17.5	7.7	0.1595
3	1	2010	59	18.3	8.2	0.225
3	1	2011	59	18.4	8.3	0.2265
3	1	2012	59	19	8.7	0.228
3	1	2013	59	19.2	8.9	0.23
3	1	2015	59	19.6	9.1	0.2365
3	1	2016	59	20	7.6	0.238
3	1	2018	59	20.6	8.2	0.239
3	1	2005	61	16.6	9.6	0.1655
3	1	2007	61	17.3	10	0.1705
3	1	2008	61	17.5	10.2	0.172
3	1	2009	61	18.1	10.3	0.174
3	1	2010	61	18.2	10.4	0.177
3	1	2011	61	18.3	10.3	0.178
3	1	2012	61	19.1	11.1	0.18
3	1	2013	61	19.1	11.1	0.182
3	1	2014	61	19.2	10.6	0.184
3	1	2015	61	19.7	10.3	0.1875
3	1	2016	61	19.7	9.5	0.1885
3	1	2018	61	20.1	9.9	0.192
3	1	2009	67	12.5	5.3	0.1165
3	1	2005	68	17.9	10.1	0.2095
3	1	2007	68	18.3	8.4	0.2135
3	1	2008	68	18.4	8.5	0.2145
3	1	2009	68	18.6	8.7	0.2165
3	1	2010	68	18.8	8.9	0.2195
3	1	2011	68	18.8	8.9	0.2205
3	1	2012	68	19.2	8.9	0.2215
3	1	2013	68	19.3	9	0.2225
3	1	2014	68	19.6	9.3	0.226
3	1	2015	68	19.8	8.8	0.229
3	1	2016	68	19.8	8.8	0.23
3	1	2018	68	20.3	9.1	0.233
3	1	2005	74	16.7	7.8	0.203
3	1	2007	74	16.9	7.6	0.205
3	1	2008	74	17.3	7.7	0.2065
3	1	2009	74	17.3	7.7	0.207
3	1	2010	74	17.5	7.4	0.209
3	1	2011	74	17.5	7.4	0.212
3	1	2012	74	17.7	7.2	0.212
3	1	2013	74	18.2	7.5	0.212
3	1	2014	74	18.2	7.5	0.214
3	1	2015	74	18.4	7.7	0.2145
3	1	2005	76	18.1	8.9	0.248
3	1	2007	76	18.3	9.1	0.255
3	1	2008	76	18.5	8.6	0.2555
3	1	2005	81	15.1	8.8	0.155
3	1	2007	81	15.3	8.4	0.1585
3	1	2008	81	16	9.1	0.159
3	1	2009	81	16	9.1	0.16
3	1	2010	81	16.2	9.3	0.163
3	1	2011	81	16.2	9.3	0.1645
3	1	2012	81	16.9	9.5	0.1645
3	1	2013	81	17.1	9.7	0.1665
3	1	2014	81	17.3	9.2	0.1685
3	1	2015	81	17.8	9.2	0.1715
3	1	2016	81	17.8	9.2	0.172
3	1	2018	81	18.1	9.5	0.174
3	1	2005	82	18.5	11.4	0.227
3	1	2007	82	18.8	11.7	0.234
3	1	2008	82	19.1	11.5	0.236
3	1	2009	82	19.3	10.8	0.238
3	1	2010	82	19.6	11.1	0.242
3	1	2011	82	19.6	11.1	0.244
3	1	2012	82	19.9	11.4	0.246
3	1	2013	82	20.3	11.8	0.248
3	1	2014	82	20.5	12	0.253
3	1	2015	82	20.9	12.4	0.256
3	1	2016	82	20.9	12.4	0.258
3	1	2018	83	20.5	10.3	0.2365
3	1	2005	84	20.5	12.3	0.2495
3	1	2007	84	20.5	12	0.256
3	1	2008	84	20.7	11.4	0.2565
3	1	2009	84	20.7	11.4	0.2595
3	1	2010	84	21	11.7	0.2655
3	1	2011	84	21	11.7	0.2675
3	1	2012	84	21.3	11.5	0.2675
3	1	2013	84	21.4	11.6	0.269
3	1	2014	84	21.6	11.8	0.273
3	1	2015	84	21.9	11.9	0.2755
3	1	2016	84	21.9	11.9	0.2765
3	1	2018	84	22.4	12.4	0.281
3	1	2005	87	18.1	11.6	0.2145
3	1	2007	87	18.3	10.6	0.218
3	1	2008	87	19	11.3	0.219
3	1	2009	87	19	11.1	0.2215
3	1	2010	87	19.2	11.3	0.2235
3	1	2012	87	19.4	10.2	0.226
3	1	2013	87	20.2	11	0.2275
3	1	2014	87	20.2	10.1	0.229
3	1	2015	87	20.2	9.8	0.234
3	1	2016	87	20.5	10.1	0.2355
3	2	2009	1	15.9	9.4	0.21
3	2	2010	1	16	8.6	0.2115
3	2	2011	1	16	8.6	0.212
3	2	2012	1	16.4	9	0.213
3	2	2013	1	16.6	9.2	0.2145
3	2	2014	1	16.7	9.3	0.2145
3	2	2015	1	16.8	9.4	0.2165
3	2	2016	1	16.9	8.6	0.218
3	2	2018	1	17.4	7.2	0.219
3	2	2007	3	12.3	7.6	0.1335
3	2	2008	3	12.6	7.9	0.1335
3	2	2009	3	12.7	8	0.134
3	2	2010	3	12.9	8.2	0.1355
3	2	2005	4	15.6	8.2	0.14
3	2	2007	4	16	8.6	0.1445
3	2	2008	4	16.6	9.2	0.145
3	2	2009	4	16.6	7.3	0.147
3	2	2010	4	16.7	7.4	0.1495
3	2	2011	4	16.7	7.4	0.151
3	2	2012	4	17.1	7.8	0.1515
3	2	2013	4	17.4	8.1	0.1535
3	2	2014	4	17.5	7.4	0.154
3	2	2015	4	17.6	6	0.157
3	2	2016	4	17.7	6.1	0.157
3	2	2018	4	18.1	6.5	0.1595
3	2	2009	7	17.4	7.5	0.2305
3	2	2010	7	17.5	7.6	0.235
3	2	2011	7	17.5	7.6	0.2355
3	2	2012	7	17.7	7.8	0.236
3	2	2013	7	17.9	8	0.239
3	2	2005	12	17.9	8.8	0.183
3	2	2007	12	18	8.9	0.188
3	2	2008	12	18.5	9.4	0.1895
3	2	2009	12	18.6	8	0.193
3	2	2010	12	18.8	8.2	0.195
3	2	2011	12	18.9	8.3	0.199
3	2	2012	12	19.1	8.5	0.199
3	2	2013	12	19.3	8.7	0.2005
3	2	2014	12	19.5	8.6	0.2015
3	2	2015	12	19.7	8.5	0.204
3	2	2016	12	19.7	7.8	0.2045
3	2	2018	12	19.9	8	0.209
3	2	2014	13	18.6	8.4	0.2315
3	2	2016	13	18.7	8	0.2345
3	2	2005	20	16.3	7.8	0.1735
3	2	2007	20	16.6	8.1	0.177
3	2	2008	20	16.8	8.3	0.179
3	2	2009	20	16.9	8.4	0.18
3	2	2010	20	17.1	8	0.1835
3	2	2011	20	17.1	8	0.1845
3	2	2012	20	17.6	8.1	0.1845
3	2	2013	20	17.7	8.2	0.187
3	2	2014	20	17.8	7.9	0.187
3	2	2015	20	18.1	8.2	0.1885
3	2	2016	20	18.1	7.9	0.19
3	2	2018	20	18.6	7.5	0.192
3	2	2005	28	17.7	9	0.175
3	2	2007	28	17.8	8.5	0.1805
3	2	2008	28	18.5	9.2	0.1815
3	2	2009	28	18.5	9.2	0.1825
3	2	2010	28	18.7	8	0.1875
3	2	2011	28	18.8	8.1	0.1885
3	2	2012	28	19.2	8.5	0.189
3	2	2013	28	19.5	8.4	0.193
3	2	2014	28	19.7	8.4	0.193
3	2	2015	28	19.9	8.6	0.196
3	2	2016	28	20	7.4	0.196
3	2	2018	28	20.4	7.8	0.199
3	2	2011	31	15.4	6.5	0.1195
3	2	2012	31	15.9	6.7	0.12
3	2	2013	31	16.1	6.9	0.1205
3	2	2014	31	16.3	6.5	0.121
3	2	2015	31	16.4	6.6	0.122
3	2	2016	31	16.4	6.2	0.122
3	2	2018	31	16.9	6.2	0.1225
3	2	2005	32	18	9.4	0.2615
3	2	2007	32	18.2	9.6	0.2635
3	2	2008	32	18.4	9.3	0.265
3	2	2009	32	18.6	9.3	0.269
3	2	2010	32	18.6	7.9	0.272
3	2	2011	32	18.7	8	0.2735
3	2	2012	32	18.9	7.8	0.2735
3	2	2013	32	19	7.9	0.2775
3	2	2005	37	16.4	8.6	0.169
3	2	2007	37	16.4	8.2	0.173
3	2	2008	37	16.7	8.5	0.173
3	2	2009	37	16.9	7.9	0.176
3	2	2010	37	17.2	7.6	0.1775
3	2	2011	37	17.2	7.6	0.179
3	2	2012	37	17.4	7.8	0.179
3	2	2013	37	17.5	7.9	0.18
3	2	2014	37	17.6	8	0.18
3	2	2015	37	17.9	8.3	0.1825
3	2	2016	37	18	8.4	0.183
3	2	2018	37	18.3	8.7	0.1855
3	2	2005	45	18.1	7.9	0.195
3	2	2005	54	18	9.1	0.2
3	2	2007	54	18.2	9.3	0.203
3	2	2008	54	18.5	9	0.2055
3	2	2009	54	18.8	8.9	0.207
3	2	2010	54	18.9	8.6	0.21
3	2	2011	54	18.9	8.6	0.211
3	2	2012	54	19.1	7.7	0.211
3	2	2013	54	19.4	8	0.215
3	2	2014	54	19.6	7.1	0.2165
3	2	2015	54	19.7	7.1	0.2195
3	2	2016	54	19.7	7.1	0.2205
3	2	2018	54	20.1	7.5	0.224
3	2	2009	58	15.8	7.9	0.154
3	2	2010	58	16.1	6.4	0.156
3	2	2011	58	16.1	6.4	0.1575
3	2	2012	58	16.6	6.9	0.159
3	2	2013	58	16.9	6.9	0.16
3	2	2014	58	17.3	7.3	0.1615
3	2	2015	58	17.6	7.6	0.165
3	2	2016	58	17.6	6.8	0.165
3	2	2018	58	18	7.2	0.1665
3	2	2012	59	17.2	8	0.159
3	2	2013	59	17.3	8.1	0.1615
3	2	2014	59	17.6	8.4	0.1625
3	2	2015	59	18	8.8	0.164
3	2	2016	59	18	8.8	0.165
3	2	2018	59	18.4	8.7	0.168
3	2	2005	60	16	8.6	0.2365
3	2	2007	60	16.2	8.3	0.241
3	2	2008	60	16.6	8.3	0.242
3	2	2009	60	16.6	8	0.2435
3	2	2010	60	16.6	7.7	0.246
3	2	2011	60	16.6	7.7	0.2465
3	2	2012	60	17	7.5	0.2465
3	2	2013	60	17.1	7.6	0.251
3	2	2015	60	17.7	8.4	0.2525
3	2	2016	60	17.8	8.5	0.2535
3	2	2018	60	18	8.4	0.255
3	2	2005	63	14.6	6.7	0.1605
3	2	2007	63	15.1	7.2	0.164
3	2	2008	63	15.6	7.7	0.1655
3	2	2009	63	15.9	8	0.167
3	2	2010	63	16	6.8	0.17
3	2	2011	63	16	6.8	0.171
3	2	2012	63	16.3	7.1	0.1715
3	2	2013	63	16.6	6.8	0.1755
3	2	2014	63	16.7	6.6	0.1755
3	2	2015	63	17.1	6.7	0.1785
3	2	2016	63	17.1	6.7	0.179
3	2	2018	63	17.7	7.3	0.1805
3	2	2005	66	16.9	7.7	0.2415
3	2	2007	66	16.9	7.7	0.244
3	2	2008	66	17.3	8.1	0.244
3	2	2014	66	18	7.5	0.2545
3	2	2015	66	18.4	7.9	0.256
3	2	2016	66	18.4	7.9	0.2575
3	2	2018	66	18.8	8.2	0.26
3	2	2015	67	18.8	9.4	0.234
3	2	2005	72	15.5	7.1	0.1435
3	2	2007	72	15.5	6.9	0.1465
3	2	2008	72	15.9	7.3	0.147
3	2	2009	72	15.9	6.4	0.147
3	2	2010	72	15.9	6	0.1485
3	2	2011	72	16	6.1	0.1485
3	2	2005	80	12.5	6.4	0.108
3	2	2007	80	12.7	6.6	0.1105
3	2	2008	80	13.1	7	0.1105
3	2	2009	80	13.2	7.1	0.1105
3	2	2010	80	13.3	5.7	0.113
3	2	2011	85	19.1	9.1	0.204
3	2	2012	85	19.5	9.5	0.204
3	2	2013	85	19.7	9.4	0.206
3	2	2014	85	19.9	9.6	0.2065
3	2	2015	85	20.3	10	0.209
3	2	2016	85	20.3	10	0.21
3	2	2018	85	20.9	9.6	0.214
3	2	2014	86	19.9	8.1	0.2435
3	2	2015	86	20.4	8.6	0.245
3	2	2016	86	20.4	8.6	0.246
3	2	2018	86	20.6	8.8	0.252
3	2	2005	88	19.1	10.1	0.2
3	2	2007	88	19.6	10.3	0.203
3	2	2008	88	19.6	10.3	0.204
3	2	2009	88	19.9	10.6	0.2055
3	2	2010	88	20.3	11	0.208
3	2	2011	88	20.3	11	0.212
3	2	2012	88	20.6	11.3	0.212
3	2	2013	88	21	10.9	0.215
3	2	2014	88	21.4	10.7	0.2175
3	2	2015	88	21.8	10.8	0.2185
3	2	2016	88	21.8	10.8	0.219
3	2	2018	88	22.3	10.3	0.2235
3	2	2009	90	19.5	7	0.226
3	2	2010	90	19.6	7.1	0.228
3	2	2011	90	19.7	7.2	0.2305
3	2	2012	90	19.9	7	0.2305
3	2	2013	90	20.1	7.2	0.233
3	2	2016	90	20.8	7.6	0.2375
3	2	2018	92	20.6	8.6	0.2375
3	2	2005	96	15.9	7.2	0.1765
3	2	2007	96	16.1	7.4	0.18
3	2	2008	96	16.8	8	0.1805
3	2	2009	96	17.1	6.9	0.181
3	2	2010	96	17.3	7.1	0.1835
3	2	2011	96	17.3	7.1	0.187
3	2	2012	96	17.7	7.2	0.187
3	2	2013	96	17.8	7.3	0.188
3	2	2014	96	17.9	7.4	0.189
3	2	2015	96	18.4	7.9	0.1915
3	2	2016	96	18.4	7.9	0.192
3	2	2018	96	18.9	7.5	0.194
3	2	2005	104	15	5.9	0.1445
3	2	2007	104	15.3	6.2	0.1455
3	2	2008	104	15.5	6.4	0.1465
3	2	2009	104	15.9	6.1	0.1465
3	2	2010	104	15.9	6.1	0.1475
3	2	2011	104	16	6.2	0.15
3	2	2012	104	16.4	6.2	0.15
3	2	2013	104	16.6	6.4	0.15
3	2	2014	104	16.9	6.4	0.1505
3	2	2015	104	17.1	6.1	0.152
3	2	2016	104	17.3	6.3	0.152
3	2	2018	104	17.8	6	0.153
3	2	2005	111	18.7	8.3	0.229
3	2	2007	111	18.9	8.5	0.234
3	2	2008	111	19.4	9	0.2345
3	2	2010	111	19.9	9.3	0.2395
3	2	2011	111	19.9	9.3	0.243
3	2	2012	111	20.1	9.2	0.2435
3	2	2014	111	20.6	9.2	0.2495
3	2	2014	112	20.1	8.9	0.2355
3	2	2015	112	20.3	8.8	0.2375
3	2	2018	112	20.4	9.3	0.2435
3	2	2005	113	18.8	9.8	0.2295
3	2	2007	113	18.8	9.8	0.2335
3	2	2008	113	19.3	10.3	0.2335
3	2	2009	113	19.3	10.3	0.237
3	2	2013	113	19.5	8.8	0.2475
3	3	2009	1	15.3	6.7	0.1705
3	3	2010	1	15.5	6.9	0.1715
3	3	2011	1	15.5	6.9	0.172
3	3	2012	1	15.8	6.6	0.172
3	3	2013	1	16.1	6.9	0.175
3	3	2014	1	16.3	7.1	0.175
3	3	2015	1	16.5	7.3	0.1765
3	3	2016	1	16.7	7.5	0.1765
3	3	2018	1	17	7.8	0.1775
3	3	2011	2	16.6	9.5	0.242
3	3	2012	2	17	9.6	0.2435
3	3	2007	3	17.5	7.1	0.195
3	3	2008	3	17.7	7.3	0.1955
3	3	2009	3	18	7.6	0.198
3	3	2010	3	18.1	7.5	0.2005
3	3	2011	3	18.1	7.5	0.2035
3	3	2012	3	18.5	7.9	0.204
3	3	2013	3	18.7	8.1	0.2075
3	3	2014	3	19.1	8.5	0.2085
3	3	2015	3	19.2	7.8	0.2105
3	3	2016	3	19.4	8	0.2115
3	3	2018	3	19.6	8.2	0.2145
3	3	2005	4	16.2	5.6	0.197
3	3	2007	4	16.4	5.8	0.1985
3	3	2008	4	16.8	6.2	0.199
3	3	2009	4	17	6.2	0.2005
3	3	2010	4	17.1	6.3	0.2035
3	3	2011	4	17.1	6.3	0.204
3	3	2012	4	17.5	6.1	0.204
3	3	2013	4	17.7	6.3	0.207
3	3	2014	4	18.1	6.4	0.208
3	3	2015	4	18.4	6.7	0.21
3	3	2016	4	18.6	6.9	0.2115
3	3	2018	4	19	7.3	0.214
3	3	2005	7	18.6	10.7	0.2745
3	3	2007	7	18.9	11	0.2775
3	3	2008	7	19.1	11.2	0.2795
3	3	2009	7	19.3	11.4	0.2805
3	3	2010	7	19.4	11.5	0.283
3	3	2011	7	19.4	11.5	0.2845
3	3	2012	7	19.6	11.7	0.286
3	3	2013	7	19.7	11.8	0.29
3	3	2014	7	20.1	12.2	0.2915
3	3	2015	7	20.5	12.3	0.293
3	3	2016	7	20.5	12.3	0.2935
3	3	2018	7	20.8	12.6	0.297
3	3	2005	13	18.3	8.8	0.201
3	3	2007	13	18.3	8.8	0.205
3	3	2008	13	18.8	9.3	0.206
3	3	2009	13	18.9	9.4	0.21
3	3	2010	13	19	9.5	0.212
3	3	2011	13	19	9.5	0.2145
3	3	2012	13	19.2	9.7	0.2155
3	3	2013	13	19.4	9.9	0.217
3	3	2014	13	19.7	10.2	0.219
3	3	2015	13	20.1	10.6	0.2225
3	3	2016	13	20.1	10.6	0.2225
3	3	2018	13	20.6	11.1	0.226
3	3	2009	19	18.2	7.4	0.24
3	3	2010	19	18.3	7.5	0.243
3	3	2011	19	18.3	7.5	0.2465
3	3	2012	19	18.6	7.8	0.2465
3	3	2013	19	18.7	7.9	0.248
3	3	2015	19	19.2	8.5	0.253
3	3	2016	19	19.3	8.6	0.254
3	3	2018	19	19.7	8.4	0.254
3	3	2005	21	18.3	10.1	0.2415
3	3	2007	21	18.4	9.7	0.244
3	3	2008	21	18.8	9.1	0.2445
3	3	2009	21	18.9	9.2	0.2475
3	3	2012	21	18.9	7.8	0.2525
3	3	2013	21	19.1	8	0.254
3	3	2014	21	19.2	8.1	0.2555
3	3	2015	21	19.6	8.3	0.2575
3	3	2016	21	20.1	8.8	0.2575
3	3	2018	21	20.6	8.4	0.2605
3	3	2005	30	15.9	5.4	0.1815
3	3	2007	30	16	5.5	0.1835
3	3	2008	30	16.2	5.7	0.1835
3	3	2009	30	16.2	5.7	0.184
3	3	2010	30	16.2	5.2	0.186
3	3	2011	30	16.2	5.2	0.187
3	3	2012	30	16.5	5.5	0.187
3	3	2013	30	16.6	5.6	0.1875
3	3	2014	30	16.9	5.9	0.189
3	3	2015	30	17.4	6.1	0.1895
3	3	2016	30	17.4	6.1	0.1895
3	3	2018	30	17.5	6.2	0.1905
3	3	2009	36	14.5	6.5	0.1335
3	3	2010	36	14.6	5.6	0.1365
3	3	2011	36	14.6	5.6	0.139
3	3	2012	36	15	5.7	0.139
3	3	2013	36	15.2	5.9	0.141
3	3	2014	36	15.6	6.3	0.1415
3	3	2015	36	16	6.7	0.1445
3	3	2016	36	16.3	7	0.145
3	3	2018	36	16.6	7.1	0.1475
3	3	2005	38	13.5	4.9	0.1275
3	3	2007	38	14.1	4.7	0.1315
3	3	2008	38	14.1	4.7	0.132
3	3	2009	38	14.2	4.8	0.133
3	3	2010	38	14.3	4.6	0.1355
3	3	2011	38	14.3	4.6	0.1365
3	3	2012	38	14.5	4.3	0.137
3	3	2013	38	14.8	3.8	0.1395
3	3	2014	38	15.1	4.1	0.1395
3	3	2015	38	15.4	4.4	0.142
3	3	2016	38	15.5	4.5	0.1425
3	3	2018	38	15.9	4.9	0.144
3	3	2014	40	18.8	8.6	0.2495
3	3	2015	40	19.1	8.9	0.2515
3	3	2018	40	19.9	9.2	0.2575
3	3	2005	42	18.3	12.5	0.267
3	3	2007	42	18.4	12.6	0.269
3	3	2008	42	18.8	13	0.27
3	3	2011	42	18.7	13.1	0.276
3	3	2014	42	19.7	13.2	0.2805
3	3	2005	47	17.3	7.9	0.1745
3	3	2007	47	17.8	8.1	0.181
3	3	2005	52	13.7	5.3	0.145
3	3	2007	52	13.9	5.3	0.149
3	3	2008	52	14.2	5.4	0.1495
3	3	2009	52	14.6	5.4	0.1505
3	3	2010	52	14.8	5.6	0.1535
3	3	2011	52	14.8	5.6	0.155
3	3	2012	52	15.1	5	0.155
3	3	2013	52	15.3	5.2	0.156
3	3	2014	52	15.5	5.2	0.1575
3	3	2015	52	15.9	5.6	0.16
3	3	2016	52	16.2	5.9	0.16
3	3	2018	52	16.7	6.1	0.163
3	3	2005	55	16	9.1	0.19
3	3	2007	55	16.2	9.3	0.1945
3	3	2008	55	16.7	9	0.1945
3	3	2009	55	16.8	8.8	0.195
3	3	2010	55	16.8	8.8	0.199
3	3	2011	55	16.9	8.1	0.201
3	3	2012	55	16.9	8.1	0.201
3	3	2013	55	17.2	8	0.205
3	3	2014	55	17.3	8.1	0.2055
3	3	2015	55	17.8	8.2	0.207
3	3	2016	55	18	8.4	0.208
3	3	2018	55	18.4	8.8	0.2105
3	3	2005	63	14.6	8.3	0.1425
3	3	2007	63	14.9	8.6	0.1465
3	3	2008	63	15	7	0.148
3	3	2009	63	15.3	7.3	0.15
3	3	2010	63	15.3	7.3	0.154
3	3	2011	63	15.3	7.3	0.1555
3	3	2012	63	15.7	7.7	0.156
3	3	2013	63	15.9	7.9	0.1595
3	3	2014	63	16.2	8.2	0.16
3	3	2015	63	16.6	7.3	0.1635
3	3	2016	63	16.7	7.4	0.1645
3	3	2018	63	16.9	6.9	0.1685
3	3	2009	69	17	6.8	0.188
3	3	2010	69	17.2	7	0.1905
3	3	2011	69	17.2	7	0.1925
3	3	2012	69	17.4	7.2	0.1925
3	3	2013	69	17.6	7.4	0.1955
3	3	2014	69	17.9	7.7	0.196
3	3	2015	69	18.3	8.1	0.1975
3	3	2016	69	18.7	8.5	0.1985
3	3	2018	69	19.3	8.5	0.203
3	3	2005	71	15.1	6.8	0.136
3	3	2007	71	15.4	7.1	0.139
3	3	2008	71	15.7	7.1	0.139
3	3	2009	71	15.9	7.3	0.14
3	3	2010	71	16.2	6.6	0.1415
3	3	2011	71	16.2	6.6	0.1435
3	3	2012	71	16.5	6.9	0.1435
3	3	2013	71	16.8	7.2	0.144
3	3	2014	71	16.8	6.8	0.145
3	3	2015	71	17.2	6.9	0.147
3	3	2016	71	17.2	6.9	0.147
3	3	2018	71	17.6	6.2	0.148
3	3	2005	75	16.8	7.1	0.266
3	3	2007	75	16.9	7.2	0.2675
3	3	2008	75	17.2	7.1	0.27
3	3	2009	75	17.2	7.1	0.27
3	3	2010	75	17.3	7.2	0.272
3	3	2012	75	17.5	7.5	0.276
3	3	2013	75	17.6	7.6	0.2795
3	3	2015	75	18.2	8.1	0.282
3	3	2016	75	18.6	8.5	0.283
3	3	2005	80	16.9	7.2	0.2425
3	3	2008	80	17.2	8.9	0.2445
3	3	2010	80	17.2	9	0.2485
3	3	2011	80	17.3	9.1	0.251
3	3	2005	81	14.9	5.8	0.1465
3	3	2007	81	15.4	5.4	0.1475
3	3	2008	81	15.4	5.4	0.1485
3	3	2009	81	15.9	5.9	0.1485
3	3	2010	81	16	6	0.15
3	3	2011	81	16	6	0.152
3	3	2012	81	16.5	5.8	0.152
3	3	2013	81	16.7	5.8	0.1525
3	3	2014	81	17.1	5.9	0.1535
3	3	2015	81	17.4	6.2	0.156
3	3	2016	81	17.6	6.4	0.156
3	3	2018	81	18	6.8	0.1585
3	3	2005	89	17.6	6.9	0.175
3	3	2007	89	17.6	6.9	0.181
3	3	2008	89	18.3	7.6	0.181
3	3	2009	89	18.4	7.7	0.182
3	3	2010	89	19	8.3	0.1845
3	3	2011	89	19	8.3	0.187
3	3	2012	89	19	8	0.1875
3	3	2013	89	19.2	8	0.1895
3	3	2014	89	19.6	8.4	0.1915
3	3	2015	89	19.7	7.7	0.195
3	3	2016	89	20.3	8.3	0.1955
3	3	2018	89	20.7	8.7	0.197
3	3	2009	91	20.7	13.4	0.238
3	3	2010	91	20.9	10.1	0.2415
3	3	2013	91	21.2	11.9	0.2465
3	3	2014	91	21.6	12.3	0.2475
3	3	2016	91	22	12.5	0.253
3	3	2005	97	13.8	5.5	0.1195
3	3	2007	97	14	5.7	0.122
3	3	2008	97	14.3	6	0.122
3	3	2009	97	14.5	6.2	0.1225
3	3	2010	97	14.6	6.3	0.124
3	3	2011	97	14.6	6.3	0.124
3	3	2012	97	14.8	5.8	0.124
3	3	2013	97	14.8	5.2	0.1255
3	3	2014	97	15	5.4	0.126
3	3	2015	97	15.3	5	0.1275
3	3	2016	97	15.3	5	0.1275
3	3	2018	97	15.6	5.3	0.129
3	3	2005	99	20.4	12.6	0.26
3	3	2007	99	20.7	12.5	0.2645
3	3	2008	99	20.8	12.6	0.2655
3	3	2018	99	22.8	11.5	0.2855
3	3	2009	104	16.6	6.5	0.1475
3	3	2010	104	16.7	6.6	0.1495
3	3	2011	104	16.7	6.4	0.1515
3	3	2012	104	17.2	5.2	0.1515
3	3	2013	104	17.2	5.2	0.1515
3	3	2014	104	17.5	4.9	0.1515
3	3	2015	104	17.9	5.1	0.1515
3	3	2016	104	18	5.2	0.1515
3	3	2018	104	18.2	5.4	0.1525
