Snr	trt	year	age	wd	wde	wdl	swg	wge	wgl	ba	bai	baie	bail
1	F	1945	1	2.865	1.54	1.325	406.152141778664	397.23883268641	423.958252108703	25.7868993590121	25.7868993590121	NA	NA
1	F	1946	2	0.905	0.525	0.38	414.815558963034	379.228690643965	463.360895115118	44.6511422262064	18.8642428671943	10.3165975753072	8.54764529188712
1	F	1947	3	0.695	0.505	0.19	396.264877054993	382.445042266682	433.696315662373	62.6314980003132	17.9803557741068	12.7634270135556	5.21692876055123
1	F	1948	4	0.88	0.7	0.18	378.406670799087	358.144977266943	458.309241209022	89.7522390602232	27.12074105991	21.1774760778488	5.94326498206117
1	F	1949	5	0.345	0.2	0.145	418.49562972504	409.228636979177	432.652428467011	101.712517911888	11.9602788516653	6.84238879951857	5.11789005214676
1	F	1950	6	0.61	0.41	0.2	387.895301225645	366.809420980277	431.220900017525	124.689812420979	22.9772945090904	15.1861447281877	7.7911497809027
1	F	1951	7	0.495	0.305	0.19	376.285269994293	353.544967606261	412.808267535228	145.053694541364	20.3638821203854	12.3653872243458	7.99849489603963
1	F	1952	8	0.325	0.185	0.14	384.148050466717	363.854703668994	412.13336748952	159.261154618142	14.2074600767781	8.00595617859187	6.20150389818627
1	F	1953	9	0.655	0.38	0.275	413.031278391667	384.607742468242	453.135261223759	189.911239404912	30.6500847867691	17.4534321462835	13.1966526404856
1	F	1954	10	0.72	0.39	0.33	413.945055508786	359.480250790697	479.099332097205	226.713112386124	36.8018729812123	19.5300248903063	17.271848090906
1	F	1955	11	0.895	0.61	0.285	406.846170356218	371.261596127285	480.821963932332	277.000821611585	50.2877092254608	33.72813872894	16.5595704965208
1	F	1956	12	0.895	0.58	0.315	434.116857812451	386.23377235832	521.902301914281	332.321519347729	55.3206977361444	35.2763155886291	20.0443821475153
1	F	1957	13	0.955	0.755	0.2	416.121634620378	391.059840237783	511.159324061059	396.901276032166	64.5797566844369	50.5808198200408	13.9989368643961
1	F	1958	14	0.605	0.43	0.175	400.521235329082	361.422930872357	496.652511539126	440.778094209079	43.8768181769129	30.9487717083091	12.9280464686038
1	F	1959	15	0.545	0.395	0.15	389.304534009917	344.964543360824	505.934629148976	482.272485597142	41.4943913880629	29.8877773293755	11.6066140586875
1	F	1960	16	0.485	0.35	0.135	375.674651970976	345.764630765218	454.158289447413	520.768069717721	38.4955841205789	27.6318781846491	10.8637059359298
1	F	1961	17	0.47	0.33	0.14	396.882321840525	368.998776475145	462.018324313423	559.483172624969	38.7151029072485	27.0378030138552	11.6772998933933
1	F	1962	18	0.51	0.37	0.14	382.483825540557	339.481029222092	493.622646384251	603.063345915567	43.5801732905976	31.4542539662717	12.1259193243259
1	F	1963	19	0.745	0.49	0.255	407.118785044344	351.407087761184	514.671470442762	669.6618900392	66.5985441236337	43.4105272873038	23.1880168363299
1	F	1964	20	0.53	0.38	0.15	378.209270452619	334.616370298457	488.783494032433	719.163651322549	49.5017612833489	35.3127580634108	14.1890032199381
1	F	1965	21	0.595	0.42	0.175	374.071968490059	325.810901138098	487.803879546006	776.839286911825	57.6756355892753	40.4813062970967	17.1943292921786
1	F	1966	22	0.64	0.45	0.19	391.636989989491	334.147890679987	528.258524933307	841.36006019419	64.5207732823656	45.0975625422816	19.423210740084
1	F	1967	23	0.655	0.46	0.195	389.183726768925	339.485663597097	506.038167755004	910.057816528953	68.6977563347625	47.9639516794171	20.7338046553455
1	F	1968	24	0.685	0.505	0.18	384.964220530767	340.37665739652	509.905060828024	984.785702882648	74.7278863536952	54.805790700221	19.9220956534742
1	F	1969	25	0.605	0.455	0.15	359.821682035985	323.912852993527	470.472463330148	1053.23810083116	68.4523979485172	51.2663153370539	17.1860826114632
1	F	1970	26	0.485	0.345	0.14	378.019360358871	331.821631686827	493.207952524848	1109.77396660572	56.5358657745528	40.0644954917814	16.4713702827714
1	F	1971	27	0.785	0.62	0.165	366.377363116136	328.725027061432	507.35073656662	1204.4124817997	94.6385151939839	74.424958282073	20.2135569119109
1	F	1972	28	0.94	0.75	0.19	361.700890179535	313.028291444812	553.830945669237	1322.83167528412	118.419193484414	94.0357221035765	24.3834713808374
1	F	1973	29	1.055	0.84	0.215	366.07278167155	326.049024751032	522.087834498102	1462.35051188839	139.51883660427	110.518716279166	29.0001203251038
1	F	1974	30	1.25	0.945	0.305	375.572396013914	322.84533924029	537.395511166542	1636.70890416262	174.358392274233	130.909459016739	43.4489332574938
