plot	year	rep	nr	d	h	lc	cb	ba	Vst	Vsw	Bsb	Bbr	Bcr	Bcn	Bdb	Bf	dd	dh	dcb	dba	dVst	dVsw	dBsb	dBbr	dBcr	dBcn	Bbr.trnv	trt	swg	dBsw
2	2018	1	1	0.143	17.1454014154653	6.71738153472083	10.4280198807445	0.0160606070433144	0.148950772308547	0.125227468078251	5.06811446646323	5.5356970739948	13.8880628847868	0.0591829468749344	0.669958650147824	2.71495019881046	0.00070391370799	0.272635729222102	0.250227713166012	0.000157726664088659	0.00395523559824815	0.00336573788857114	0.0068389921078662	0.0911684369349519	0.116010122625818	0.00101441959302797	0.160575426648315	F	411.059714321318	1.38351925495649
2	2018	1	2	0.256	19.4173034484384	9.50411299257063	9.91319045586777	0.0514718540364152	0.487082566668092	0.419269253461138	14.5560441239173	29.7421875569399	37.3722867791327	0.455273741069863	2.70046420261249	8.26706273227588	0.00258445500634202	0.283323575583498	0.159710721969988	0.00103402502774225	0.0166418656161317	0.0145359345502793	0.174093446208765	0.818619321580503	0.639087104965689	0.0159008992723784	0.373462521789847	F	411.059714321318	5.97513710363118
2	2018	1	3	0.1795	18.1221643874449	7.67183093027855	10.4503334571664	0.0253057251742066	0.238373484074086	0.202272083611966	7.62454108797019	11.2461090917497	20.4394302165139	0.131250863930745	1.18307499040685	4.37863210088888	0.00155985578730999	0.285605905511002	0.225912750365152	0.00043790273391411	0.00786608086891488	0.00676804011146534	0.0660953001697848	0.310613822562289	0.301012735870021	0.00395282999208832	0.236145801941788	F	411.059714321318	2.78206863473416
2	2018	1	4	0.163	17.7216309499938	7.2495130863679	10.4721178636259	0.0208672438033068	0.19552440342968	0.165263810683486	6.40807837210281	8.39375797161088	17.3493373289325	0.0936229117342681	0.93250680889453	3.59917524598655	0.001883429278281	0.299864456460398	0.238946455575489	0.000479446810615902	0.00768106132397617	0.00658737029168438	0.0869720352205698	0.308927165568246	0.339392992880359	0.0037356697491881	0.2025006227415	F	411.059714321318	2.70780255022852
2	2018	1	5	0.1685	17.8618028628123	7.39177265923438	10.4700302035779	0.0222992210047212	0.209367663153354	0.177203624974353	6.80245830430628	9.29537243222589	18.3561741061005	0.105166442790389	1.0126752991434	3.8546706544858	0.001389103190266	0.284940721091299	0.23437768611112	0.000366151184491688	0.00679011536052859	0.00582606503159386	0.0524722971904596	0.24750060123943	0.256496221799225	0.00300635853783635	0.213402412860113	F	411.059714321318	2.39486062750439
2	2018	1	6	0.1175	16.2148718855931	5.99539928716128	10.2194725984318	0.010843403393406	0.0983389916919247	0.08201211677715	3.57563255073317	2.84379920118928	9.94590843154514	0.0297402970933911	0.402254307644292	1.71849519657543	0.000237280877979987	0.260162331009202	0.259526983845902	4.37503723007826e-05	0.00212551853951841	0.0017903398029073	-0.0154690597527516	0.0164706838435227	0.0341178930745301	0.000209887923737325	0.111421309922003	F	411.059714321318	0.735936567921158
2	2018	1	7	0.103	15.551227531588	5.55510313390106	9.99612439768694	0.00833228911548353	0.074074337575878	0.0614402738224146	2.83611367085343	1.76851251965832	7.95078210805714	0.0187472134115768	0.283424074451721	1.23530956641063	0.000584843317070996	0.279530067302598	0.271842764615998	9.43543436958596e-05	0.0022360850671069	0.00187732682930751	0.00493016983048289	0.0322469284381843	0.0765892491045026	0.000370309926576919	0.0901020637127068	F	411.059714321318	0.77169343014289
2	2018	1	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	411.059714321318	NA
2	2018	1	9	0.24	19.2027793520732	9.13352898554337	10.0692503665298	0.045238934211693	0.428437241055142	0.367835600826134	12.9321973044738	25.2342184068913	33.4891420090675	0.363137387663697	2.34025937241946	7.44092212346606	0.002522558553227	0.286199967245199	0.17300503034912	0.000945984444855608	0.0150972916038888	0.0131534579526883	0.162903827205556	0.746723464890625	0.596145068421571	0.013197594740997	0.348222475396125	F	411.059714321318	5.40685666836952
2	2018	1	10	0.2015	18.5750036103949	8.21677233196104	10.3582312784339	0.031888932579804	0.30158178559742	0.257107508336559	9.4012940764276	15.7201377565019	24.8783232838972	0.19679786409772	1.56267137438325	5.4669160332864	0.00244782214714401	0.296653266711601	0.20513487508855	0.000770067577691304	0.0118440721085868	0.0102489571755466	0.142814967236014	0.571794288993893	0.511556297424111	0.00824947586957123	0.277201974092638	F	411.059714321318	4.2129334086716
2	2018	1	11	0.2005	18.5561362687654	8.19238634190859	10.3637499268568	0.0315732025181183	0.298560200319749	0.254480385620851	9.31671349436408	15.5007392418531	24.6688103972701	0.193397221047285	1.54433516963861	5.41654090637336	0.00319007932667201	0.311405259737199	0.20259226853141	0.000996705772399627	0.013946855937902	0.0120739997673678	0.204704763659908	0.725998663933161	0.66347802778531	0.0105678306097675	0.270727058999997	F	411.059714321318	4.96313489508988
