trt	plot	rep	depth	diameter	drymass
C	2	4	OM	0	0.011
C	2	4	5	0	0.000
C	2	4	15	0	
C	2	4	25	0	
C	2	5	OM	0	0.084
C	2	5	5	0	0.025
C	2	5	15	0	0.044
C	2	5	25	0	0.007
C	3	1	OM	0	0.067
C	3	1	5	0	0.013
C	3	1	15	0	
C	3	1	25	0	0.019
C	3	2	OM	0	0.064
C	3	2	5	0	0.028
C	3	2	15	0	
C	3	2	25	0	
C	3	3	OM	0	0.029
C	3	3	5	0	0.045
C	3	3	15	0	0.157
C	3	3	25	0	
C	3	4	OM	0	0.091
C	3	4	5	0	0.012
C	3	4	15	0	0.082
C	3	4	25	0	
C	3	5	OM	0	0.117
C	3	5	5	0	
C	3	5	15	0	
C	3	5	25	0	
C	1	1	OM	1	
C	1	1	5	1	0.014
C	1	1	15	1	0.059
C	1	1	25	1	
C	1	2	OM	1	
C	1	2	5	1	
C	1	2	15	1	0.042
C	1	2	25	1	0.017
C	1	3	OM	1	0.028
C	1	3	5	1	0.085
C	1	3	15	1	0.020
C	1	3	25	1	0.045
C	1	4	OM	1	
C	1	4	5	1	0.120
C	1	4	15	1	0.092
C	1	4	25	1	
C	1	5	OM	1	0.019
C	1	5	5	1	0.061
C	1	5	15	1	0.024
C	1	5	25	1	
C	2	1	OM	1	
C	2	1	5	1	
C	2	1	15	1	
C	2	1	25	1	0.040
C	2	2	OM	1	
C	2	2	5	1	
C	2	2	15	1	0.040
C	2	2	25	1	0.029
C	2	3	OM	1	0.041
C	2	3	5	1	0.021
C	2	3	15	1	0.019
C	2	3	25	1	
C	2	4	OM	1	0.055
C	2	4	5	1	0.027
C	2	4	15	1	0.104
C	2	4	25	1	
C	2	5	OM	1	
C	2	5	5	1	0.050
C	2	5	15	1	0.256
C	2	5	25	1	0.025
C	3	1	OM	1	
C	3	1	5	1	0.058
C	3	1	15	1	0.010
C	3	1	25	1	0.045
C	3	2	OM	1	0.026
C	3	2	5	1	0.114
C	3	2	15	1	
C	3	2	25	1	0.073
C	3	3	OM	1	
C	3	3	5	1	0.036
C	3	3	15	1	0.119
C	3	3	25	1	
C	3	4	OM	1	
C	3	4	5	1	0.010
C	3	4	15	1	0.049
C	3	4	25	1	
C	3	5	OM	1	
C	3	5	5	1	0.016
C	3	5	15	1	
C	3	5	25	1	
C	1	1	OM	2	
C	1	1	5	2	0.057
C	1	1	15	2	
C	1	1	25	2	
C	1	2	OM	2	
C	1	2	5	2	0.103
C	1	2	15	2	
