Date	GPP_2	NEE_2	GPP_3	NEE_3
2006-03-01	-0.04543236000	0.13897353600	0.14748048000	0.01811332800
2006-03-02	-0.08254761840	0.17246463840	-0.36737029656	0.53265859200
2006-03-03	-0.17091572400	0.25577420976	-0.50113963440	0.66096976320
2006-03-04	0.17115593760	-0.09849945600	-0.38793271680	0.53547220800
2006-03-05	-0.61492642560	0.67785033600	-0.92545848000	1.06093411200
2006-03-06	-0.83996801280	0.88550064000	-1.01522864160	1.12444048800
2006-03-07	-0.35586317520	0.43668828000	-0.05559386400	0.18915660000
2006-03-08	-0.15663352536	0.21086565840	-0.83948767200	0.95391928800
2006-03-09	-0.14189109120	0.30364178400	-0.57680521200	0.78774400800
2006-03-10	0.38880611280	-0.22679904960	-0.03899871360	0.25616872080
2006-03-11	0.12026910240	0.15617059200	-0.16858380960	0.45366588000
2006-03-12	-0.51585163200	0.75400640640	-0.69187785120	0.94445544240
2006-03-13	0.30793702392	-0.01407823200	0.43131701232	-0.14728694400
2006-03-14	0.81441309600	-0.56202452640	0.91807551792	-0.65309062320
2006-03-15	-0.26523040594	0.49311180000	-0.19155733114	0.44451007200
2006-03-16	-0.33078607416	0.72967996800	-0.38397981355	0.71926423200
2006-03-17	0.03745867680	0.50641541280	-0.27037324800	0.66048436800
2006-03-18	0.14222097526	0.40286678400	-0.02238572160	0.38704932000
2006-03-19	0.16622672472	0.14888750400	0.13385323440	0.15801264000
2006-03-20	-0.40835723832	0.59969419200	-0.24305398488	0.49056166080
2006-03-21	-0.77631242400	0.92033778960	-0.46848196800	0.70620271200
2006-03-22	-0.31036996800	0.41554915920	-0.31476858984	0.53215408080
2006-03-23	0.09921528000	-0.01308669718	-0.16048595880	0.37052244720
2006-03-24	-0.33536431512	0.45477302969	-0.33699255768	0.63534749760
2006-03-25	-0.01166430240	0.13128937920	0.20112750360	0.16420996080
2006-03-26	0.16818188976	-0.11355634080	0.92953335024	-0.62049624480
2006-03-27	1.23023530080	-1.17207907200	1.94700643920	-1.62205048800
2006-03-28	0.90104810400	-0.83581200000	0.97896492000	-0.64374825600
2006-03-29	0.93400071840	-0.88114867200	0.67631909040	-0.38400949368
2006-03-30	1.07560980000	-1.02297060000	0.88699777920	-0.60341582880
2006-03-31	0.67764183120	-0.62603733600	0.11861287920	0.15504749352
2006-04-01	-0.55328538240	0.61619443200	-0.52112317680	0.81113568480
2006-04-02	1.28198749680	-1.18269752400	1.04958828000	-0.70778080800
2006-04-03	1.03693867200	-0.91972432800	1.16049622320	-0.77134792320
2006-04-04	0.03055830840	0.09520964640	0.32926346640	0.06492312000
2006-04-05	1.47892804560	-1.34648205120	1.27208078640	-0.87335344800
2006-04-06	1.06960176000	-0.91368907200	1.45514448000	-1.02887431200
2006-04-07	0.95354323200	-0.79254136800	1.42639704000	-0.99986702400
2006-04-08	1.17979653600	-0.99683611200	1.83468412800	-1.38674937600
2006-04-09	1.03198104000	-0.84412022400	1.54570896000	-1.09772020800
2006-04-10	1.33047252000	-1.13842389600	1.79834472000	-1.35165240000
2006-04-11	-0.13892505394	0.35893864800	0.98766421200	-0.51739948800
2006-04-12	2.45510978400	-2.24439638400	2.82290616000	-2.36565964800
2006-04-13	1.27331373600	-1.06590254400	1.88665200000	-1.43558524800
2006-04-14	1.28580307200	-1.06039389600	1.87637688000	-1.40911596000
2006-04-15	1.46868789600	-1.22478091200	2.04941491200	-1.56665383200
2006-04-16	2.03750510400	-1.76649545952	2.49627052800	-1.99629124560
2006-04-17	1.51452216720	-1.27100748240	2.15620164000	-1.67964516000
2006-04-18	1.65026937600	-1.39871292480	1.93322326320	-1.45206172800
2006-04-19	1.44563551200	-1.16187961680	1.91611038240	-1.41133968000
2006-04-20	1.04542531200	-0.73557685440	1.23017222880	-0.70751335680
2006-04-21	-0.06857421984	0.39002515200	0.40870139760	0.12559989600
2006-04-22	1.13506209360	-0.82102945680	1.62981259920	-1.10528409600
2006-04-23	2.20531356000	-1.81594265040	2.76247411200	-2.15467441200
2006-04-24	1.73687457600	-1.28819300400	2.41175599200	-1.74770043120
2006-04-25	2.75152077360	-2.22593767200	3.16746054720	-2.44221879600
2006-04-26	3.40940143440	-2.84883998400	2.78261611200	-2.01915549360
2006-04-27	3.04252977600	-2.46107157840	3.01383158400	-2.22260829120
2006-04-28	2.30538225600	-1.62592289280	1.88637736248	-1.01721208320
2006-04-29	3.31555939200	-2.60360416800	3.27232591200	-2.37312590400
2006-04-30	3.81754851120	-3.09189019536	3.62543601600	-2.71266172560
2006-05-01	3.57481358640	-2.81679132960	3.21428736000	-2.27083266720
2006-05-02	2.28038643360	-1.37106196560	3.47737313520	-2.42306601120
2006-05-03	2.38647103200	-1.61151178320	2.62081738080	-1.62004955040
2006-05-04	3.59626456800	-2.46798176400	4.70278805040	-3.50398180800
2006-05-05	4.04344461600	-2.63476035360	3.76542892080	-2.40465380400
2006-05-06	3.63768645600	-2.07309973752	3.55369029840	-2.10067767360
2006-05-07	3.97799424000	-2.22559876800	3.12623259545	-1.56304879200
2006-05-08	3.85784203986	-2.03266303200	3.34563211512	-1.71617346000
2006-05-09	5.65157628000	-4.17242031336	5.66633037600	-4.18382920656
2006-05-10	4.08990405600	-2.44688623200	4.54332283200	-2.97231718320
2006-05-11	5.89194864000	-4.30751952000	5.30417916000	-3.72452301360
2006-05-12	4.13626392000	-2.91364344000	3.74560230240	-2.34174019680
2006-05-13	4.69431048240	-3.52479319200	4.29925345920	-2.91065646240
2006-05-14	4.70108059200	-3.57018688800	5.07500914320	-3.69360613440
2006-05-15	4.95944067600	-3.81016828800	4.77961134480	-3.37409895600
2006-05-16	3.63542495760	-2.52734515200	4.02408540000	-2.63407161600
2006-05-17	4.04451489600	-2.70621302400	3.91327632000	-2.37408256800
2006-05-18	4.76007192000	-3.45154564800	5.17803775200	-3.62359705680
2006-05-19	6.17854564800	-4.55326768800	6.12515304000	-4.37345611200
2006-05-20	6.53582692800	-4.60595894400	6.27719976000	-4.35090657600
2006-05-21	6.11119209600	-4.09950201600	6.18406017120	-4.20020618400
2006-05-22	7.30403071200	-4.99243975200	7.35148422720	-5.21511665760
2006-05-23	3.19144730400	-1.10716156800	3.15651718800	-1.08507513600
2006-05-24	4.22772696000	-1.95801219216	5.02023744000	-2.83910810400
2006-05-25	5.45758214400	-3.21909638400	5.62598373600	-3.44063656800
2006-05-26	4.39125868296	-2.37028414320	4.25972824560	-2.16716774400
2006-05-27	5.24836197360	-3.19893926400	4.88590380000	-2.76353791200
2006-05-28	5.44379378400	-3.16651204800	5.79233808000	-3.53571220800
2006-05-29	3.26736892800	-0.93647404800	3.59675906112	-1.28714940000
2006-05-30	5.01392563920	-2.75651920800	4.40653361760	-2.28300703200
2006-05-31	4.49000936640	-2.31028977600	4.35601046160	-2.37882549600
2006-06-01	5.98838261760	-3.51879962400	5.48316691200	-3.41305833600
2006-06-02	5.25866271120	-2.71937001600	5.62708637280	-3.56292259200
2006-06-03	6.31215525600	-3.90232317600	7.06792741920	-5.06833632000
2006-06-04	4.66731324720	-2.58877036800	5.10068035656	-3.26773353600
2006-06-05	4.86183384713	-2.68376371200	4.91872342320	-3.06235231200
