plot	rep	nr	year	d	hm	hm.se	dm	yr
2	1	2	2005	0.216	14.9	0	0.216	0
2	1	2	2006	0.216	15.1749410260195	0.0350891346372013	0.218081593702806	1
2	1	2	2007	0.216	15.4492606560167	0.0527466448819183	0.220403788107358	2
2	1	2	2008	0.216	15.7505055063816	0.0609087076277413	0.223184477736188	3
2	1	2	2009	0.216	16.1324920917557	0.0741415288259413	0.226428098681062	4
2	1	2	2010	0.216	16.4870927676272	0.075177940701245	0.230093214749943	5
2	1	2	2011	0.216	16.8536180740621	0.0808770694445459	0.2335	6
2	1	2	2012	0.216	17.1722566842022	0.088128328876025	0.237346931882513	7
2	1	2	2013	0.216	17.491966629429	0.092583203121859	0.23996697831619	8
2	1	2	2014	0.216	17.7847959648122	0.101248146339842	0.243330798691058	9
2	1	2	2015	0.216	18.111166138725	0.103423959758929	0.246902610548372	10
2	1	2	2016	0.216	18.3640473112261	0.104923018486085	0.250247094295167	11
2	1	2	2017	0.216	18.6668090461482	0.107069080124747	0.253267139647539	12
2	1	2	2018	0.216	18.9	0.109733330543672	0.256	13
2	1	4	2005	0.131	13.4	0	0.131	0
2	1	4	2006	0.131	13.6336998721166	0.0298257644416211	0.132872407181782	1
2	1	4	2007	0.131	13.8668715576142	0.0448346481496306	0.13495129771286	2
2	1	4	2008	0.131	14.1229296804243	0.0517724014835802	0.137427500499052	3
2	1	4	2009	0.131	14.4476182779923	0.0630202995020501	0.140298799889316	4
2	1	4	2010	0.131	14.7490288524831	0.0639012495960583	0.143522324684376	5
2	1	4	2011	0.131	15.0605753629528	0.068745509027864	0.1465	6
2	1	4	2012	0.131	15.3314181815718	0.0749090795446213	0.149338888673668	7
2	1	4	2013	0.131	15.6031716350146	0.0786957226535802	0.151267851015257	8
2	1	4	2014	0.131	15.8520765700903	0.0860609243888661	0.153739273501088	9
2	1	4	2015	0.131	16.1294912179163	0.08791036579509	0.15635747848691	10
2	1	4	2016	0.131	16.3444402145422	0.0891845657131725	0.158803684137692	11
2	1	4	2017	0.131	16.601787689226	0.0910087181060346	0.161008334982396	12
2	1	4	2018	0.131	16.8	0.093273330962121	0.163	13
2	1	11	2005	0.144	15.2	0	0.144	0
2	1	11	2006	0.144	15.4611939747185	0.0333346779053412	0.147486790286825	1
2	1	11	2007	0.144	15.7217976232158	0.0501093126378225	0.151319808464656	2
2	1	11	2008	0.144	16.0079802310625	0.0578632722463543	0.155836808151978	3
2	1	11	2009	0.144	16.3708674871679	0.0704344523846443	0.161013962914	4
2	1	11	2010	0.144	16.7077381292458	0.0714190436661828	0.166755883248771	5
2	1	11	2011	0.144	17.055937170359	0.0768332159723186	0.172	6
2	1	11	2012	0.144	17.3586438499921	0.0837219124322238	0.177002664989983	7
2	1	11	2013	0.144	17.6623682979575	0.0879540429657661	0.180375699196176	8
2	1	11	2014	0.144	17.9405561665715	0.0961857390228503	0.184668473904743	9
2	1	11	2015	0.144	18.2506078317888	0.098252761770983	0.189183165752585	10
2	1	11	2016	0.144	18.4908449456648	0.099676867561781	0.193372619732918	11
2	1	11	2017	0.144	18.7784685938408	0.101715626118509	0.197126163249523	12
2	1	11	2018	0.144	19	0.104246664016488	0.2005	13
2	1	16	2005	0.2185	16.2	0	0.2185	0
2	1	16	2006	0.2185	16.3993322438641	0.0254396226119709	0.221578374699884	1
2	1	16	2007	0.2185	16.5982139756121	0.0382413175393908	0.224996934324829	2
2	1	16	2008	0.2185	16.8166164921266	0.0441588130301125	0.229069771800902	3
2	1	16	2009	0.2185	17.0935567665228	0.0537526083988075	0.233793662562256	4
2	1	16	2010	0.2185	17.3506422565297	0.0545040070084027	0.239098485109989	5
2	1	16	2011	0.2185	17.616373103695	0.0586358753472958	0.244	6
2	1	16	2012	0.2185	17.8473860960466	0.0638930384351182	0.248641930636405	7
2	1	16	2013	0.2185	18.079175806336	0.0671228222633479	0.251796919572161	8
2	1	16	2014	0.2185	18.2914770744888	0.0734049060963858	0.255840164334438	9
2	1	16	2015	0.2185	18.5280954505757	0.0749823708252239	0.260124732950771	10
2	1	16	2016	0.2185	18.7114343006389	0.0760691884024119	0.264128885528842	11
2	1	16	2017	0.2185	18.9309365584575	0.0776250830904413	0.267738473723429	12
2	1	16	2018	0.2185	19.1	0.0795566646441621	0.271	13
2	1	20	2005	0.164	14.4	0	0.164	0
2	1	20	2006	0.164	14.6386403831671	0.0316309042547906	0.167719062218211	1
2	1	20	2007	0.164	14.8757948785354	0.0463641987918127	0.17181363529526	2
2	1	20	2008	0.164	15.1369815881243	0.0533783924022275	0.176646624740007	3
2	1	20	2009	0.164	15.4667621545985	0.063398464494843	0.182195458503971	4
2	1	20	2010	0.164	15.773876316983	0.0642891243412004	0.188360437475321	5
2	1	20	2011	0.164	16.0915512349715	0.0696046110069882	0.194	6
2	1	20	2012	0.164	16.3665718883078	0.0752495444549431	0.197607041486571	7
2	1	20	2013	0.164	16.6430238517489	0.0787481847454492	0.200059498574482	8
2	1	20	2014	0.164	16.896760397628	0.0865225113538527	0.203203384159733	9
2	1	20	2015	0.164	17.1803801702815	0.0889352730524405	0.206536044936157	10
2	1	20	2016	0.164	17.4	0.0904894101136363	0.20965159323096	11
2	1	27	2005	0.1265	14	0	0.1265	0
2	1	27	2006	0.1265	14.3505498081749	0.0447386466624316	0.127688500696419	1
2	1	27	2007	0.1265	14.7003073364213	0.0672519722244459	0.129014704916277	2
2	1	27	2008	0.1265	15.0843945206365	0.0776586022253702	0.130603200197009	3
2	1	27	2009	0.1265	15.5714274169885	0.0945304492530752	0.132456739647993	4
2	1	27	2010	0.1265	16.0235432787247	0.0958518743940874	0.13455187230068	5
2	1	27	2011	0.1265	16.4908630444291	0.103118263541796	0.1365	6
2	1	27	2012	0.1265	16.8971272723578	0.112363619316932	0.138369149562284	7
2	1	27	2013	0.1265	17.3047574525219	0.11804358398037	0.139645064989872	8
2	1	27	2014	0.1265	17.6781148551355	0.129091386583299	0.1412864968982	9
2	1	27	2015	0.1265	18.0942368268744	0.131865548692635	0.143033364905904	10
2	1	27	2016	0.1265	18.4166603218132	0.133776848569759	0.144672607421132	11
2	1	27	2017	0.1265	18.802681533839	0.136513077159052	0.146155686717008	12
2	1	27	2018	0.1265	19.1	0.139909996443182	0.1475	13
2	1	28	2005	0.2095	14.8	0	0.2095	0
2	1	28	2006	0.2095	15.0995904981362	0.0209288112764686	0.212017998340407	1
2	1	28	2007	0.2095	15.3802709076072	0.0265791714673653	0.214820169591044	2
2	1	28	2008	0.2095	15.6834690794042	0.0313694571790692	0.218166449895406	3
2	1	28	2009	0.2095	16.0385192711563	0.0351392703235208	0.222057786722823	4
2	1	28	2010	0.2095	16.3660629144306	0.0372113929726849	0.226439992032466	5
2	1	28	2011	0.2095	16.6817304257308	0.0416011371318626	0.2305	6
2	1	28	2012	0.2095	16.9938423384287	0.0448406831828073	0.233206786096242	7
2	1	28	2013	0.2095	17.3	0.0483471188530934	0.235057440164129	8
2	1	36	2005	0.208	15.5	0	0.208	0
2	1	36	2006	0.208	15.7306857037282	0.0305765407796309	0.210456334759059	1
2	1	36	2007	0.208	15.9599350492509	0.0448187254987522	0.213190470814556	2
2	1	36	2008	0.208	16.2124155351869	0.0515991126554866	0.21645628442366	3
2	1	36	2009	0.208	16.5312034161119	0.0612851823450149	0.220255066939891	4
2	1	36	2010	0.208	16.8280804397503	0.0621461535298271	0.224534288468589	5
2	1	36	2011	0.208	17.1351661938058	0.0672844573067553	0.2285	6
2	1	36	2012	0.208	17.4010194920309	0.072741226306445	0.232438987987229	7
2	1	36	2013	0.208	17.668256390024	0.0761232452539342	0.235120072236593	8
2	1	36	2014	0.208	17.9135350510404	0.0836384276420576	0.238560369739255	9
2	1	36	2015	0.208	18.1877008312721	0.0859707639506925	0.242211157611392	10
2	1	36	2016	0.208	18.4	0.0874730964431817	0.245627597907853	11
2	1	44	2005	0.177	15.6	0	0.177	0
2	1	44	2006	0.177	15.854320449068	0.0324574495394112	0.180372144139143	1
2	1	44	2007	0.177	16.1080661068154	0.0487906465157745	0.184098213815361	2
2	1	44	2008	0.177	16.3867175934029	0.0563405545556608	0.188513265855487	3
2	1	44	2009	0.177	16.740055184874	0.0685809141639957	0.193603432740691	4
2	1	44	2010	0.177	17.0680608100551	0.0695395951486516	0.199283335226174	5
2	1	44	2011	0.177	17.4070967185074	0.074811289236205	0.2045	6
2	1	44	2012	0.177	17.701837432887	0.0815187042103231	0.210656001554881	7
2	1	44	2013	0.177	17.9975691322218	0.0856394628877197	0.214803352655957	8
2	1	44	2014	0.177	18.2684362674512	0.0936545353643543	0.220077990161192	9
2	1	44	2015	0.177	18.5703286783207	0.0956671627770098	0.225621251886316	10
2	1	44	2016	0.177	18.8042437628841	0.0970537920996289	0.230761719698392	11
2	1	44	2017	0.177	19.0842983676871	0.0990388991153906	0.235364680918154	12
2	1	44	2018	0.177	19.3	0.101503330752896	0.2395	13
2	1	48	2005	0.243	15.8	0	0.243	0
2	1	48	2006	0.243	16.0130792951651	0.027194079343831	0.246504676794753	1
2	1	48	2007	0.243	16.2256770084129	0.0408786497834867	0.250395326904008	2
2	1	48	2008	0.243	16.4591417674457	0.0472042484114995	0.255028878586848	3
2	1	48	2009	0.243	16.7551813711106	0.0574596848401045	0.260400885160955	4
2	1	48	2010	0.243	17.0299968949111	0.0582629040434648	0.266430844030918	5
2	1	48	2011	0.243	17.3140540073981	0.062679728819523	0.272	6
2	1	48	2012	0.243	17.5609989302567	0.0682994548789193	0.275914328447297	7
2	1	48	2013	0.243	17.8087741378074	0.0717519824194407	0.278584799608376	8
2	1	48	2014	0.243	18.0357168727294	0.0784673134133778	0.28201854107836	9
2	1	48	2015	0.243	18.2886537575119	0.0801535688131703	0.285670757064669	10
2	1	48	2016	0.243	18.4846366662002	0.081315339326716	0.289096070055035	11
2	1	48	2017	0.243	18.7192770107649	0.0829785370966785	0.292193548770101	12
2	1	48	2018	0.243	18.9	0.0850433311713455	0.295	13
2	1	50	2008	0.1545	15.4	0	0.15473414127806	3
2	1	50	2009	0.1545	15.7999452895497	0.0415686330289972	0.159451428213006	4
2	1	50	2010	0.1545	16.1716648306443	0.0429639308146932	0.164697261697469	5
2	1	50	2011	0.1545	16.5566228435763	0.0539342394452845	0.1695	6
2	1	50	2012	0.1545	16.8893783340905	0.0641085060850278	0.173219325277876	7
2	1	50	2013	0.1545	17.2237566509505	0.0694613987131884	0.175741325588126	8
2	1	50	2014	0.1545	17.5267731247574	0.0784629166040984	0.178966736489755	9
2	1	50	2015	0.1545	17.8706686130801	0.0825664073986993	0.18237693407451	10
2	1	50	2016	0.1545	18.13633042748	0.0847222306483205	0.185557136650199	11
2	1	50	2017	0.1545	18.4546458932513	0.0880192398400102	0.188418613847313	12
2	1	50	2018	0.1545	18.7	0.092050039537556	0.191	13
2	1	51	2009	0.1615	14.4	0	0.163379703142553	4
2	1	51	2010	0.1615	14.7852828113943	0.0144104833479635	0.16681817126153	5
2	1	51	2011	0.1615	15.1822802969181	0.033734705342057	0.17	6
2	1	51	2012	0.1615	15.5274826540109	0.0503761853329359	0.17194413775352	7
2	1	51	2013	0.1615	15.8738889371896	0.0583442913589412	0.173273697352814	8
2	1	51	2014	0.1615	16.1885214282559	0.0701788883212758	0.174986988217341	9
2	1	51	2015	0.1615	16.5435250540759	0.0744038490940815	0.176813753227899	10
2	1	51	2016	0.1615	16.8181353197217	0.0768533567011737	0.178531085059363	11
2	1	51	2017	0.1615	17.1469206293815	0.0802870841731665	0.180087339394897	12
2	1	51	2018	0.1615	17.4	0.0844758136746375	0.1815	13
2	1	53	2005	0.152	13.3	0	0.152	0
2	1	53	2006	0.152	13.5336998721166	0.0298257644416211	0.153922463859235	1
2	1	53	2007	0.152	13.7668715576142	0.0448346481496306	0.156060514870498	2
2	1	53	2008	0.152	14.0229296804243	0.0517724014835801	0.158611900522438	3
2	1	53	2009	0.152	14.3476182779923	0.0630202995020501	0.161576494187316	4
2	1	53	2010	0.152	14.6490288524831	0.0639012495960582	0.164912162884494	5
2	1	53	2011	0.152	14.9605753629528	0.068745509027864	0.168	6
2	1	53	2012	0.152	15.2314181815718	0.0749090795446212	0.170293749578512	7
2	1	53	2013	0.152	15.5031716350146	0.0786957226535802	0.17185955601295	8
2	1	53	2014	0.152	15.7520765700903	0.086060924388866	0.173873984318551	9
2	1	53	2015	0.152	16.0294912179163	0.08791036579509	0.17601787862662	10
