plot	Snr	st1_age0	st1_age1	st1_age2	st1_age3	st1_age4	st2_age0	st2_age1	st2_age2	st2_age3	st2_age4	st3_age0	st3_age1	st3_age2	st3_age3	st3_age4	st4_age0	st4_age1	st4_age2	st4_age3	st4_age4	st5_age0	st5_age1	st5_age2	st5_age3	st5_age4
2	1	121.9955303387460	152.1987858142510	111.7682804159760	67.3353240771039	12.2378054085143	334.6926485148990	459.1599470684980	295.1556375193500	242.5995828270120	63.3897345201238	534.2141269605360	421.3577188343240	283.2059565077250	217.5777542774710	43.5044842677291	282.3288559694310	204.8226692613180	123.3503202084760	79.6719608654162	9.0369116728863	200.3507810207340	108.0193296650720	49.5915869218501	0.0000000000000	0.0000000000000
2	2	188.8330652007650	194.2673495219890	153.2249621414910	68.6679820267686	0.0000000000000	525.1813090144070	749.4639408862340	513.1785378841930	174.4857944303070	7.7997487545356	721.7557671108530	573.3932538921820	273.1843249982280	135.8985288685730	11.8073899346326	599.0469074888320	473.6702485920800	160.7159157606790	69.9497084389184	22.3374668810635	218.9271009516000	111.5130738318560	65.7211867613141	4.7230864674628	0.0000000000000
2	3	103.6191447296150	137.2877873674180	82.2744810340025	18.7318233380898	0.4143302113552	415.1000328525510	593.3406507076710	323.9964242927260	16.0262652163784	0.0000000000000	790.8464599214150	1017.6493880157200	475.5582565815320	22.7294752455796	0.0000000000000	619.4946430343850	587.1844897199570	79.8015250620347	0.0000000000000	0.0000000000000	308.4932097130240	216.5961236203090	0.0000000000000	0.0000000000000	0.0000000000000
2	4	330.0510152228080	351.2816533351610	276.9076050041650	29.5883056909782	0.0000000000000	581.1143869576600	1081.2658842568700	1104.7485990102300	167.0230732790540	4.9263305534179	932.8853850837440	1334.1060497295800	903.4932985723540	95.5623628301410	2.5367984214062	1528.2724831926800	1444.1664326877000	830.0399420743420	80.8948571326254	0.0000000000000	459.8965553909880	325.6480379996040	107.4403697358100	0.0000000000000	0.0000000000000
2	5	1028.3490462630300	1328.5075764027500	404.1970952761140	13.1193931692171	0.0000000000000	1573.5087593658500	1839.0802507000500	252.5764079894570	12.7302047503263	0.0000000000000	1169.5518978262100	1354.1923851841000	148.2024322412300	11.2794018469096	0.0000000000000	1019.1695657268000	766.6051676390920	36.0203833921293	0.0000000000000	0.0000000000000	511.5264420369750	370.4408893880550	2.5795437574518	0.0000000000000	0.0000000000000
2	6	382.7175817800480	508.7023590369330	215.1146534887000	206.8506792787970	5.7715931574333	986.2644022417170	2015.4750787088100	669.3504301361310	89.0890137592150	0.0000000000000	1435.2252210144900	1449.3021001880000	501.2316643541980	25.8834147400401	0.0000000000000	1002.6316328058200	894.7454970070520	203.9834962740850	2.3699297906602	0.0000000000000	251.5541871056350	187.2890536579820	24.0024986303225	0.0000000000000	0.0000000000000
3	7	167.8003198080660	179.5748092075580	133.2975204932020	70.1897392473054	4.2549604125139	295.5350623049190	440.2256332414480	318.7642235872430	234.8043723029950	11.4263637477062	267.2935166274310	303.3533027914210	206.3043945481430	159.4618743175100	17.2390481251047	166.5805369138460	176.1749812267660	93.6186345790126	35.1471995728168	0.4548247831475	97.5417515183844	68.4704072430667	27.4598015131253	4.4762626762433	0.0000000000000
3	8	45.7160961651917	58.9109852507375	49.4656256637168	36.2913899705015	0.2395793510324	218.5571241352810	328.9442617217520	292.4463424289010	125.6632471176020	0.0000000000000	250.7556490169570	271.4170783075280	250.8868322970430	83.2934855328910	0.0000000000000	231.2549897496540	238.1613114864410	131.3849221724280	18.7766579474103	0.3525847457627	173.4744800333580	186.0459282458400	67.1602991369006	4.4642170283458	0.0000000000000
3	9	103.8592862387300	131.2954535189310	107.5726237354280	56.8014204469869	6.3095317430286	351.1744987839630	555.7804226814890	431.6135460739780	228.9659504669470	30.8716902265610	430.3788047029360	527.0003815715310	364.7511110781040	237.7696797363400	35.7045016183134	288.2707537668340	245.3349747927180	164.0017862254480	65.8552934611739	9.2512826629173	167.4808708121670	133.2920398400630	62.1442876707218	3.7861808746710	0.0000000000000
3	10	239.8950767350450	279.1363706226090	332.5767087706480	172.2486297665570	21.0015244687150	302.9807775788240	354.3563151996210	980.0535508589030	941.6652921725590	370.1795869666760	495.8052237897850	487.0033538438630	962.1374331963500	689.5552853273300	66.4731402063084	505.9476036418530	457.3555025734050	311.1700707373540	169.7093498999820	31.0118714876552	162.1589951054280	144.2489439485890	81.6645424506732	5.3220531891872	0.0000000000000
3	11	195.1996414756100	191.5470177251500	138.2310293273520	84.7946905517719	17.4899813652859	848.9723709165630	1300.2082619766300	378.6292709806990	165.5042887943110	30.0778180062227	1250.4462768401500	1107.1078911561800	381.6634572206570	146.0041657159450	26.9026871602092	720.1847195371180	663.1104867173960	218.6082599363450	104.1078321721910	15.8291954013835	173.0115564604290	150.1518179840290	68.0837846445758	5.7943087566258	0.0000000000000
3	12	143.5310808191850	183.2969549793200	135.0824866862830	69.4730877660521	13.3822878744095	309.8191072887220	706.8478243621350	587.0823666286580	303.2646761689220	29.4357649628237	1025.9870104822300	1432.5500487174800	1032.9899589949400	388.6168219480640	37.5494530335462	791.9477567495490	986.8960973983890	707.4303093065910	179.2132168721020	5.5910673097326	309.6098687489330	286.4868270694660	154.7731581498550	1.4890793650794	0.0000000000000
