Snr	strata	Df1	Df01	Df11	Df21	Df31	Df2	Df02	Df12	Df22	Df32	Bf	f0	f1	f2	f3	rf0	rf1	rf2	rf3
3	3	24.821	9.565	7.149	6.918	1.03	101.245	46.78	31.174	21.435	1.856	791.183	56.345	38.323	28.353	3.045	0.0712161408928149	0.048437592819866	0.035836209827562	0.00384866712252412
3	4	65.491	29.405	21.508	13.838	0	35.59	15.54	11.301	7.193	1.422	791.183	44.945	32.809	21.031	2.29599999999999	0.0568073378725276	0.0414682823063691	0.0265817137122511	0.00290198348548944
3	5	94.028	40.52	30.048	13.617	8.183	39.936	21.465	13.269	2.438	0.22	791.183	61.985	43.317	16.055	12.607	0.0783447065975887	0.0547496596868234	0.0202923975869047	0.0159343666383125
4	1	31.348	14.946	10.05	5.489	0	26.569	17.642	6.02	2.352	0	1213.379	32.588	16.07	7.841	1.418	0.0268572309229021	0.0132440070250103	0.00646211942023061	0.00116863733425418
4	2	78.175	43.14	20.36	14.25	0	80.049	37.607	21.874	19.871	0	1213.379	80.747	42.234	34.121	1.12199999999999	0.0665472206128506	0.0348069317171304	0.0281206449097932	0.000924690471814648
4	3	122.88	67.81	34.451	16.424	3.271	140.251	74.57	43.7	21.292	0	1213.379	142.38	78.151	37.716	4.88399999999996	0.11734173741263	0.0644077406976715	0.0310834454857056	0.00402512323025201
4	4	251.108	141.16	79.65	26.969	0.66	447.442	225.2	153.59	59.8	3.391	1213.379	366.36	233.24	86.769	12.181	0.301933690957236	0.192223534443896	0.0715102206318059	0.0100389078762695
4	5	23.127	16.108	7.019	0	0	12.43	6.274	5.736	0.42	0	1213.379	22.382	12.755	0.42	0	0.0184460090375719	0.0105119669946488	0.000346140818326343	0
5	1	263.207	110.14	87.68	59.78	2.227	123.561	45.85	44.8	26.189	2.72	1071.158	155.99	132.48	85.969	12.329	0.145627442450133	0.123679233129006	0.0802580011538914	0.0115099733185953
5	2	31.714	12.093	9.69	7.159	1.66	38.099	14.691	11.191	9.746	1.33	1071.158	26.784	20.881	16.905	5.243	0.0250047145239078	0.0194938561818144	0.0157819854773992	0.00489470274226584
