lab_id	old_id	sample	type	label	layer	dw.g	N.cont	C.cont
93	166	F-S3	litter	FS3-S1-L	M	1.020	0.0072	0.4418
153	165	F-S3	mineral	FS3-S1-M	M	207.146	0.0006	0.0149
94	168	F-S3	litter	FS3-S2-L	M	0.320	0.0066	0.3928
154	167	F-S3	mineral	FS3-S2-M	M	254.326	0.0003	0.0078
39	163	F-S3	humus	FS3-B-H	O	46.780	0.0118	0.5011
92	164	F-S3	litter	FS3-B-L	O	17.350	0.0078	0.5152
14	162	F-S3	vegetation	FS3-G	O	0.660	0.0167	0.4981
96	173	F-S4	litter	FS4-S1-L	M	0.440	0.0078	0.4623
155	172	F-S4	mineral	FS4-S1-M	M	185.806	0.0010	0.0226
97	175	F-S4	litter	FS4-S2-L	M	0.390	0.0068	0.4618
156	174	F-S4	mineral	FS4-S2-M	M	235.246	0.0004	0.0079
40	170	F-S4	humus	FS4-B-H	O	79.370	0.0111	0.3666
95	171	F-S4	litter	FS4-B-L	O	18.590	0.0094	0.4691
15	169	F-S4	vegetation	FS4-G	O	0.210	0.0206	0.4955
