yta	avd	rev	år	mån	dag	nr	t_l	beha	p_kod	hojd	krong	b1	b2	dia	dia6m1	dia6m2	b6m1	b6m2	rc1	rc2
1471	11	2	2008	5	9	45	1	1	1	154	87	16	18	201.395134002786	0	0	0	0	0	0
1471	11	2	2008	5	9	51	1	1	1	166	83	19	23	200	0	0	0	0	0	0
1471	11	2	2008	5	9	56	1	1	3	169	73	32	25	229.495097986863	0	0	0	0	0	0
1471	11	2	2008	5	9	58	1	1	1	133	60	15	15	153.460092532228	0	0	0	0	0	0
1471	11	2	2008	5	9	66	1	1	1	140	68	20	24	165.499244711267	0	0	0	0	0	0
1471	11	2	2008	5	9	68	1	1	3	185	79	27	30	249.387249072602	0	0	0	0	0	0
1471	11	2	2008	5	9	71	1	1	3	177	83	25	26	254.49557952939	0	0	0	0	0	0
1471	11	2	2008	5	9	72	1	1	3	186	107	28	28	226.991189256323	0	0	0	0	0	0
1471	11	2	2008	5	9	75	1	1	1	160	99	16	18	157.996835411346	0	0	0	0	0	0
1471	11	3	2009	4	22	1	1	1	1	193	87	23	27	209.961901305927	0	0	0	0	0	0
1471	11	3	2009	4	22	3	1	1	1	161	66	18	18	176.997175118701	0	0	0	0	0	0
1471	11	3	2009	4	22	4	1	1	3	181	93	24	28	224.494988808214	0	0	0	0	0	0
1471	11	3	2009	4	22	9	1	1	1	147	87	20	20	160.499221181911	0	0	0	0	0	0
1471	11	3	2009	4	22	15	1	1	1	143	79	17	18	150.996688705415	0	0	0	0	0	0
1471	11	3	2009	4	22	21	1	1	1	180	88	20	20	175.41379649275	0	0	0	0	0	0
1471	11	3	2009	4	22	33	1	1	1	154	65	19	20	188.467503830236	0	0	0	0	0	0
1471	11	3	2009	4	22	39	1	1	1	116	66	8	12	97.9795897113271	0	0	0	0	0	0
1471	11	3	2009	4	22	45	1	1	1	156	87	18	19	204.843842963366	0	0	0	0	0	0
1471	11	3	2009	4	22	51	1	1	1	167	94	22	24	200.499376557634	0	0	0	0	0	0
1471	11	3	2009	4	22	56	1	1	3	172	73	26	24	230.486442117535	0	0	0	0	0	0
1471	11	3	2009	4	22	58	1	1	1	137	60	22	18	153.948043183407	0	0	0	0	0	0
1471	11	3	2009	4	22	66	1	1	1	145	68	20	21	166.997005961185	0	0	0	0	0	0
1471	11	3	2009	4	22	68	1	1	3	187	79	38	32	250.83859352181	0	0	0	0	0	0
1471	11	3	2009	4	22	71	1	1	3	180	83	32	32	254.992156742124	0	0	0	0	0	0
1471	11	3	2009	4	22	72	1	1	3	190	107	34	28	228.997816583477	0	0	0	0	0	0
1471	11	3	2009	4	22	75	1	1	1	163	103	22	19	159.499216299015	0	0	0	0	0	0
1471	11	4	2010	5	6	1	1	1	1	197	87	24	26	216	0	0	0	0	0	0
1471	11	4	2010	5	6	2	1	1	1	173	88	14	14	168.997041394221	0	0	0	0	0	0
1471	11	4	2010	5	6	3	1	1	1	164	65	20	18	180.493767205408	0	0	0	0	0	0
1471	11	4	2010	5	6	4	1	1	3	183	93	28	29	224.494988808214	0	0	0	0	0	0
1471	11	4	2010	5	6	9	1	1	1	149	87	20	20	167	0	0	0	0	0	0
1471	11	4	2010	5	6	15	1	1	1	143	79	13	16	151.499174915245	0	0	0	0	0	0
1471	11	4	2010	5	6	20	1	1	1	172	98	25	24	197.423402868049	0	0	0	0	0	0
1471	11	4	2010	5	6	21	1	1	1	182	88	22	21	178.93015397076	0	0	0	0	0	0
1471	11	4	2010	5	6	33	1	1	1	155	74	18	17	193.483849455194	0	0	0	0	0	0
1471	11	4	2010	5	6	36	1	1	1	141	77	13	16	140	0	0	0	0	0	0
1471	11	4	2010	5	6	39	1	1	1	118	66	8	7	101.469207151727	0	0	0	0	0	0
1471	11	4	2010	5	6	45	1	1	3	158	87	16	16	211.941029534161	0	0	0	0	0	0
1471	11	4	2010	5	6	51	1	1	1	168	94	23	22	203	0	0	0	0	0	0
1471	11	4	2010	5	6	54	1	1	1	138	78	12	10	126.491106406735	0	0	0	0	0	0
1471	11	4	2010	5	6	56	1	1	3	173	73	26	25	232.486558751253	0	0	0	0	0	0
1471	11	4	2010	5	6	58	1	1	1	137	60	22	20	156.971334962789	0	0	0	0	0	0
1471	11	4	2010	5	6	66	1	1	1	147	68	22	22	170.499266860594	0	0	0	0	0	0
1471	11	4	2010	5	6	70	1	1	3	196	73	26	26	219.431082574917	0	0	0	0	0	0
1471	11	4	2010	5	6	71	1	1	3	182	83	31	36	259.499518303985	0	0	0	0	0	0
1471	11	4	2010	5	6	74	1	1	1	167	93	21	24	202.494444368234	0	0	0	0	0	0
1471	11	4	2010	5	6	75	1	1	1	165	103	16	18	164.996969669143	0	0	0	0	0	0
1471	11	5	2011	5	11	1	1	1	1	199	87	25	29	219.499430523179	0	0	0	0	0	0
1471	11	5	2011	5	11	2	1	1	1	176	94	15	18	171.499271135477	0	0	0	0	0	0
1471	11	5	2011	5	11	3	1	1	1	166	65	16	20	182.493835512326	0	0	0	0	0	0
1471	11	5	2011	5	11	4	1	1	3	185	93	29	29	228.499452953393	0	0	0	0	0	0
1471	11	5	2011	5	11	9	1	1	1	151	92	19	22	167	0	0	0	0	0	0
1471	11	5	2011	5	11	15	1	1	1	145	87	14	17	155.499196139401	0	0	0	0	0	0
1471	11	5	2011	5	11	18	1	1	3	202	94	20	18	222.494943762774	0	0	0	0	0	0
1471	11	5	2011	5	11	20	1	1	1	174	102	24	21	201.44974559428	0	0	0	0	0	0
1471	11	5	2011	5	11	21	1	1	1	185	102	21	20	182.956278930241	0	0	0	0	0	0
1471	11	5	2011	5	11	30	1	1	3	165	66	27	30	213.471309547677	0	0	0	0	0	0
